Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Stilostomella verneuilii,Stilostomella nuttalli,Osangularia mexicana,Orthomorphina perversa,Oridorsalis umbonatus (smooth margin),Oridorsalis umbonatus  (scallopped margin),Hanzawaia cushmani,Hanzawaia ammophila,Gyroidinoides planulatus,Gyroidinoides girardanus,Globocassidulina subglobosa (large form),Globocassidulina subglobosa,Cibicidoides trincherasensis,Cibicidoides havanensis,Cibicidoides cf. C. ungerianus,Bulimina semicostata,Bulimina miolaevis,Bolivinopsis gryzbowski,Bolivina tectiformis,Stilostomella subspinosa,Stilostomella gracillima,Lenticulina vortex,Karreriella sp.,Heterolepa grimsdalei,Bulimina macilenta,Pleurostomella chapapotensis,Cibicides laurisae,Cassidulina crassa,Uvigerina havanensis,Plectofrondicularia lirata,Bulimina alazanensis,Siphonodosaria modesta,Pullenia bulloides,Martinottiella cojimarensis,Bulimina sp. (striate),Pullenia quadriloba,Bolivina cf. B. pseudoplicata,Pullenia quinqueloba,Gyroidinoides altiformis,Spiroplectammina spinosa,Planulina renzi,Cibicidoides praemundulus,Buliminella sp.,Planulina sp.,Pleurostomella subcylindrica,Uvigerina spinicostata,Uvigerina pigmea,Frondicularia sp.,Uvigerina spinulosa,Uvigerina auberiana,Siphonina sp.,Bolivina reticulata,Anomalinoides semicribratus,Anomalinoides cf.  A. alazanensis,Uvigerina ongleyi,Pullenia coryelli,Uvigerina subproboscidea,Eggerella bradyi,Stilostomella lepidula,Rectuvigerina striata,Orthomorphina rohri,Oridorsalis umbonatus,Globocassidulina subglobosa (medium size),Bolivina striatocola,Bolivina peregrina,Uvigerina pigmea (spinose),Textularia sp.,Osangularia bengalensis,Cibicidoides kullenbergi,Cassidulina laevigata carinata,Nuttallides umbonifera,Gyroidinoides altispirus,Globocassidulina subglobosa (small form),Discorbis villardeboanus,Ehrenbergina hystrix,Cassidulina laevigata,Bulimina tuxpamensis,Bolivina subreticulata,Rectuvigerina spinea,Martinottiella variabilis,Cassidulinoides sp.,Bulava sp.,Bolivina pseudoplicata,Melonis pacificus,Siphotextularia catenata,Gyroidinoides soldanii,Cibicides wuellerstorfi,Bolivina arta,Saracenaria sp.,Bolivina pulchra,Favocassidulina favus,Planulina cf. P. renzi,Osangularia culter,Laticarinina pauperata,Heterolepa rugosa,Uvigerina proboscidea,Cibicides wuellerstorfi (atypical),Melonis barleeanus,Melonis affinis,Loxostomum sp.,Sigmoilopsis schlumbergeri,Ehrenbergina trigona,Bolivina villaverniensis,Epistominella exigua,Miliolid taxa,Karreriella bradyi,Cibicides lobatulus,Anomalinoides globulosus,Stilostomella lepidula (smooth),Sphaeroidina bulloides,Pleurostomella bierigi,Lagenid taxa,Cibicidoides cicatricosus,Cassidulina carinata,Bolivinita sp.,Bolivina sp. (crenulate/triangular shape),Uvigerina hornibrooki,Textularia lythostrota,Saracenaria jamaicensis,Orthomorphina koina (smooth form),Nodosaria skobina,Bolivina optima,Trifarina pigmea,Cibicidoides bradyi,Cibicides sp.,Cassidulina ornata,Dentalina neugeboreni,Melonis barleeanum (poreless),Gyroidinoides neosoldanii,Cibicidoides sp.,Cibicidoides cf. C. hemingwayi,Cibicides sp. (flat),Osangularia sp.,Pleurostomella cf. P. alternans,Buliminella sp. (costate),Planulina renzi (atypical),Uvigerina porrecta,Bulimina mexicana,Cibicidoides robertsonianus,Karreriella baccata,Hoeglundina elegans,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 707,A,  1,H, 1, 120.00,      1.2000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                 ,                        ,                      ,                    ,                      ,                                     ,                                          ,                  ,                   ,                        ,                        ,                                        ,                           ,                            ,                       ,                              ,                    ,                  ,                       ,                    ,                        ,                        ,                  ,               ,                     ,                  ,                            ,                  ,                  ,                    ,                          ,                    ,                      ,                  ,                           ,                      ,                   ,                             ,                    ,                        ,                        ,               ,                         ,               ,             ,                            ,                      ,                ,                 ,                   ,                   ,             ,                   ,                           ,                                 ,                 ,                 ,                        ,                ,                      ,                     ,                   ,+                    ,                                         ,                    ,                  ,                          ,              ,                       ,                        ,                              ,                      ,                        ,                                        ,                        ,                    ,                     ,                    ,                      ,                    ,                         ,                   ,          ,                      ,                 ,                        ,                      ,+                      ,             ,               ,                ,                     ,                      ,                  ,                      ,                 ,                     ,                                  ,                  ,               ,              ,                          ,                    ,                        ,                    ,             ,                  ,                   ,                        ,+                              ,                      ,                      ,            ,                         ,                    ,              ,                                         ,                     ,                      ,                       ,                                 ,                 ,               ,                ,                   ,             ,                  ,                     ,                             ,                         ,                ,                              ,                    ,               ,                               ,                         ,                          ,                  ,                 ,                           ,+                  ,                   ,from 115 SR. Chapter 20. Table 19. pages 370-372.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 707,A,  1,H, 5,  41.00,      6.4100,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                 ,                        ,                      ,                    ,+                     ,                                     ,                                          ,                  ,                   ,                        ,                        ,                                        ,                           ,                            ,                       ,                              ,                    ,                  ,                       ,                    ,                        ,                        ,                  ,               ,                     ,                  ,                            ,                  ,                  ,                    ,                          ,+                   ,                      ,                  ,                           ,                      ,                   ,                             ,                    ,                        ,                        ,               ,                         ,               ,             ,                            ,                      ,                ,                 ,                   ,F                  ,             ,                   ,                           ,                                 ,                 ,                 ,                        ,                ,                      ,                     ,                   ,                     ,                                         ,                    ,                  ,                          ,              ,                       ,                        ,                              ,                      ,                        ,                                        ,+                       ,                    ,                     ,                    ,                      ,                    ,                         ,                   ,          ,                      ,                 ,                        ,                      ,R                      ,             ,               ,                ,                     ,                      ,                  ,                      ,                 ,                     ,                                  ,                  ,               ,              ,+                         ,                    ,                        ,                    ,             ,                  ,                   ,                        ,                               ,                      ,                      ,            ,                         ,                    ,              ,                                         ,                     ,                      ,                       ,                                 ,                 ,               ,                ,                   ,             ,                  ,                     ,                             ,                         ,                ,                              ,                    ,               ,                               ,                         ,                          ,                  ,                 ,                           ,                   ,                   ,from 115 SR. Chapter 20. Table 19. pages 370-372.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,115, 707,A,  2,H, 2, 120.00,      9.3000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                 ,                        ,                      ,                    ,                      ,                                     ,                                          ,                  ,                   ,                        ,                        ,                                        ,                           ,                            ,                       ,                              ,                    ,                  ,                       ,                    ,                        ,                        ,                  ,               ,                     ,                  ,                            ,                  ,                  ,                    ,                          ,                    ,                      ,                  ,                           ,                      ,                   ,                             ,                    ,                        ,                        ,               ,                         ,               ,             ,                            ,                      ,                ,                 ,                   ,+                  ,             ,                   ,                           ,                                 ,                 ,                 ,                        ,                ,                      ,                     ,                   ,                     ,                                         ,                    ,                  ,                          ,              ,                       ,                        ,                              ,                      ,                        ,T                                       ,+                       ,                    ,                     ,                    ,                      ,                    ,                         ,                   ,          ,                      ,                 ,                        ,                      ,R                      ,             ,               ,                ,                     ,                      ,                  ,                      ,                 ,                     ,                                  ,                  ,               ,              ,                          ,                    ,                        ,                    ,             ,                  ,                   ,                        ,                               ,                      ,                      ,            ,                         ,                    ,              ,                                         ,                     ,                      ,                       ,                                 ,                 ,               ,                ,T                  ,             ,                  ,                     ,                             ,                         ,                ,                              ,                    ,               ,                               ,                         ,                          ,                  ,                 ,                           ,+                  ,+                  ,from 115 SR. Chapter 20. Table 19. pages 370-372.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,115, 707,A,  2,H, 4, 120.00,     12.3000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                 ,                        ,                      ,                    ,                      ,                                     ,                                          ,                  ,                   ,                        ,                        ,                                        ,                           ,                            ,                       ,                              ,                    ,                  ,                       ,                    ,                        ,                        ,                  ,               ,                     ,                  ,                            ,                  ,                  ,                    ,                          ,                    ,+                     ,                  ,                           ,                      ,                   ,                             ,                    ,                        ,                        ,               ,                         ,               ,             ,+                           ,                      ,                ,                 ,                   ,                   ,             ,                   ,+                          ,                                 ,                 ,                 ,                        ,                ,                      ,                     ,                   ,                     ,                                         ,                    ,                  ,                          ,              ,                       ,                        ,                              ,                      ,                        ,T                                       ,                        ,                    ,                     ,                    ,                      ,                    ,                         ,                   ,          ,R                     ,                 ,                        ,                      ,                       ,             ,               ,                ,                     ,                      ,                  ,                      ,                 ,F                    ,                                  ,                  ,               ,              ,                          ,                    ,                        ,                    ,             ,                  ,                   ,                        ,                               ,                      ,                      ,            ,                         ,                    ,              ,                                         ,                     ,                      ,                       ,                                 ,                 ,               ,                ,                   ,             ,                  ,+                    ,                             ,                         ,                ,                              ,                    ,               ,                               ,                         ,                          ,                  ,                 ,T                          ,                   ,                   ,from 115 SR. Chapter 20. Table 19. pages 370-372.
