Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus carinatus	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus distentus/ciperoensis	Sphenolithus distentus	Sphenolithus dissimilis	Sphenolithus conicus	Reticulofenestra lockerii	Pontosphaera multipora	Helicosphaera obliqua	Helicosphaera intermedia	Discoaster lidzi	Discoaster deflandrei	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus eopelagicus	Sphenolithus ciperoensis	Helicosphaera recta	Helicosphaera euphratis	Helicosphaera truempyi	Discoaster calculosus	Discoaster druggii (small)	Dictyococcites bisectus	Helicosphaera gartneri	Helicosphaera euphratis/imtermedia	Discoaster nephados	Reticulofenestra gartneri	Triquetrorhabdulus auritus	Sphenolithus compactus	Sphenolithus capricornutus	Reticulofenestra minutula	Reticulofenestra haqii	Discoaster saundersi	Discoaster adamanteus	Triquetrorhabdulus milowii/auritus	Orthorhabdus serratus	Helicosphaera kamptneri	Discoaster druggii	Coronocyclus nitescens (circular)	Tetralithoides symeonidesii	Discoaster divaricatus	Clausicoccus sp. cf. C. fenestratus	Helicosphaera stalis	Helicosphaera scissura	Coccolithus miopelagicus	Reticulofenestra minuta	Helicosphaera mediterranea	Discoaster exilis	Discoaster calcaris	Helicosphaera ampliaperta	Geminilithella rotula	Sphenolithus belemnos	Discoaster icarus	Sphenolithus elongatus	Hayaster perplexus	Calcidiscus macintyrei	Solidopons petrae	Helicosphaera elongata	Coccolithus pelagicus (w/ bar)	Sphenolithus heteromorphus	Calcidiscus leptoporus	Discoaster sp. cf. D. exilis	Helicosphaera acuta	Discoaster sp. cf. D. variabilis	Discoaster petaliformis	Sphenolithus abies	Discoaster sanmiguelensis	Discoaster variabilis	Reticulofenestra pseudoumbilicus	Reticulofenestra ampliumbilicus	Coronocyclus nitescens (oval)	Catinaster mexicanus	Discoaster braarudii	Triquetrorhabdulus rugosus	Discoaster pseudovariabilis	Sphenolithus neoabies	Discoaster kugleri	Discoaster challengeri	Scapholithus fossilis	Helicosphaera rhomba	Discoaster moorei	Discoaster bollii	Discoaster asymmetricus	Pontosphaera plana	Helicosphaera orientalis	Discoaster brouweri	Discoaster sp. cf. D. bolli	Catinaster coalitus	Discoaster triradiatus	Discoaster hamatus	Catinaster calyculus	Helicosphaera granulata	Discoaster signus	Discoaster neorectus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster pentaradiatus	Gephyrocapsa spp. (small)	Florisphaera profunda	Discoaster neohamatus	Discoaster berggrenii	Discoaster quinqueramus	Discoaster surculus	Amaurolithus delicatus	Discoaster tamalis	Helicosphaera sellii	Amaurolithus amplificus	Amaurolithus primus	Pontosphaera indooceanica	Pontosphaera japonica	Discoaster tristellifer	Discoaster quadramus	Amaurolithus tricorniculatus	Discoaster blackstockae	Syracosphaera pulchra	Rhabdosphaera clavigera	Ceratolithus armatus/rugosus	Ceratolithus armatus	Ceratolithus acutus	Discoaster pansus	Ceratolithus rugosus	Pseudoemiliania lacunosa (small)	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Ceratolithus cristatus	Helicosphaera burkei	Umbilicosphaera sibogae	Gephyrocapsa caribbeanica	Reticulofenestra astoni	Helicosphaera hyalina	Gephyrocapsa oceanica	Helicosphaera inversa	Emiliania huxleyi	Comment

  SR	Early Pleistocene	                 	CN14a             	              	159	 959	A	  1	H	 6	 100.00	      8.5000	Shafik   	Nannofossils                                 	A              	G                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	F                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	+                    	                     	                 	                      	                  	                      	                 	                      	                              	                          	C                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	                         	F                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	                         	                     	                       	                    	                            	                       	F                    	                       	                            	                    	                   	                 	                    	                                	F                  	F                       	                      	                    	                       	A                        	                       	F                    	A                    	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN14a             	              	159	 959	A	  1	H	CC	  20.00	      9.0200	Shafik   	Nannofossils                                 	A              	G                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	C                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	                      	                 	                      	                              	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	                         	+                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	                         	                     	                       	                    	                            	                       	F                    	                       	                            	                    	                   	                 	                    	                                	A                  	                        	R                     	                    	                       	R                        	                       	                     	A                    	R                    	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN14a             	              	159	 959	A	  2	H	 1	 100.00	     10.1000	Shafik   	Nannofossils                                 	C              	M                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	C                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	                      	                 	                      	                              	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	                         	F                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	R                        	                     	                       	                    	                            	                       	                     	R                      	                            	                    	                   	                 	                    	A                               	C                  	C                       	R                     	                    	                       	                         	                       	F                    	C                    	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN13b             	              	159	 959	A	  2	H	 2	 100.00	     11.6000	Shafik   	Nannofossils                                 	C              	P                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	                       	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	F                     	                 	                      	                              	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	C                        	C                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	                         	                     	                       	                    	                            	                       	                     	                       	                            	                    	                   	                 	                    	A                               	                   	                        	                      	                    	F                      	                         	F                      	                     	                     	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN13b             	              	159	 959	A	  2	H	 3	 100.00	     13.1000	Shafik   	Nannofossils                                 	A              	M                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	F                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	                      	                 	                      	                              	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	+                    	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	A                        	F                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	R                        	R                    	                       	                    	                            	                       	                     	R                      	                            	                    	                   	                 	                    	                                	A                  	                        	                      	F                   	R                      	                         	                       	                     	                     	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN13b             	              	159	 959	A	  2	H	 4	  50.00	     14.1000	Shafik   	Nannofossils                                 	C              	M                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	F                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	                      	                 	                      	R                             	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	                         	C                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	                         	F                    	                       	                    	                            	                       	                     	                       	                            	                    	                   	                 	                    	                                	                   	A                       	                      	                    	R                      	R                        	                       	                     	                     	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN13b             	              	159	 959	A	  2	H	 5	 100.00	     16.1000	Shafik   	Nannofossils                                 	C              	G                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	F                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	R                     	                 	                      	R                             	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	A                        	F                    	                     	                     	                       	                   	                      	                  	                    	                       	                   	                         	F                    	                       	                    	                            	                       	R                    	                       	                            	                    	                   	                 	                    	                                	A                  	C                       	                      	                    	F                      	F                        	                       	                     	                     	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN13b             	              	159	 959	A	  2	H	 6	 100.00	     17.6000	Shafik   	Nannofossils                                 	C              	P                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	F                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	                      	                 	                      	C                             	                          	                      	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	A                        	                     	                     	                     	                       	                   	                      	                  	                    	                       	                   	R                        	F                    	                       	                    	                            	                       	R                    	                       	                            	                    	                   	                 	                    	C                               	R                  	                        	                      	                    	+                      	R                        	                       	                     	                     	                     	                 	From Leg 159SR Ch 37 Table 1

  SR	Early Pleistocene	                 	CN13b             	              	159	 959	A	  2	H	 7	  50.00	     18.6000	Shafik   	Nannofossils                                 	C              	M                 	                            	                         	                       	                                  	                      	                       	                    	                         	                      	                     	                        	                	                     	                           	                          	                      	                     	                       	                        	                   	                       	                      	                     	                          	                       	                      	                                  	                   	                         	                          	                      	                          	                         	                      	                    	                     	                                  	                     	F                      	                  	                                 	                           	                      	                                   	                    	                      	                        	                       	                          	                 	                   	                         	                     	                     	                 	                      	                  	                      	                 	                      	F                             	                          	F                     	                            	                   	                                	                       	                  	                         	                     	                                	                               	                             	                    	                    	                          	                           	                     	                  	                      	                     	                    	                 	                 	                       	                  	                        	                   	                           	                   	                      	                  	                    	                       	                 	                    	                   	                           	                        	A                        	                     	                     	                     	                       	                   	                      	                  	                    	                       	                   	+                        	                     	                       	                    	                            	                       	                     	                       	                            	                    	                   	                 	                    	F                               	                   	                        	                      	                    	                       	R                        	                       	                     	                     	                     	                 	From Leg 159SR Ch 37 Table 1
