Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitellinata angustiumbilicata	Subbotina praeturritilina	Subbotina gortanii	Pseudohastigerina micra	Paragloborotalia pseudokugleri	Paragloborotalia mayeri	Paragloborotalia continuosa	Globoturborotalita woodi s. I	Globoquadrina tripartita	Globoquadrina sellii	Globigerinoides primordius	Globigerinita glutinata s. I	Globigerinella obesa	Globigerina prasaepis	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina ciperoensis	Globigerina angulisuturalis	Dentoglobigerina larmeui	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelina cubensis	Catapsydrax unicavus	Cassigerinella chipolensis	Globorotalia suterae	Tenuitella gemma	Dentoglobigerina globularis	Protentella sp.	Globoquadrina praedehiscens	Globigerinella praesiphonifera	Catapsydrax dissimilis	Globoquadrina binaiensis	Paragloborotalia kugleri	Globigerinoides trilobus s.l.	Globigerinita uvula	Globigerinoides altiapertura	Globoquadrina dehiscens	Tenuitella clemenciae	Globoquadrina venezuelana	Globigerinoides ruber s.l.	Globigerinoides obliquus	Globigerinatella sp.	Dentoglobigerina altispira	Globigerinoides bisphericus	Paragloborotalia nana	Fohsella peripheroronda	Tenuitella sp.	Paragloborotalia opima	Praeorbulina sicana	Globorotalia praescitula	Globigerinoides mitra	Globigerinatella insueta s. str.	Sphaeroidinella disjuncta	Praeorbulina curva	Globorotalia tumida	Globorotalia archeomenardii	Praeorbulina circularis	Orbulina suturalis	Globorotalia hexagonus	Fohsella peripheroacuta	Clavatorella bermudezi	Praeorbulina glomerosa	Fohsella praefohsi	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotalia menardii s.l.	Globigerinella siphonifera	Sphaeroidinellopsis kochi	Globigerina nepenthes	Fohsella fohsi	Globorotalia praemenardii	Fohsella lobata	Fohsella robusta	Globorotalia limbata	Pulleniatina obliquiloculata	Globoturborotalita rubescens	Globorotalia ungulata	Globorotalia merotumida	Sphaeroidinella dehiscens	Neogloboquadrina acostaensis	Globigerinoides conglobatus	Pulleniatina praecursor	Globigerinoides sacculifer	Pulleniatina primalis	Globorotalia scitula	Globorotalia plesiotumida	Globigerinoides extremus	Sphaeroidinellopsis paenedehiscens	Globorotalia multicamerata	Pulleniatina finalis	Globorotalia flexuosa	Pulleniatina praespectabilis	Neogloboquadrina humerosa	Pulleniatina spectabilis	Tenuitella iota	Globorotalia crassaformis	Globoquadrina sp.	Turborotalita humilis	Streptochilus spp.	Candeina nitida	Globorotalia hirsuta	Globigerinoides fistulosus	Globorotalia tosaensis	Globorotalia pertenuis	Neogloboquadrina dutertrei	Globorotalia inflata	Globorotalia truncatulinoides	Globigerina bulloides s. I.	Sphaeroidinella excavata	Globigerinoides ruber (pink)	Globigerinella calida	Globoturborotalita tenella	Comment

  SR	Pleistocene      	                 	N22               	              	144	 872	C	  1	H	 5	  58.00	      5.6800	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	                        	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	F                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	R                	R                         	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	R                        	                            	R                          	                       	R                         	                     	                    	                         	                        	                                  	                          	R                   	                     	                            	                         	                        	R              	R                        	                 	R                    	R                 	R              	                    	                          	R                     	                      	R                         	R                   	                             	R                          	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pleistocene      	                 	N22               	              	144	 872	C	  1	H	 6	  58.00	      7.0600	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	                        	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	F                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	R                	R                         	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	R                        	                            	F                          	                       	R                         	                     	                    	                         	                        	                                  	                          	                    	                     	                            	                         	                        	R              	R                        	                 	                     	R                 	R              	                    	                          	R                     	                      	F                         	                    	R                            	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N22               	              	144	 872	C	  1	H	CC	  12.00	      7.7200	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	                        	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	R                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	R                	R                         	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	F                        	                            	R                          	                       	R                         	                     	R                   	                         	                        	                                  	                          	                    	                     	                            	                         	                        	R              	R                        	                 	                     	R                 	R              	R                   	R                         	R                     	                      	R                         	                    	R                            	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N22               	              	144	 872	C	  2	H	 1	  58.00	      9.5800	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	                        	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	F                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	R                	                          	R                         	                         	                     	              	                         	               	                	                    	F                           	R                           	                     	                       	F                        	                            	R                          	                       	R                         	                     	                    	                         	R                       	R                                 	                          	R                   	R                    	                            	R                        	                        	R              	                         	R                	                     	R                 	               	R                   	R                         	R                     	                      	R                         	R                   	R                            	                           	                        	                            	                     	                          	light reworking; from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N21               	              	144	 872	C	  2	H	 2	  58.00	     10.5400	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	R                            	                   	                            	                       	                     	                         	R                         	R                       	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	R                  	                           	                       	                  	                      	                       	                      	                      	                  	                              	R                	                          	R                         	                         	                     	              	                         	               	                	                    	F                           	R                           	                     	                       	F                        	                            	F                          	                       	R                         	                     	                    	                         	R                       	                                  	                          	                    	                     	                            	R                        	                        	R              	R                        	                 	                     	R                 	               	                    	R                         	R                     	                      	R                         	R                   	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N21               	              	144	 872	C	  2	H	 3	  58.00	     11.9000	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	R                            	                   	                            	                       	                     	                         	R                         	R                       	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	C                  	                           	                       	                  	                      	                       	                      	                      	                  	                              	F                	                          	R                         	                         	                     	              	                         	               	                	                    	F                           	R                           	R                    	                       	F                        	                            	F                          	R                      	R                         	                     	                    	                         	R                       	                                  	                          	                    	                     	                            	R                        	                        	R              	R                        	R                	R                    	R                 	R              	                    	R                         	R                     	                      	R                         	                    	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N21               	              	144	 872	C	  2	H	 4	  58.00	     13.2800	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	                        	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	C                  	                           	                       	R                 	                      	                       	                      	                      	                  	                              	F                	                          	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	F                        	                            	R                          	R                      	R                         	                     	                    	                         	R                       	                                  	                          	                    	                     	                            	R                        	                        	               	R                        	                 	                     	R                 	R              	                    	R                         	R                     	                      	R                         	                    	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N21               	              	144	 872	C	  2	H	 5	  58.00	     14.6000	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	R                       	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	F                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	R                	                          	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	F                        	                            	R                          	R                      	R                         	                     	                    	                         	R                       	                                  	                          	                    	                     	                            	R                        	                        	               	R                        	R                	                     	R                 	R              	                    	R                         	R                     	                      	R                         	                    	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N21               	              	144	 872	C	  2	H	 6	  58.00	     15.9700	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	F                            	                   	                            	                       	                     	                         	R                         	R                       	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	C                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	F                	                          	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	                     	                       	F                        	                            	F                          	R                      	R                         	                     	                    	                         	R                       	                                  	                          	                    	                     	                            	R                        	                        	               	                         	R                	                     	R                 	               	                    	R                         	                      	                      	                          	                    	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N21               	              	144	 872	C	  2	H	CC	  11.00	     17.0600	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	R                            	                   	                            	                       	                     	                         	R                         	                        	                    	                          	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	C                  	                           	                       	                  	R                     	                       	                      	                      	                  	                              	F                	R                         	R                         	                         	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	F                        	                            	R                          	R                      	R                         	                     	                    	                         	R                       	                                  	R                         	                    	R                    	                            	R                        	                        	               	R                        	                 	                     	R                 	R              	                    	R                         	R                     	R                     	                          	                    	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37

  SR	Pliocene         	                 	N20               	              	144	 872	C	  3	H	 1	  59.00	     19.0900	Pearson  	Planktonic Foraminifers                      	               	                  	                                	                         	                  	                       	                              	                       	                           	                             	                        	                    	                          	R                           	                    	                     	                         	                         	                       	                           	                        	                         	                               	                        	                    	                          	                    	                	                           	               	                           	                              	                      	                        	                        	R                            	                   	                            	                       	                     	                         	R                         	R                       	                    	R                         	                           	                     	                       	              	                      	                   	                        	                     	                                	                         	                  	R                  	                           	                       	R                 	R                     	                       	                      	                      	                  	                              	R                	R                         	R                         	R                        	                     	              	                         	               	                	                    	R                           	R                           	R                    	                       	R                        	                            	R                          	R                      	R                         	                     	R                   	                         	R                       	R                                 	                          	                    	F                    	                            	R                        	                        	               	                         	                 	                     	R                 	               	R                   	R                         	                      	                      	                          	                    	                             	                           	                        	                            	                     	                          	from Leg 144 SR; Ch 2; Table 4; pp. 34-37
