Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella primula	Tenuitella munda	Globigerinelloides bentonensis	Ticinella madecassiana	Hedbergella planispira	Ticinella roberti	Ticinella praeticinensis	Hedbergella delrioensis	Clavihedbergella moremani	Heterohelix moremani	Archaeoglobigerina bosquensis	Rotalipora appenninica	Clavihedbergella subcretacea	Clavihedbergella simplex	Hedbergella angolae	Rotalipora brotzeni	Globigerinelloides caseyi	Whiteinella brittonensis	Whiteinella baltica	Heterohelix globulosa	Whiteinella archaeocretacea	Whiteinella inornata	Marginotruncana pseudolinneiana	Hastigerinoides watersi	Dicarinella hagni	Archaeoglobigerina blowi	Pseudoguembelina costulata	Globotruncanita stuarti	Globotruncana linneiana	Globotruncana aegyptiaca	Globigerinelloides prairiehillensis	Rugoglobigerina rugosa	Pseudoguembelina costellifera	Globotruncanita stuartiformis	Globotruncana esnehensis	Contusotruncana plummerae	Rugotruncana subcircumnodifer	Rugoglobigerina rotundata	Contusotruncana fornicata	Pseudotextularia elegans	Pseudoguembelina palpebra	Globotruncana arca	Gansserina gansseri	Contusotruncana walfischensis	Contusotruncana contusa	Abathomphalus intermedius	Globotruncanella petaloidea	Abathomphalus mayaroensis	Heterohelix labellosa	Rugoglobigerina scotti	Globotruncana insignis	Woodringina claytonensis	Parvularugoglobigerina eugubina	Guembelitria cretacea	Eoglobigerina eobulloides	Praemurica taurica	Praemurica pseudoinconstans	Praemurica inconstans	Parasubbotina pseudobulloides	Subbotina triloculinoides	Praemurica uncinata	Eoglobigerina spiralis	Morozovella praeangulata	Globanomalina imitata	Praemurica strabocella	Igorina pusilla	Morozovella angulata	Parasubbotina varianta	Subbotina triangularis	Morozovella velascoensis	Morozovella acutispira	Igorina albeari	Acarinina coalingensis	Subbotina velascoensis	Morozovella aequa	Acarinina subsphaerica	Globanomalina pseudomenardii	Morozovella pasionensis	Acarinina soldadoensis	Morozovella acuta	Acarinina nitida	Morozovella apanthesma	Igorina tadjikistanensis	Morozovella occlusa	Morozovella subbotinae	Chiloguembelina wilcoxensis	Morozovella gracilis	Pseudohastigerina micra	Morozovella marginodentata	Acarinina wilcoxensis	Acarinina quetra	Subbotina patagonica	Igorina broedermanni	Pseudohastigerina wilcoxensis	Globigerina lozanoi	Turborotalia praecentralis	Morozovella formosa	Morozovella aragonensis	Acarinina pentacamerata	Muricoglobigerina senni	Morozovella lensiformis	Subbotina eocaenica	Planorotalites renzi	Guembelitrioides higginsi	Turborotalia griffinae	Acarinina aspensis	Morozovella spinulosa	Acarinina bullbrooki	Subbotina linaperta	Subbotina boweri	Globigerinatheka index	Acarinina rohri	Acarinina primitiva	Acarinina collactea	Turborotalia possagnoensis	Globigerinatheka mexicana	Globigerinatheka kugleri	Turborotalia pomeroli	Morozovella lehneri	Acarinina topilensis	Turborotalia cerroazulensis	Orbulinoides beckmanni	Globigerinatheka rubriformis	Catapsydrax africanus	Turborotalia increbescens	Turborotalia ampliapertura	Subbotina gortanii	Hantkenina nanggulanensis	Hantkenina alabamensis	Chiloguembelina cubensis	Globigerina euapertura	Dentoglobigerina galavisi	Cassigerinella chipolensis	Globoquadrina altispira globosa	Pseudohastigerina naguewichiensis	Catapsydrax unicavus	Globoquadrina tripartita	Globigerina yeguaensis	Turborotalia cunialensis	Clavigerinella eocanica	Globigerina ouachitaensis	Globigerina angulisuturalis	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globorotalia menardii	Globigerinoides sacculifer	Globigerinoides ruber	Comment



  IR	                 	                 	                  	              	207	1260	A	  1	R	CC	  12.00	      0.7500	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	                       	                       	                   	                    	                         	                      	                  	                     	                    	                   	                	                      	               	                   	                   	                          	                         	                        	                     	                   	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	                        	                      	                         	                          	                               	                                 	                    	                        	                      	                        	                       	                         	                           	P                           	P                            	P                    	P                         	P                    	       

  IR	                 	                 	                  	              	207	1260	A	  2	R	CC	   8.00	      3.8500	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	                       	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	                       	                       	                   	                    	                         	                      	                  	                     	                    	                   	                	                      	               	                   	                   	                          	                         	                        	                     	                   	                    	                           	                      	                            	                     	                         	                          	                  	                         	                      	P                       	P                     	P                        	P                         	                               	                                 	                    	                        	                      	                        	                       	P                        	P                          	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  3	R	 1	  50.00	     10.8000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	P                      	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	                       	                       	                   	                    	                         	                      	                  	                     	                    	                   	                	                      	               	                   	                   	                          	                         	                        	                     	                   	                    	                           	                      	                            	                     	                         	P                         	                  	                         	                      	P                       	P                     	P                        	                          	                               	P                                	                    	                        	                      	                        	                       	                         	                           	                            	                             	                     	                          	                     	       

  IR	                 	                 	                  	              	207	1260	A	  3	R	 2	  50.00	     12.3000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                	                              	                      	                      	                 	                        	                       	                         	                    	                             	                      	                            	                        	                   	                   	                         	                        	                   	                     	                           	                    	                               	                       	                 	                        	                          	                       	                       	                        	                                   	                      	                             	                             	                        	                         	                             	                         	                         	                        	                         	                  	                   	                             	                       	                         	                           	                         	                     	                      	                      	                        	                               	                     	                         	                  	                           	                     	                             	                         	                   	                      	                        	                     	                      	               	                    	                      	                      	                        	                      	               	                      	                      	                 	                      	                            	                       	                      	                 	                	                      	                        	                   	                      	                           	                    	P                      	                          	                     	                	                    	                    	                             	                   	                          	                   	                       	                       	                       	                       	                   	                    	                         	                      	                  	                     	                    	                   	                	                      	               	                   	                   	                          	                         	                        	P                    	                   	                    	P                          	                      	                            	                     	                         	P                         	                  	                         	P                     	                        	                      	                         	                          	                               	P                                	                    	                        	                      	P                       	P                      	                         	                           	                            	                             	                     	                          	                     	       
