Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceratium favus	Biddulphia tuomeyi	Navicula hennedyi	Ethmodiscus rex	Coscinodiscus curvatus var. minor	Xanthiopyxis oblonga	Thalassiothrix longissima	Thalassiothrix frauenfeldii	Thalassiosira oestrupii var. venrickae	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Rhizosolenia praebergonii var. robusta	Podosira stelliger	Paralia sulcata	Nitzschia marina	Hyalodiscus radiatus	Cyclotella stylorum	Coscinodiscus curvatus	Azpeitia nodulifer	Actinoptychus vulgaris	Xanthiopyxis diaphana	Trachyneis aspera	Thalassiosira plicata	Thalassiosira oestrupii	Thalassiosira leptopus	Schimperiella antarctica	Rhopalodia gibba	Rhizosolenia hebetata var. subacuta	Rhaphoneis amphiceros var. geminifera	Pterotheca reticulata	Leptocylindrus danicus	Hemidiscus cuneiformis	Diploneis weissflogi	Diploneis smithii	Coscinodiscus fimbriatus	Chaetoceros mitra	Actinoptychus senarius	Actinocyclus ehrenbergii var. sparsa	Actinocyclus ehrenbergii	Achnanthes lanceolata	Rhizosolenia hebetata f. semispina	Actinocyclus ellipticus	Azpeitia africana	Actinocyclus normanii var. subsalsa	Comment

  SR	                 	                 	                  	              	116	 717	C	 27	X	 1	  24.00	    217.2400	Kaczmarska	Diatoms                                      	               	                  	                 	                  	                 	               	                                 	                    	                         	                           	                                      	                                       	                           	+                                     	                  	               	                	                    	                   	                      	                  	                      	                     	                 	                     	                       	                      	                        	                	                                   	                                     	                     	                      	                      	                    	                 	                        	                 	                      	                                    	                        	                     	                                  	                       	                 	                                   	from ODP Leg 116 SR Chapter 19 Table 1 p 240-241

  SR	                 	                 	                  	              	116	 717	C	 27	X	 1	  54.00	    217.5400	Kaczmarska	Diatoms                                      	               	                  	                 	                  	                 	+              	+                                	                    	                         	+                          	+                                     	+                                      	+                          	+                                     	                  	               	+               	                    	+                  	                      	                  	                      	                     	                 	                     	+                      	                      	+                       	                	                                   	                                     	                     	                      	                      	+                   	                 	                        	                 	+                     	                                    	                        	                     	+                                 	+                      	                 	                                   	from ODP Leg 116 SR Chapter 19 Table 1 p 240-241

  SR	                 	                 	                  	              	116	 717	C	 27	X	 2	   3.00	    218.5300	Kaczmarska	Diatoms                                      	               	                  	                 	                  	                 	+              	+                                	                    	+                        	+                          	+                                     	+                                      	+                          	+                                     	+                 	+              	+               	                    	+                  	+                     	+                 	                      	+                    	+                	+                    	+                      	+                     	+                       	+               	+                                  	+                                    	+                    	+                     	+                     	+                   	+                	+                       	+                	+                     	+                                   	+                       	+                    	                                  	                       	                 	                                   	from ODP Leg 116 SR Chapter 19 Table 1 p 240-241

  SR	                 	                 	                  	              	116	 717	C	 27	X	 3	   3.00	    220.0300	Kaczmarska	Diatoms                                      	               	                  	                 	                  	                 	+              	+                                	+                   	+                        	+                          	+                                     	+                                      	+                          	+                                     	+                 	+              	+               	+                   	+                  	+                     	+                 	+                     	                     	                 	                     	                       	                      	                        	                	                                   	                                     	                     	                      	                      	                    	                 	                        	                 	                      	                                    	                        	                     	                                  	                       	                 	                                   	from ODP Leg 116 SR Chapter 19 Table 1 p 240-241

  SR	                 	                 	                  	              	116	 717	C	 27	X	 5	  12.00	    223.1200	Kaczmarska	Diatoms                                      	               	                  	                 	                  	+                	+              	+                                	                    	                         	                           	                                      	                                       	                           	                                      	                  	               	                	                    	                   	                      	                  	                      	                     	                 	                     	                       	                      	                        	                	                                   	                                     	                     	                      	                      	                    	                 	                        	                 	                      	                                    	                        	                     	                                  	                       	                 	                                   	from ODP Leg 116 SR Chapter 19 Table 1 p 240-241

  SR	                 	                 	                  	              	116	 717	C	 27	X	 5	  32.00	    223.3200	Kaczmarska	Diatoms                                      	               	                  	+                	+                 	                 	               	                                 	                    	                         	                           	                                      	                                       	                           	                                      	                  	               	                	                    	                   	                      	                  	                      	                     	                 	                     	                       	                      	                        	                	                                   	                                     	                     	                      	                      	                    	                 	                        	                 	                      	                                    	                        	                     	                                  	                       	                 	                                   	from ODP Leg 116 SR Chapter 19 Table 1 p 240-241

