Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tripilidium clavipes,Tricolocapsa sp.,Theocyrtis diabloensis,Stylodictya targaeformis,Spongomelissa sp.,Siphocampe pachyderma,Siphocampe imbricata,Pseudodictyophimus galeatus,Prunopyle polyacantha,Prunopyle monikae,Prunopyle hayesi,Prunopyle frakesi,Periphaena decora,Perichlamydium praetextum,Lophocyrtis longiventer,Lithomelissa robusta,Lithomelissa ehrenbergi,Lithomelissa dupliphysa,Lithomelissa challengerae,Lithelius aff. Lithelius formanae,Eurystomoskevos petrushevskayaae,Eucyrtidium (?) mariae,Eucyrtidium antiquum,Dictyoprora physothorax,Dictyophimus(?) callosus,Dictyophimus(?) archipilium,Cymaetron sinolampas,Ceratocyrtis mashae,Ceratocyrtis amplus,Cenosphaera oceanica,Calocyclas asperum,Botryostrobus rednosus,Botryostrobus kerguelensis,Axoprunum sp.,Archipilium sp.,Amphymenium splendiarmatum,Actinomma kerguelenensis,Velicucullus sp.,Prunopyle trypopyrena,Cyrtocapsella robusta,Actinomma campylacantha,Theocorys sp.,Stylodictya ocellata,Lithomelissa sphaerocephalis,Cycladophora cabrilloensis subhumerus,Stylosphaera hispida,Stylodictya hastata,Saturnalis circularis,Mitrocalpis sp.,Lamprocyclas inexpectata,Dictyophimus pocillum,Cycladophora conica,Stylatractus universus,Spongodiscus osculosus,Phormostichoartus marylandicus,Lipmanella sp.,Ceratocyrtis cucullaris,Tholospyris (all generic taxa),Stylosphaera radiosa,Lithomelissa cheni,Lychnocanoma conica,Cyrtocapsella longithorax,Antarctissa sp.,Actinomma medusa,Stylosphaera angelina,Eucyrtidium teuscheri,Acrosphaera sp.,Lophophaena thaumasia,Lamprocyclas prionotocodon,Theocyrtis robusta,Lychnocanoma elongata,Gondwanaria hister,Cycladophora campanula,Velicucullus (all generic taxa),Stichocorys delmontensis,Rhizosphaera antarctica,Lithocarpium fragilis,Cycladophora humerus,Carpocanistrum brevispina,Dendrospyris megalocephalis,Cyrtocapsella tetrapera,Cycladophora golli regipileus,Cycladophora golli golli,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Cycladophora antiqua,Circodiscus ellipticus,Amphistylus angelinus,Stylatractus santaeannae,Lithartractus timmsi?,Eucyrtidium cienkowskii,Actinomma magnifenestra,Dictyophimus crisiae,Desmospyris rhodospyroides,Acrosphaera mercurius,Ceratocyrtis sp.,Stauroxiphos communis,Spongomelissa dilli,Cycladophora cosma cosma,Stylacontarium bispiculum,Lithomelissa stigi,Eucyrtidium punctatum,Cyrtocapsella cornuta,Triceraspyris coronata,Stichopilium bicorne?,Eucyrtidium calvertense,Acrosphaera australis,Siphonosphaera vesuvius,Siphonosphaera magnisphaera,Antarctissa deflandrei,Cycladophora bicornis,Thyrsocyrtis clausa,Dendrospyris cf. megalocephalis,Calocyclas humerus,Actinomma golownini,Spongodiscus craticulatus,Prunopyle tetrapila,Cycladophora spongothorax,Botryopera deflandrei,Pterocanium korotnevi,Acrosphaera murrayana,Stylatractus universus var. transparum,Spongotrochus glacialis,Phormostichoartus fistula,Antarctissa robusta,Rhopalastrum spp.,Prunopyle titan,Eucyrtidium pseudoinflatum,Eucyrtidium inflatum,Cycladophora pliocenica,Antarctissa strelkovi,Lychnocanium grande,Desmospyris spongiosa,Acrosphaera labrata,Stichocorys peregrina,Siphocampe arachnea,Helotholus praevema,Eucyrtidium biconicum,Botryostrobus auritus/australis,Antarctissa cylindrica,Helotholus vema,Antarctissa denticulata,Triceraspyris antarctica,Cycladophora davisiana,Saccospyris conithorax,Prunopyle antarctica,Gondwanaria dogieli,Cyrtolagena laguncula,Pterocanium charybdeum trilobum,Spongodiscus setosus,Pterocanium trilobum,Phormostichoartus pitomorphus,Lithelius nautiloides,Ceratocyrtis histricosa,Spongoplegma antarcticum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,up. Chi           ,              ,119, 744,A,  2,H, 3,  53.00,      7.7300,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,F                    ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,A                     ,               ,A                      ,                        ,C                     ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,up. Chi           ,              ,119, 744,A,  2,H, 4,  53.00,      9.2300,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,+                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,C                      ,C                    ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,VA                    ,               ,C                      ,                        ,C                     ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,NR5               ,              ,119, 744,A,  2,H,CC,  12.00,     10.1100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,R                    ,               ,                        ,                     ,                   ,R                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,C                      ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,C                      ,                         ,                   ,                 ,               ,                          ,                    ,A                      ,R                    ,                   ,                     ,                   ,                     ,T                  ,                   ,                     ,T                              ,A                     ,               ,                       ,                        ,R                     ,R                     ,T                   ,T                  ,T                    ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,up. Upsilon       ,              ,119, 744,A,  3,H, 1,  53.00,     14.2300,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,+                    ,               ,                        ,                     ,                   ,+                     ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,R                     ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,R                      ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,+                      ,                         ,                   ,                 ,               ,                          ,                    ,F                      ,F                    ,                   ,F                    ,                   ,                     ,                   ,                   ,                     ,                               ,A                     ,F              ,A                      ,R                       ,F                     ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,mid. Upsilon      ,              ,119, 744,A,  3,H, 2,  53.00,     15.7300,Lazarus  ,Radiolarians                                 ,A              ,MG                ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,F                      ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,C                      ,                     ,                   ,F                    ,                   ,                     ,                   ,                   ,                     ,                               ,A                     ,F              ,A                      ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 1 microfiche backpocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,NR10              ,NR9           ,119, 744,A,  3,H,CC,  15.00,     19.9700,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,                    ,                           ,                     ,                 ,                ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,                          ,             ,               ,                          ,                        ,                ,R                    ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,T                    ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,C                         ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,R                     ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,T                        ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,T                  ,                 ,R              ,                          ,?                   ,C                      ,                     ,R                  ,                     ,                   ,T                    ,T                  ,C                  ,C                    ,T                              ,C                     ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 4 page 522.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
