Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella primula	Hedbergella planispira	Globigerinelloides caseyi	Biticinella breggiensis	Hedbergella simplex	Guembelitria cenomana	Globigerinelloides bentonensis	Rotalipora brotzeni	Heterohelix moremani	Hedbergella delrioensis	Whiteinella baltica	Praeglobotruncana stephani	Whiteinella archaeocretacea	Whiteinella inornata	Heterohelix reussi	Globigerinelloides prairiehillensis	Hedbergella monmouthensis	Rugoglobigerina rugosa	Rugoglobigerina macrocephala	Rugoglobigerina hexacamerata	Globotruncanita stuarti	Globotruncanella pschadae	Globotruncana arca	Globotruncana aegyptiaca	Contusotruncana fornicata	Rugotruncana subcircumnodifer	Rugoglobigerina scotti	Globotruncana linneiana	Globotruncana esnehensis	Gansserina wiedenmayeri	Contusotruncana patelliformis	Rugoglobigerina rotundata	Globotruncanita stuartiformis	Gansserina gansseri	Contusotruncana contusa	Pseudoguembelina costellifera	Planoglobulina carseyae	Heterohelix labellosa	Heterohelix globulosa	Globotruncanita angulata	Globotruncanella petaloidea	Globotruncanella havanensis	Abathomphalus intermedius	Abathomphalus mayaroensis	Globotruncanita pettersi	Pseudotextularia elegans	Pseudoguembelina palpebra	Globotruncanita elevata	Pseudoguembelina costulata	Hedbergella holmdelensis	Globigerinelloides multispinus	Archaeoglobigerina cretacea	Rugoglobigerina pennyi	Praemurica taurica	Parvularugoglobigerina extensa	Parvularugoglobigerina eugubina	Guembelitria cretacea	Eoglobigerina eobulloides	Woodringina claytonensis	Subbotina triloculinoides	Praemurica pseudoinconstans	Praemurica uncinata	Parasubbotina varianta	Morozovella conicotruncata	Morozovella angulata	Morozovella aequa	Morozovella acuta	Igorina albeari	Globanomalina ehrenbergi	Morozovella velascoensis	Morozovella praeangulata	Subbotina velascoensis	Globanomalina pseudomenardii	Igorina tadjikistanensis	Subbotina triangularis	Morozovella pasionensis	Acarinina soldadoensis	Igorina pusilla	Acarinina nitida	Subbotina cancellata	Acarinina mckannai	Morozovella occlusa	Morozovella apanthesma	Chiloguembelina wilcoxensis	Acarinina coalingensis	Chiloguembelina midwayensis	Morozovella subbotinae	Igorina broedermanni	Acarinina wilcoxensis	Morozovella gracilis	Subbotina patagonica	Pseudohastigerina wilcoxensis	Morozovella lensiformis	Morozovella aragonensis	Morozovella marginodentata	Acarinina quetra	Morozovella formosa	Turborotalia pseudomayeri	Acarinina angulosa	Acarinina pentacamerata	Pseudohastigerina micra	Planorotalites pseudoscitulus	Planorotalites palmerae	Turborotalia griffinae	Globigerina lozanoi	Acarinina aspensis	Guembelitrioides higginsi	Muricoglobigerina senni	Clavigerinella eocanica	Acarinina bullbrooki	Subbotina eocaenica	Chiloguembelina cubensis	Catapsydrax unicavus	Subbotina inaequispira	Clavigerinella akersi	Acarinina praetopilensis	Subbotina boweri	Subbotina frontosa	Acarinina punctocarinata	Turborotalia pomeroli	Subbotina eocaena	Paragloborotalia opima opima	Morozovella lehneri	Globorotaloides suteri	Globigerina euapertura	Globigerina angulisuturalis	Cassigerinella chipolensis	Acarinina rohri	Subbotina gortanii	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina ciperoensis	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Paragloborotalia mayeri	Orbulina universa	Globorotalia praemenardii	Globorotalia fohsi robusta	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina altispira altispira	Globigerinoides trilobus	Globigerinoides ruber	Globigerina sellii	Globigerinoides subquadratus	Globigerinoides sacculifer	Globorotalia miozea	Comment

  IR	                 	                 	                  	              	207	1258	A	  2	R	 1	  50.00	      5.6000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	P                       	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	P                     	P                     	P                          	P                         	               	P                 	P                        	P                        	P                      	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  2	R	 2	  50.00	      7.1000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	P                       	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	P                     	P                     	P                          	P                         	               	P                 	P                        	P                        	P                      	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  2	R	 3	  50.00	      8.6000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	P                      	P                            	                       	                      	                   	                  	                         	                       	                       	P                   	                   	P                       	                    	                      	                     	                        	                	                  	                        	P                    	                 	P                           	P                  	P                     	P                     	P                          	P                         	P              	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  2	R	 4	  50.00	     10.1000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	P                   	                     	                    	                    	                             	                       	P                      	                          	                	                   	P                        	                  	                       	P                      	                             	                       	                      	                   	                  	P                        	                       	                       	P                   	                   	P                       	                    	                      	                     	P                       	                	P                 	                        	P                    	P                	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  2	R	 5	  50.00	     11.3000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	P                   	                     	                    	                    	                             	                       	P                      	                          	                	                   	P                        	                  	                       	P                      	                             	                       	                      	                   	                  	P                        	                       	                       	P                   	                   	P                       	                    	                      	                     	P                       	                	P                 	                        	P                    	P                	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  2	R	CC	   6.00	     11.4900	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	P                   	                     	                    	                    	                             	                       	P                      	                          	                	                   	                         	                  	P                      	                       	                             	                       	P                     	                   	                  	P                        	P                      	                       	P                   	                   	                        	                    	                      	                     	P                       	                	P                 	P                       	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  3	R	 1	  50.00	     14.7000	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	                       	P                      	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	P                        	                       	                       	                    	                   	                        	                    	                      	                     	                        	P               	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	  3	R	 3	  51.00	     17.7100	forams   	Planktonic Foraminifers                      	A              	G                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	                       	P                      	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	P                        	                       	P                      	P                   	                   	                        	                    	                      	P                    	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       
