Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Stradneria crenulata	Quadrum eptabrachium	Prediscosphaera intercisa	Micula decussata 2	Micula decussata 1	Micula concava	Microrhabdulus decoratus	Marthasterites furcatus	Manivitella pemmatoidea	Lithastrinus septenarius	Lithastrinus grillii	Gartnerago obliquum	Gartnerago diversum	Eiffellithus turriseiffelii	Eiffellithus eximius	Cribrosphaerella ehrenbergii	Tribrachiatus orthostylus	Discoaster multiradiatus	Discoaster binodosus	Discoaster barbadiensis	Coccolithus eopelagicus	Sphenolithus radians	Discoaster kuepperi	Discoaster elegans	Discoaster diastypus	Coccolithus formosus	Chiasmolithus grandis	Toweius magnicrassus	Discoaster lodoensis	Discoaster gemmifer	Cyclicargolithus gammation	Coccolithus pelagicus	Reticulofenestra dictyoda	Neococcolithes dubius	Helicosphaera seminulum	Discoaster mirus	Discoaster cruciformis	Chiasmolithus solitus	Chiasmolithus expansus	Chiasmolithus eograndis	Chiasmolithus consuetus	Campylosphaera dela	Sphenolithus elongatus	Helicosphaera lophota	Discoaster sublodoensis	Discoaster strictus	Discoaster saipanensis	Discoaster nodifer	Chiasmolithus gigas	Coccolithus staurion	Reticulofenestra samodurovii	Discoaster wemmelensis	Discoaster praebifax	Nannotetrina pappii	Nannotetrina fulgens	Cyclicargolithus luminis	Sphenolithus furcatolithoides	Nannotetrina cristata	Discoaster delicatus	Chiasmolithus bidens	Transversopontis pulcher	Sphenolithus orphanknollensis	Markalius inversus	Triquetrorhabdulus carinatus	Cyclicargolithus floridanus	Triquetrorhabdulus auritus	Sphenolithus moriformis	Sphenolithus ciperoensis	Reticulofenestra lockerii	Reticulofenestra gartneri	Helicosphaera truempyi	Discoaster druggii (small)	Discoaster deflandrei	Cyclicargolithus abisectus	Triquetrorhabdulus milowii	Discoaster sp. cf. D. variabilis	Discoaster saundersi	Discoaster nephados	Coronocyclus nitescens (circular)	Reticulofenestra minutula	Helicosphaera obliqua	Helicosphaera kamptneri/carteri	Helicosphaera granulata	Discoaster obtusus	Discoaster druggii	Coccolithus miopelagicus	Helicosphaera intermedia	Helicosphaera ampliaperta	Discoaster sp. cf. D. adamanteus	Triquetrorhabdulus milowii/auritus	Reticulofenestra haqii	Helicosphaera euphratis	Clausicoccus sp. cf. C. fenestratus	Pontosphaera multipora	Orthorhabdus serratus	Discoaster sp. cf. D. exilis	Reticulofenestra minuta	Geminilithella rotula	Discoaster calculosus	Coccolithus pelagicus (w/ bar)	Sphenolithus belemnos	Pontosphaera plana	Discoaster lidzi	Calcidiscus leptoporus	Helicosphaera recta	Sphenolithus heteromorphus	Sphenolithus dissimilis	Solidopons petrae	Helicosphaera acuta	Discoaster variabilis	Reticulofenestra pseudoumbilicus	Calcidiscus macintyrei	Hayaster perplexus	Discoaster sanmiguelensis	Discoaster petaliformis	Discoaster exilis	Sphenolithus abies	Helicosphaera rhomba	Discoaster signus	Discoaster braarudii	Triquetrorhabdulus rugosus	Triquetrorhabdulus farnsworthii	Discoaster challengeri	Discoaster bollii	Catinaster mexicanus	Catinaster coalitus	Discoaster sp. cf. D. bolli	Discoaster pseudovariabilis	Discoaster brouweri	Discoaster surculus	Discoaster hamatus	Catinaster calyculus	Discoaster triradiatus	Discoaster calcaris	Discoaster quadramus	Discoaster prepentaradiatus	Discoaster neorectus	Sphenolithus neoabies	Rhabdosphaera clavigera	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster quinqueramus	Amaurolithus delicatus	Gephyrocapsa spp. (small)	Discoaster asymmetricus	Discoaster berggrenii	Amaurolithus primus	Pontosphaera indooceanica	Discoaster blackstockae	Scapholithus fossilis	Florisphaera profunda	Pontosphaera japonica	Ceratolithus armatus	Ceratolithus acutus	Ceratolithus separatus/rugosus	Ceratolithus rugosus	Amaurolithus tricorniculatus	Discoaster icarus	Ceratolithus armatus/rugosus	Helicosphaera elongata	Helicosphaera wallichii	Pseudoemiliania lacunosa (small)	Ceratolithus cristatus	Helicosphaera sellii	Pseudoemiliania lacunosa	Gephyrocapsa aperta	Scyphosphaera pulcherrima	Discoaster tamalis	Ceratolithus separatus	Umbilicosphaera sibogae	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Syracosphaera pulchra	Helicosphaera neogranulata	Helicosphaera inversa	Helicosphaera burkei	Micrantholithus sp.	Comment



  SR	Pleistocene      	                 	CN14a             	              	159	 960	A	  1	R	 1	  25.00	      0.2500	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	F                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	F                     	                   	                          	                       	                 	                   	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	+                      	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	F                    	                     	                    	                   	                              	                    	                            	                 	                            	                      	+                      	                                	                      	                    	R                       	A                  	                         	                  	                      	F                      	A                    	A                        	F                    	+                         	R                    	F                   	+                  	From Leg 159SR Ch 37 Table 3

  SR	Pleistocene      	                 	CN14a             	              	159	 960	A	  1	R	 1	  88.00	      0.8800	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	F                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	                              	                     	                  	                	F                     	                   	                          	                       	                 	F                  	                     	                                	                      	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	R                      	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	R                    	                     	                     	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	R                     	                    	R                       	F                  	                         	                  	                      	F                      	R                    	A                        	R                    	F                         	F                    	F                   	                   	From Leg 159SR Ch 37 Table 3

  SR	Pleistocene      	                 	CN14a             	              	159	 960	A	  1	R	CC	   7.00	      1.1900	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	F                             	                     	                  	                	R                     	                   	                          	                       	                 	                   	                     	                                	R                     	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	+                      	                   	                        	                     	                       	                      	R                        	                       	                     	                   	                         	                       	+                    	C                    	R                    	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	R                     	F                   	C                       	R                  	R                        	                  	                      	R                      	R                    	R                        	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3

  SR	Pleistocene      	                 	CN13a             	              	159	 960	A	  2	R	CC	   0.00	      1.2000	Shafik   	Nannofossils                                 	A              	G                 	                    	                    	                    	                         	                  	                  	              	                        	                       	                       	                        	                    	                   	                   	                           	                    	                            	                         	                        	                    	                       	                       	                    	                   	                  	                    	                    	                     	                    	                    	                   	                          	                     	                         	                     	                       	                	                      	                     	                      	                       	                       	                   	                      	                     	                       	                   	                      	                  	                   	                    	                            	                      	                    	                   	                    	                        	                             	                     	                    	                    	                        	                             	                  	                            	                           	                          	                       	                        	                         	                         	                      	                          	                     	                          	                          	                                	                    	                   	                                 	                         	                     	C                              	                       	                  	                  	                        	                        	                         	                                	                                  	                      	                       	                                   	                      	                     	                            	                       	                     	                     	F                             	                     	                  	                	R                     	                   	                          	                       	                 	                   	                     	                                	R                     	                  	                         	                       	                 	                  	                    	                 	                    	                          	                               	                      	                 	                    	                   	                           	                           	                   	                   	                  	                    	                      	                   	                    	                           	                    	                     	+                      	                   	                        	                     	                       	                      	                         	                       	                     	                   	                         	                       	                     	R                    	R                    	                    	                   	                              	                    	                            	                 	                            	                      	                       	                                	                      	C                   	C                       	                   	R                        	                  	                      	+                      	                     	                         	                     	                          	                     	                    	                   	From Leg 159SR Ch 37 Table 3
