Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pseudoampliapertura/increbescens,Turborotalia pseudoampliapertura,Turborotalia increbescens,Tenuitella munda,Tenuitella gemma,Tenuitella clemenciae,Subbotina utilisindex,Subbotina praeturritilina,Subbotina gortanii,Subbotina angiporoides angiporoides,Subbotina angiporoides,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Pseudohastigerina barbadoensis,Paragloborotalia sp.,Paragloborotalia pseudocontinuosa,Paragloborotalia opima nana,Globorotaloides variabilis,Globorotaloides suteri,Globoquadrina tapuriensis,Globigerina venezuelana,Globigerina sp. aff. G. ampliapertura,Globigerina prasaepis,Globigerina praebulloides occlusa,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina officinalis,Globigerina euapertura,Globigerina ampliapertura,Dentoglobigerina sp. aff. D. larmeui,Dentoglobigerina galavisi,Chiloguembelinid (unspecified taxon or taxa),Catapsydrax sp.,Catapsydrax martini,Catapsydrax dissimilis dissimilis,Cassigerinella chipolensis,Tenuitella angustiumbilicata,Globoquadrina tripartita,Globoquadrina sellii,Catapsydrax unicavus,Tenuitella clemenciae/munda,Paragloborotalia siakensis,Dentoglobigerina globularis,Globorotaloides sp. 1,Globigerina ciperoensis,Cassigerinella globulosa,Tenuitella munda/juvenilis,Dentoglobigerina larmeui,Globoquadrina rohri,Dentoglobigerina galavisi/baroemoenensis,Dentoglobigerina baroemoenensis,Cassigerinella martinezpicoi,Globorotaloides permicus,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia theyeri,Globorotalia scitula,Globorotalia menardii s.l.,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides ruber s.l.,Globigerinoides quadrilobatus s.l.,Globigerinoides elongatus,Globigerinoides conglobatus,Globigerinella siphonifera,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Neogloboquadrina humerosa,Globorotalia tumida tumida,Dentoglobigerina altispira altispira,Globorotalia ungulata,Globigerinella calida,Candeina nitida,Globigerinella adamsi    ,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  3,H, 1,  86.00,     13.0600,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,                ,+               ,+                    ,+                    ,+                        ,                  ,+                                  ,                      ,+                                ,+                      ,+                             ,                    ,+                                ,+                          ,                          ,+                     ,+                        ,+                      ,+                                    ,                     ,                                 ,+                        ,+                        ,+                      ,+                     ,+                        ,+                                   ,                         ,+                                           ,               ,                   ,                                 ,+                         ,+                           ,                        ,+                   ,                    ,                           ,                          ,                           ,                     ,                       ,                        ,cf                        ,                        ,+                  ,                                        ,                               ,+                           ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination few. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  3,H, 2,  85.00,     14.5500,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,                     ,+                    ,+                        ,+                 ,+                                  ,+                     ,A                                ,+                      ,A                             ,+                   ,+                                ,+                          ,                          ,+                     ,+                        ,                       ,+                                    ,+                    ,+                                ,                         ,+                        ,+                      ,+                     ,+                        ,+                                   ,+                        ,A                                           ,+              ,+                  ,                                 ,+                         ,+                           ,                        ,+                   ,+                   ,                           ,                          ,                           ,                     ,R                      ,                        ,                          ,                        ,+                  ,                                        ,cf                             ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  3,H, 3,  85.00,     16.0500,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,+                    ,+                    ,+                        ,+                 ,+                                  ,+                     ,+                                ,                       ,+                             ,+                   ,+                                ,+                          ,+                         ,+                     ,+                        ,+                      ,+                                    ,                     ,R                                ,                         ,+                        ,+                      ,+                     ,+                        ,+                                   ,+                        ,+                                           ,               ,+                  ,                                 ,R                         ,                            ,+                       ,cf                  ,                    ,                           ,                          ,+                          ,                     ,                       ,                        ,                          ,                        ,+                  ,                                        ,                               ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  3,H, 4,  87.00,     17.5700,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,R                        ,                ,+               ,+                    ,R                    ,+                        ,                  ,                                   ,+                     ,C                                ,                       ,+                             ,                    ,+                                ,+                          ,                          ,+                     ,+                        ,+                      ,                                     ,+                    ,                                 ,                         ,                         ,+                      ,                      ,+                        ,+                                   ,+                        ,+                                           ,               ,                   ,                                 ,C                         ,R                           ,                        ,cf                  ,                    ,                           ,                          ,+                          ,                     ,                       ,                        ,                          ,                        ,                   ,                                        ,                               ,C                           ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination very few. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  3,H, 5,  85.00,     19.0500,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,+                    ,+                    ,+                        ,                  ,                                   ,+                     ,+                                ,+                      ,+                             ,                    ,                                 ,+                          ,                          ,+                     ,+                        ,+                      ,                                     ,                     ,+                                ,+                        ,F                        ,F                      ,+                     ,+                        ,+                                   ,                         ,+                                           ,               ,                   ,                                 ,                          ,                            ,+                       ,cf                  ,                    ,                           ,+                         ,                           ,                     ,                       ,                        ,                          ,+                       ,+                  ,                                        ,                               ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  3,H, 6,  30.00,     20.0000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,+               ,+               ,+                    ,+                    ,+                        ,                  ,+                                  ,+                     ,+                                ,+                      ,+                             ,+                   ,+                                ,+                          ,                          ,+                     ,+                        ,+                      ,+                                    ,+                    ,                                 ,+                        ,+                        ,+                      ,                      ,+                        ,+                                   ,+                        ,+                                           ,               ,+                  ,                                 ,+                         ,                            ,+                       ,                    ,+                   ,                           ,                          ,+                          ,                     ,                       ,                        ,                          ,                        ,+                  ,                                        ,                               ,+                           ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination few. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  4,H, 1,  90.00,     22.8000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,                ,+               ,+                    ,+                    ,+                        ,+                 ,+                                  ,R                     ,+                                ,                       ,+                             ,+                   ,+                                ,+                          ,+                         ,+                     ,+                        ,+                      ,                                     ,                     ,+                                ,                         ,C                        ,C                      ,+                     ,+                        ,+                                   ,+                        ,+                                           ,               ,+                  ,                                 ,R                         ,R                           ,+                       ,+                   ,+                   ,                           ,                          ,+                          ,                     ,+                      ,                        ,                          ,                        ,+                  ,                                        ,                               ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination few. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  4,H, 2,  90.00,     24.3000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,+                                            ,+                               ,+                        ,                ,+               ,                     ,+                    ,+                        ,                  ,                                   ,                      ,+                                ,                       ,+                             ,+                   ,+                                ,+                          ,+                         ,                      ,+                        ,+                      ,                                     ,+                    ,+                                ,                         ,C                        ,C                      ,                      ,+                        ,                                    ,+                        ,+                                           ,+              ,+                  ,                                 ,                          ,                            ,+                       ,cf                  ,+                   ,                           ,                          ,                           ,                     ,+                      ,                        ,                          ,                        ,+                  ,                                        ,                               ,                            ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P19               ,              ,115, 706,A,  4,H, 3,  95.00,     25.8500,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                                             ,+                               ,+                        ,                ,+               ,+                    ,+                    ,+                        ,+                 ,                                   ,+                     ,+                                ,+                      ,+                             ,+                   ,+                                ,+                          ,                          ,+                     ,+                        ,+                      ,+                                    ,                     ,+                                ,                         ,+                        ,+                      ,+                     ,+                        ,                                    ,                         ,+                                           ,               ,+                  ,                                 ,+                         ,R                           ,+                       ,cf                  ,+                   ,                           ,                          ,                           ,                     ,+                      ,                        ,cf                        ,                        ,+                  ,                                        ,                               ,+                           ,                        ,                         ,                            ,                 ,                          ,                             ,                    ,                    ,                          ,                         ,                          ,                          ,                                  ,                         ,                           ,                          ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,contamination present. from 115 SR. Chapter 19. Table 2. pages 281-282 .
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
