Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1485A-1H-1-A,0,145,0,1.45,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,1,A,,,,,0
363-U1485A-1H-2-A,0,145,1.5,2.95,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,2,A,,,,,1
363-U1485A-1H-3-A,0,140,3,4.4,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,3,A,,,,,2
363-U1485A-1H-4-A,0,93,4.5,5.43,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,Ash at 93 cm,,,,,,,,,,,,,363,U1485,A,1,H,4,A,,,,,3
363-U1485A-1H-4-A,93,94,5.43,5.44,,ash(tuff) [MMK88m],ash(tuff),,,,,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,4,A,,,,,4
363-U1485A-1H-4-A,94,150,5.44,6,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,4,A,,,,,5
363-U1485A-1H-5-A,0,134,6,7.34,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,5,A,,,,,6
363-U1485A-1H-CC-A,0,19,7.34,7.53,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,1,H,CC,A,,,,,7
363-U1485A-2H-1-A,0,145,7.5,8.95,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,1,A,,,,,8
363-U1485A-2H-2-A,0,52,9,9.52,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,2,A,,,,,9
363-U1485A-2H-2-A,52,55,9.52,9.55,,silty sand [S54],silty sand,,10Y 4/1 (dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,2,A,,,,,10
363-U1485A-2H-2-A,55,145,9.55,10.45,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,2,A,,,,,11
363-U1485A-2H-3-A,0,52,10.5,11.02,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,3,A,,,,,12
363-U1485A-2H-3-A,52,55,11.02,11.05,,silty sand [S54],silty sand,,10Y 4/1 (dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,3,A,,,,,13
363-U1485A-2H-3-A,55,140,11.05,11.9,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,3,A,,,,,14
363-U1485A-2H-4-A,0,36,12,12.36,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,4,A,,,,,15
363-U1485A-2H-4-A,36,41,12.36,12.41,,silty sand [S54],silty sand,,10Y 4/1 (dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,4,A,,,,,16
363-U1485A-2H-4-A,41,145,12.41,13.45,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,4,A,,,,,17
363-U1485A-2H-5-A,0,114,13.5,14.64,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,5,A,,,,,18
363-U1485A-2H-5-A,114,120,14.64,14.7,,silty sand [S54],silty sand,,10Y 4/1 (dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,5,A,,,,,19
363-U1485A-2H-5-A,120,145,14.7,14.95,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,5,A,,,,,20
363-U1485A-2H-6-A,0,142,15,16.42,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,6,A,,,,,21
363-U1485A-2H-7-A,0,51,16.52,17.03,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,some gas expansion in this section,,,,,,,,,,,,,363,U1485,A,2,H,7,A,,,,,22
363-U1485A-2H-7-A,51,57,17.03,17.09,,silty sand [S54],silty sand,,10Y 4/1 (dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,7,A,,,,,23
363-U1485A-2H-7-A,57,64,17.09,17.16,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,7,A,,,,,24
363-U1485A-2H-CC-A,0,15,17.16,17.31,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,2,H,CC,A,,,,,25
363-U1485A-3H-1-A,0,108,17,18.08,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,1,A,,,,,26
363-U1485A-3H-1-A,108,116,18.08,18.16,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,1,A,,,,,27
363-U1485A-3H-1-A,116,145,18.16,18.45,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,1,A,,,,,28
363-U1485A-3H-2-A,0,3,18.5,18.53,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,2,A,,,,,29
363-U1485A-3H-2-A,3,8,18.53,18.58,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,2,A,,,,,30
363-U1485A-3H-2-A,8,14,18.58,18.64,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,2,A,,,,,31
363-U1485A-3H-2-A,14,18,18.64,18.68,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,2,A,,,,,32
363-U1485A-3H-2-A,18,145,18.68,19.95,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,2,A,,,,,33
363-U1485A-3H-3-A,0,140,20,21.4,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,3,A,,,,,34
363-U1485A-3H-4-A,0,97,21.5,22.47,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,4,A,,,,,35
363-U1485A-3H-4-A,97,104,22.47,22.54,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,4,A,,,,,36
363-U1485A-3H-4-A,104,145,22.54,22.95,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,4,A,,,,,37
363-U1485A-3H-5-A,0,41,23,23.41,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,5,A,,,,,38
363-U1485A-3H-5-A,41,50,23.41,23.5,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,5,A,,,,,39
363-U1485A-3H-5-A,50,145,23.5,24.45,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,5,A,,,,,40
363-U1485A-3H-6-A,0,16,24.5,24.66,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,6,A,,,,,41
363-U1485A-3H-6-A,16,32,24.66,24.82,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,6,A,,,,,42
363-U1485A-3H-6-A,32,82,24.82,25.32,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 4/1 (dark greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,6,A,,,,,43
363-U1485A-3H-6-A,82,94,25.32,25.44,,silty sand [S54],silty sand,,10Y 3/1 (very dark greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1485,A,3,H,6,A,,,,,44
