Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
346-U1430B-1H-1-A,0,110,0,1.1,,clay ,with foraminifers ,clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,1,A,0
346-U1430B-1H-1-A,110,123,1.1,1.23,calcareous bearing,silty clay ,,calcareous bearing silty clay ,,,,,5GY 7/1 (light greenish gray),heavy ,3,,,,,,,,,,,,,,,calcareous bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,1,A,1
346-U1430B-1H-1-A,123,150,1.23,1.5,,clay ,with foraminifers ,clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,1,A,2
346-U1430B-1H-2-A,0,30,1.5,1.8,,clay ,with foraminifers ,clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,2,A,3
346-U1430B-1H-2-A,30,34,1.8,1.84,,silty clay ,with quartz,silty clay  with quartz,,,,,5GY 7/1 (light greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,2,A,4
346-U1430B-1H-2-A,34,52,1.84,2.02,,silty clay ,with foraminifers ,silty clay  with foraminifers ,,,,lamination,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,2,A,5
346-U1430B-1H-2-A,52,150,2.02,3,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,2,A,6
346-U1430B-1H-3-A,0,63,3,3.63,,clay ,,clay                                   ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay                                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,3,A,7
346-U1430B-1H-3-A,63,70,3.63,3.7,,tephra ,,tephra ,pumice,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,3,A,8
346-U1430B-1H-3-A,70,150,3.7,4.5,calcareous bearing,silty clay ,,calcareous bearing silty clay ,,,,color banding,5GY 7/1 (light greenish gray),heavy ,3,,,,,,,,,,,,,,,calcareous bearing  silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,3,A,9
346-U1430B-1H-4-A,0,88,4.5,5.38,volcaniclastic bearing,clay ,,volcaniclastic bearing clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,volcaniclastic bearing  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,B,1,H,4,A,10
