Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1486D-1H-1-A,0,6,0,0.06,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10YR 4/4 (dark yellowish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,1,H,1,A,,,,,0
363-U1486D-1H-1-A,6,107,0.06,1.07,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,1,H,1,A,,,,,1
363-U1486D-1H-CC-A,0,16,1.07,1.23,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,1,H,CC,A,,,,,2
363-U1486D-2H-1-A,0,134,1.2,2.54,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,Pumice at 137 cm.,,,,,,,,,,,,,363,U1486,D,2,H,1,A,,,,,3
363-U1486D-2H-2-A,0,150,2.54,4.04,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,Darkish between 124 and 128 cm.,,,,,,,,,,,,,363,U1486,D,2,H,2,A,,,,,4
363-U1486D-2H-3-A,0,150,4.04,5.54,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,3,A,,,,,5
363-U1486D-2H-4-A,0,150,5.54,7.04,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,Darkish layer 28 from 31 cm,,,,,,,,,,,,,363,U1486,D,2,H,4,A,,,,,6
363-U1486D-2H-5-A,0,150,7.04,8.54,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,5,A,,,,,7
363-U1486D-2H-6-A,0,53,8.54,9.07,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,6,A,,,,,8
363-U1486D-2H-6-A,53,78,9.07,9.32,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,6,A,,,,,9
363-U1486D-2H-6-A,78,91,9.32,9.45,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,6,A,,,,,10
363-U1486D-2H-7-A,0,25,9.45,9.7,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,7,A,,,,,11
363-U1486D-2H-7-A,25,72,9.7,10.17,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,7,A,,,,,12
363-U1486D-2H-CC-A,0,21,10.17,10.38,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,2,H,CC,A,,,,,13
363-U1486D-3H-1-A,0,60,10.7,11.3,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,1,A,,,,,14
363-U1486D-3H-1-A,60,150,11.3,12.2,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,1,A,,,,,15
363-U1486D-3H-2-A,0,116,12.2,13.36,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,2,A,,,,,16
363-U1486D-3H-2-A,116,144,13.36,13.64,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,2,A,,,,,17
363-U1486D-3H-2-A,144,150,13.64,13.7,,ash(tuff) [MMK88m],ash(tuff),,5YR 4/1 (dark gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,2,A,,,,,18
363-U1486D-3H-3-A,0,115,13.7,14.85,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,3,A,,,,,19
363-U1486D-3H-3-A,115,150,14.85,15.2,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,3,A,,,,,20
363-U1486D-3H-4-A,0,37,15.2,15.57,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,4,A,,,,,21
363-U1486D-3H-4-A,37,116,15.57,16.36,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,4,A,,,,,22
363-U1486D-3H-4-A,116,150,16.36,16.7,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,4,A,,,,,23
363-U1486D-3H-5-A,0,138,16.7,18.08,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,5,A,,,,,24
363-U1486D-3H-5-A,138,143,18.08,18.13,,ash(tuff) [MMK88m],ash(tuff),,10YR 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,5,A,,,,,25
363-U1486D-3H-5-A,143,150,18.13,18.2,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,5,A,,,,,26
363-U1486D-3H-6-A,0,94,18.2,19.14,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,6,A,,,,,27
363-U1486D-3H-6-A,94,150,19.14,19.7,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,6,A,,,,,28
363-U1486D-3H-7-A,0,31,19.7,20.01,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,7,A,,,,,29
363-U1486D-3H-7-A,31,76,20.01,20.46,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,7,A,,,,,30
363-U1486D-3H-CC-A,0,16,20.46,20.62,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,CC,A,,,,,31
363-U1486D-3H-CC-A,16,37,20.62,20.83,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,3,H,CC,A,,,,,32
363-U1486D-4H-1-A,0,30,20.2,20.5,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,33
363-U1486D-4H-1-A,30,80,20.5,21,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,34
363-U1486D-4H-1-A,80,117,21,21.37,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,35
363-U1486D-4H-1-A,117,118,21.37,21.38,,ash(tuff) [MMK88m],ash(tuff),,N 3 (very dark gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,36
363-U1486D-4H-1-A,118,143,21.38,21.63,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,37
363-U1486D-4H-1-A,143,145,21.63,21.65,,ash(tuff) [MMK88m],ash(tuff),,5YR 3/2 (dark reddish brown),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,38
363-U1486D-4H-1-A,145,150,21.65,21.7,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,1,A,,,,,39
363-U1486D-4H-2-A,0,23,21.7,21.93,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,2,A,,,,,40
363-U1486D-4H-2-A,23,29,21.93,21.99,,ash(tuff) [MMK88m],ash(tuff),,5YR 3/2 (dark reddish brown),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,2,A,,,,,41
363-U1486D-4H-2-A,29,75,21.99,22.45,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,2,A,,,,,42
363-U1486D-4H-2-A,75,100,22.45,22.7,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,2,A,,,,,43
363-U1486D-4H-3-A,0,30,22.7,23,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,3,A,,,,,44
363-U1486D-4H-3-A,30,86,23,23.56,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,3,A,,,,,45
363-U1486D-4H-4-A,0,150,23.56,25.06,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,4,A,,,,,46
363-U1486D-4H-5-A,0,130,25.06,26.36,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,5,A,,,,,47
363-U1486D-4H-5-A,130,150,26.36,26.56,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,5,A,,,,,48
363-U1486D-4H-6-A,0,45,26.56,27.01,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,D,4,H,6,A,,,,,49
