Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
359-U1467C-1H-1-A,0,75,0,0.75,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,1,H,1,A,,,,,0
359-U1467C-1H-1-A,75,150,0.75,1.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 3/1 (very dark gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,1,H,1,A,,,,,1
359-U1467C-1H-2-A,0,68,1.5,2.18,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 3/2 (very dark grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,1,H,2,A,,,,,2
359-U1467C-1H-2-A,68,150,2.18,3,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,Thalassinoides,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Thalassinoides (P)",,,,359,U1467,C,1,H,2,A,,,,,3
359-U1467C-1H-3-A,0,88,3,3.88,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,moderate,3,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,1,H,3,A,,,,,4
359-U1467C-1H-3-A,88,150,3.88,4.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/3 (light yellowish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,1,H,3,A,,,,,5
359-U1467C-1H-4-A,0,79,4.5,5.29,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,1,H,4,A,,,,,6
359-U1467C-1H-4-A,79,112,5.29,5.62,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/3 (light yellowish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,1,H,4,A,,,,,7
359-U1467C-1H-5-A,0,86,5.62,6.48,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/3 (light yellowish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,1,H,5,A,,,,,8
359-U1467C-1H-CC-A,0,21,6.48,6.69,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,1,H,CC,A,,,,,9
