Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,23,26,1.73,1.76,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],lithic [2014],,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,10
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,26,33,1.76,1.83,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,33,46,1.83,1.96,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,46,89,1.96,2.39,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,89,92,2.39,2.42,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,crystal [2014],vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,92,104,2.42,2.54,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,104,108,2.54,2.58,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],lithic [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,108,110,2.58,2.6,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
350-U1436A-1H-3-A,350,U1436,A,1,1-3,H,3,A,0,27,3,3.27,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
350-U1436A-1H-3-A,350,U1436,A,1,1-3,H,3,A,27,29,3.27,3.29,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],lithic [2014],,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,,,,,19
350-U1436A-1H-3-A,350,U1436,A,1,1-3,H,3,A,29,64,3.29,3.64,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
350-U1436A-1H-3-A,350,U1436,A,1,1-3,H,3,A,64,84,3.64,3.84,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
350-U1436A-1H-3-A,350,U1436,A,1,1-3,H,3,A,84,109,3.84,4.09,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
350-U1436A-1H-CC-A,350,U1436,A,1,1-CC,H,CC,A,0,15,4.09,4.24,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,0,4,4.3,4.34,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,4,14,4.34,4.44,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,14,17,4.44,4.47,I,,,,mafic,lapilli-ash [2014],,mafic lapilli-ash,mafic lapilli-ash,lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,26
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,17,25,4.47,4.55,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,25,30,4.55,4.6,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,28
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,30,53,4.6,4.83,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,53,59,4.83,4.89,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,shards,,,,,,,,,,,,,,,,,,,,,,,30
350-U1436A-2H-1-A,350,U1436,A,2,2-1,H,1,A,59,110,4.89,5.4,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,0,15,5.8,5.95,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,15,18,5.95,5.98,I,,,,,ash [2014],,ash,ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,,,,33
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,18,40,5.98,6.2,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,40,56,6.2,6.36,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,,,,,,,,35
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,56,65,6.36,6.45,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,65,71,6.45,6.51,I,,,,,ash [2014],with clay [2014],ash,ash with clay,ash with clay,,,,,,,,with glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
350-U1436A-2H-2-A,350,U1436,A,2,2-2,H,2,A,71,146,6.51,7.26,I,,,,,mud [2014],with single pumice,mud,mud with single pumice,mud with single pumice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
350-U1436A-2H-3-A,350,U1436,A,2,2-3,H,3,A,0,17,7.3,7.47,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
350-U1436A-2H-3-A,350,U1436,A,2,2-3,H,3,A,17,21,7.47,7.51,I,,,,evolved,ash [2014],with glauconite,evolved ash,evolved ash with glauconite,ash with glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
350-U1436A-2H-3-A,350,U1436,A,2,2-3,H,3,A,21,58,7.51,7.88,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
350-U1436A-2H-3-A,350,U1436,A,2,2-3,H,3,A,58,98,7.88,8.28,I,,,,mafic,ash [2014],with pumice,mafic ash,mafic ash with pumice,ash with pumice,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],crystal [2014],lithic [2014],,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,42
350-U1436A-2H-3-A,350,U1436,A,2,2-3,H,3,A,98,106,8.28,8.36,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,0,21,8.8,9.01,I,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, evolved lapilli-ash","matrix-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,44
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,21,42,9.01,9.22,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,42,64,9.22,9.44,I,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, evolved lapilli-ash","matrix-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,46
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,64,72,9.44,9.52,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,thinly bedded [I54],,,,,,,,,vitric [2014],crystal [2014],lithic [2014],,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,47
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,72,81,9.52,9.61,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,81,97,9.61,9.77,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,49
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,97,106,9.77,9.86,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,106,136,9.86,10.16,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
350-U1436A-2H-4-A,350,U1436,A,2,2-4,H,4,A,136,150,10.16,10.3,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],crystal [2014],,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,52
350-U1436A-2H-5-A,350,U1436,A,2,2-5,H,5,A,0,32,10.3,10.62,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,53
350-U1436A-2H-5-A,350,U1436,A,2,2-5,H,5,A,32,72,10.62,11.02,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
350-U1436A-2H-CC-A,350,U1436,A,2,2-CC,H,CC,A,0,13,11.02,11.15,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,0,6,11.2,11.26,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,6,23,11.26,11.43,I,,,,"matrix-supported, polymictic, mafic [2014]",lapilli-ash [2014],with pumice,"matrix-supported, polymictic, mafic lapilli-ash","matrix-supported, polymictic, mafic lapilli-ash with pumice",lapilli-ash with pumice,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],lithic [2014],,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,57
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,23,25,11.43,11.45,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,25,91,11.45,12.11,I,,,,"matrix-supported, polymictic, mafic [2014]",lapilli-ash [2014],,"matrix-supported, polymictic, mafic lapilli-ash","matrix-supported, polymictic, mafic lapilli-ash",lapilli-ash,,,,,,,,,,,,,,reversely coarse-tail graded,,,,,,,vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,91,97,12.11,12.17,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,97,100,12.17,12.2,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,non-graded,,,,,,,vitric [2014],lithic [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,100,105,12.2,12.25,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,105,107,12.25,12.27,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,non-graded,,,,,,,vitric [2014],crystal [2014],lithic [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,107,123,12.27,12.43,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,123,124,12.43,12.44,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,non-graded,,,,,,,vitric [2014],crystal [2014],lithic [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
350-U1436A-3H-1-A,350,U1436,A,3,3-1,H,1,A,124,150,12.44,12.7,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,0,15,12.7,12.85,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,15,27,12.85,12.97,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,27,40,12.97,13.1,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,40,49,13.1,13.19,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,70
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,49,65,13.19,13.35,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,65,76,13.35,13.46,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,shards,,pumice [2014],,,,,,,,,,,,,,,,,,,,,72
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,76,95,13.46,13.65,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,95,102,13.65,13.72,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,pumice [2014],,,,,,,,,,,,,,,,,,,,,74
350-U1436A-3H-2-A,350,U1436,A,3,3-2,H,2,A,102,127,13.72,13.97,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
350-U1436A-3H-3-A,350,U1436,A,3,3-3,H,3,A,0,8,14.02,14.1,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
350-U1436A-3H-3-A,350,U1436,A,3,3-3,H,3,A,8,33,14.1,14.35,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,pumice [2014],,scoria [2014],,,,,,,,,,,,,,,,,,,,,77
350-U1436A-3H-3-A,350,U1436,A,3,3-3,H,3,A,33,43,14.35,14.45,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
350-U1436A-3H-3-A,350,U1436,A,3,3-3,H,3,A,43,44,14.45,14.46,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,,79
350-U1436A-3H-3-A,350,U1436,A,3,3-3,H,3,A,44,86,14.46,14.88,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
