Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
362-U1480E-1H-1-A,0,38,0,0.38,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 6/3 (pale brown),planar,sharp,planar sharp,inclined,,unlithified [Leg194],clay [W22_1],1,normal grading,,,,,mottling [BJ80],heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,1,A,,,
362-U1480E-1H-1-A,38,101.5,0.38,1.015,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/3 (very pale brown),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],clay [W22_1],1,,,,,"""79-83 cm unusual trace fossil. May be Ophiomorpha or Impomoglyphus sp.",mottling [BJ80],heavy [DB91],4,,,,ash pods,,,,,,,,,,,,362,U1480,E,1,H,1,A,,,
362-U1480E-1H-1-A,101.5,103,1.015,1.03,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/2 (light gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],clay [W22_1],1,normal grading,,,,"Burrows infilled with dark material (reducing Fe) 10YR 5?1""",mottling [BJ80],moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,1,A,,,
362-U1480E-1H-1-A,103,125,1.03,1.25,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/3 (very pale brown),,,,horizontal,,unlithified [Leg194],clay [W22_1],1,,,,,,mottling [BJ80],heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,1,A,,,
362-U1480E-1H-2-A,0,5,1.35,1.4,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,,unlithified [Leg194],clay [W22_1],1,,,,,113-120 cm may show 3 cm wide Teichichnus,mottling [BJ80],heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,2,A,,,
362-U1480E-1H-2-A,5,46,1.4,1.81,IA,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,7.5YR 5/1 (gray),planar,sharp,planar sharp,inclined,,unlithified [Leg194],fine sand [W22_2],4,normal grading,,silt [W22_1],medium sand [W22_2],,planar lamination,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,1,H,2,A,,,
362-U1480E-1H-2-A,46,140,1.81,2.75,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,,unlithified [Leg194],clay [W22_1],1,,,,,Basl part (38-41 cm) disturbed either due to loading or bioturbation.,mottling [BJ80],heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,2,A,,,
362-U1480E-1H-3-A,0,150,2.85,4.35,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,,unlithified [Leg194],clay [W22_1],1,,,,,"Dark layers 3-10 cm (10YR 4/1-2)) @ 56-59 cm, 100-110 cm",mottling [BJ80],heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,3,A,,,
362-U1480E-1H-4-A,0,125,4.35,5.6,IA,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,,unlithified [Leg194],clay [W22_1],1,,,,,"Dark layers 3-10 cm (10YR 4/1-2)) @ 56-59 cm, 100-110 cm",mottling [BJ80],heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,1,H,4,A,,,
362-U1480E-1H-4-A,125,140,5.6,5.75,IB,,clay [S54],,clay,clay,clay,,10YR 5/2 (grayish brown),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],silt [W22_1],2,,,,,"Dark organic-rich (sulphide) beds with base @ 13.3 cm, 58 cm, 85 cm, 106.5 cm",planar lamination,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,1,H,4,A,,,
