Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
346-U1429A-1H-1-A,0,150,0,1.5,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,1,A,0
346-U1429A-1H-2-A,0,53,1.5,2.03,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,2,A,1
346-U1429A-1H-2-A,53,131,2.03,2.81,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,2,A,2
346-U1429A-1H-2-A,66,90,2.16,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large burrow,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,2,A,3
346-U1429A-1H-2-A,131,150,2.81,3,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,2,A,4
346-U1429A-1H-2-A,149,150,2.99,3,,,,,,,,,,,,,,,,,,,,,,,,,scaphopod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,2,A,5
346-U1429A-1H-3-A,0,150,3,4.5,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,3,A,6
346-U1429A-1H-4-A,0,100,4.5,5.5,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,4,A,7
346-U1429A-1H-5-A,0,70,5.5,6.2,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,5,A,8
346-U1429A-1H-CC-A,0,20,6.2,6.4,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,A,1,H,CC,A,9
