Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
362-U1480G-2R-1-A,0,61,759.6,760.21,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,5Y 3/1 (very dark gray),,,,,,partially lithified,silt [W22_1],2,,,,,"Mottled clays with rare silt laminae - greenish gray (5Y 3/1 (very dark gray)), dark reddish green (2.5YR 2.5/1) and dark greenish gray (GLEY1 2.5/10GY). Silt laminae at 13 cm, 16 cm, 32 cm, 36 cm, and 38.5 cm.",,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,2,R,1,A,,,,0
362-U1480G-2R-2-A,0,90,760.39,761.29,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,5Y 3/1 (very dark gray),,,,,,partially lithified,silt [W22_1],2,,,,,"Mottled clays with rare silt laminae - greenish gray (5Y 3/1 (very dark gray)), dark reddish green (2.5YR 2.5/1) and dark greenish gray (GLEY1 2.5/10GY). Small injection structure at 77-78 cm.",,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,2,R,2,A,,,,1
362-U1480G-2R-2-A,90,93,761.29,761.32,IIB,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thick bed [B01],partially lithified,silt [W22_1],2,,,,,,convolute bedded,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,G,2,R,2,A,,,,2
362-U1480G-2R-2-A,93,145,761.32,761.84,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,5Y 3/1 (very dark gray),,,,,,partially lithified,silt [W22_1],2,,,,,"Mottled clays with rare silt laminae - greenish gray (5Y 3/1 (very dark gray)), dark reddish green (2.5YR 2.5/1) and dark greenish gray (GLEY1 2.5/10GY). Vertical burrow at 9-15 cm.",,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,2,R,2,A,,,,3
362-U1480G-2R-3-A,0,50,761.84,762.34,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,5Y 3/1 (very dark gray),,,,,,partially lithified,silt [W22_1],2,,,,,"Mottled clays with rare silt laminae - greenish gray (5Y 3/1 (very dark gray)), dark reddish green (2.5YR 2.5/1) and dark greenish gray (GLEY1 2.5/10GY).",,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,2,R,3,A,,,,4
362-U1480G-2R-CC-A,0,14,762.34,762.48,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,5Y 3/1 (very dark gray),,,,,,partially lithified,silt [W22_1],2,,,,,"Mottled clays with rare silt laminae - greenish gray (5Y 3/1 (very dark gray)), dark reddish green (2.5YR 2.5/1) and dark greenish gray (GLEY1 2.5/10GY). Silt laminae at 8.5 cm.",,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,2,R,CC,A,,,,5
362-U1480G-3R-1-A,0,114,763.6,764.74,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,1,A,,,,6
362-U1480G-3R-1-A,114,117,764.74,764.77,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,planar lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,1,A,,,,7
362-U1480G-3R-1-A,117,123,764.77,764.83,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,1,A,,,,8
362-U1480G-3R-2-A,0,68,765.09,765.77,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,2,A,,,,9
