Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1490A-1H-1-A,0,22,0,0.22,,foraminiferal ooze [Leg339],foraminiferal ooze,,7.5YR 7/2 (pinkish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,1,A,,,,,0
363-U1490A-1H-1-A,22,74,0.22,0.74,,foraminiferal ooze [Leg339],foraminiferal ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,1,A,,,,,1
363-U1490A-1H-1-A,74,150,0.74,1.5,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,7.5YR 7/2 (pinkish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,1,A,,,,,2
363-U1490A-1H-2-A,0,116,1.5,2.66,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,2,A,,,,,3
363-U1490A-1H-2-A,116,130,2.66,2.8,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,2.5Y 7/2 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,2,A,,,,,4
363-U1490A-1H-2-A,130,140,2.8,2.9,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,2,A,,,,,5
363-U1490A-1H-3-A,0,94,3,3.94,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,3,A,,,,,6
363-U1490A-1H-CC-A,0,23,3.94,4.17,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,1,H,CC,A,,,,,7
363-U1490A-2H-1-A,0,150,4.2,5.7,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,1,A,,,,,8
363-U1490A-2H-2-A,0,150,5.7,7.2,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,2,A,,,,,9
363-U1490A-2H-3-A,0,49,7.2,7.69,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,3,A,,,,,10
363-U1490A-2H-3-A,49,140,7.69,8.6,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,3,A,,,,,11
363-U1490A-2H-4-A,0,96,8.7,9.66,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,4,A,,,,,12
363-U1490A-2H-4-A,96,116,9.66,9.86,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,4,A,,,,,13
363-U1490A-2H-4-A,116,150,9.86,10.2,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,4,A,,,,,14
363-U1490A-2H-5-A,0,150,10.2,11.7,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,5,A,,,,,15
363-U1490A-2H-6-A,0,58,11.7,12.28,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,6,A,,,,,16
363-U1490A-2H-6-A,58,66,12.28,12.36,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,6,A,,,,,17
363-U1490A-2H-6-A,66,116,12.36,12.86,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,6,A,,,,,18
363-U1490A-2H-6-A,116,123,12.86,12.93,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,6,A,,,,,19
363-U1490A-2H-6-A,123,140,12.93,13.1,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,6,A,,,,,20
363-U1490A-2H-7-A,0,19,13.2,13.39,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,7,A,,,,,21
363-U1490A-2H-7-A,19,46,13.39,13.66,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,7,A,,,,,22
363-U1490A-2H-7-A,46,77,13.66,13.97,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,7,A,,,,,23
363-U1490A-2H-CC-A,0,15,13.97,14.12,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,2,H,CC,A,,,,,24
363-U1490A-3H-1-A,0,13,13.7,13.83,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,1,A,,,,,25
363-U1490A-3H-1-A,13,96,13.83,14.66,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,1,A,,,,,26
363-U1490A-3H-1-A,96,99,14.66,14.69,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,1,A,,,,,27
363-U1490A-3H-1-A,99,150,14.69,15.2,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,1,A,,,,,28
363-U1490A-3H-2-A,0,40,15.2,15.6,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,2,A,,,,,29
363-U1490A-3H-2-A,40,53,15.6,15.73,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5BG 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,2,A,,,,,30
363-U1490A-3H-2-A,53,84,15.73,16.04,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,2,A,,,,,31
363-U1490A-3H-2-A,84,93,16.04,16.13,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,2,A,,,,,32
363-U1490A-3H-2-A,93,150,16.13,16.7,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,A,3,H,2,A,,,,,33
