Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data,,,,,,,,,,,,,,,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1366F-2H-3-A,329,U1366,F,2,2-3,H,3,A,120,140,9.7,9.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,11
329-U1366F-2H-4-A,329,U1366,F,2,2-4,H,4,A,0,35,10,10.35,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,12
329-U1366F-2H-4-A,329,U1366,F,2,2-4,H,4,A,60,150,10.6,11.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,13
329-U1366F-2H-5-A,329,U1366,F,2,2-5,H,5,A,30,54,11.8,12.04,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,14
329-U1366F-2H-5-A,329,U1366,F,2,2-5,H,5,A,54,80,12.04,12.3,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,,,,,,,,,,,,,,,15
329-U1366F-2H-5-A,329,U1366,F,2,2-5,H,5,A,54,80,12.04,12.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,,,,,,,,,,,,,,,16
329-U1366F-2H-5-A,329,U1366,F,2,2-5,H,5,A,90,150,12.4,13,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,17
329-U1366F-2H-6-A,329,U1366,F,2,2-6,H,6,A,20,90,13.2,13.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,18
329-U1366F-2H-CC-A,329,U1366,F,2,2-CC,H,CC,A,0,10,13.9,14,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,19
329-U1366F-3H-1-A,329,U1366,F,3,3-1,H,1,A,0,10,14,14.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,20
329-U1366F-3H-1-A,329,U1366,F,3,3-1,H,1,A,20,30,14.2,14.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,21
329-U1366F-3H-1-A,329,U1366,F,3,3-1,H,1,A,40,50,14.4,14.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,22
329-U1366F-3H-1-A,329,U1366,F,3,3-1,H,1,A,90,130,14.9,15.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,23
329-U1366F-3H-1-A,329,U1366,F,3,3-1,H,1,A,140,150,15.4,15.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,24
329-U1366F-3H-2-A,329,U1366,F,3,3-2,H,2,A,20,30,15.7,15.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,25
329-U1366F-3H-2-A,329,U1366,F,3,3-2,H,2,A,40,80,15.9,16.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,26
329-U1366F-3H-2-A,329,U1366,F,3,3-2,H,2,A,90,100,16.4,16.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,27
329-U1366F-3H-2-A,329,U1366,F,3,3-2,H,2,A,120,130,16.7,16.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,28
329-U1366F-3H-2-A,329,U1366,F,3,3-2,H,2,A,140,150,16.9,17,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,29
329-U1366F-3H-3-A,329,U1366,F,3,3-3,H,3,A,40,80,17.4,17.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,30
329-U1366F-3H-3-A,329,U1366,F,3,3-3,H,3,A,90,130,17.9,18.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,31
329-U1366F-3H-3-A,329,U1366,F,3,3-3,H,3,A,140,150,18.4,18.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,32
329-U1366F-3H-4-A,329,U1366,F,3,3-4,H,4,A,0,10,18.5,18.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,33
329-U1366F-3H-4-A,329,U1366,F,3,3-4,H,4,A,40,50,18.9,19,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,34
329-U1366F-3H-4-A,329,U1366,F,3,3-4,H,4,A,90,130,19.4,19.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,35
329-U1366F-3H-4-A,329,U1366,F,3,3-4,H,4,A,140,150,19.9,20,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,36
329-U1366F-3H-5-A,329,U1366,F,3,3-5,H,5,A,0,30,20,20.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,37
329-U1366F-3H-5-A,329,U1366,F,3,3-5,H,5,A,40,60,20.4,20.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,38
329-U1366F-3H-5-A,329,U1366,F,3,3-5,H,5,A,90,100,20.9,21,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,39
329-U1366F-3H-5-A,329,U1366,F,3,3-5,H,5,A,140,150,21.4,21.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,40
329-U1366F-3H-6-A,329,U1366,F,3,3-6,H,6,A,0,30,21.5,21.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,41
329-U1366F-3H-6-A,329,U1366,F,3,3-6,H,6,A,40,50,21.9,22,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,42
329-U1366F-3H-6-A,329,U1366,F,3,3-6,H,6,A,60,80,22.1,22.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,43
329-U1366F-3H-6-A,329,U1366,F,3,3-6,H,6,A,90,130,22.4,22.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,44
329-U1366F-3H-6-A,329,U1366,F,3,3-6,H,6,A,140,150,22.9,23,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,45
329-U1366F-3H-7-A,329,U1366,F,3,3-7,H,7,A,0,20,23,23.2,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,46
329-U1366F-3H-7-A,329,U1366,F,3,3-7,H,7,A,30,41,23.3,23.41,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,47
329-U1366F-3H-CC-A,329,U1366,F,3,3-CC,H,CC,A,0,6,23.41,23.47,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,48
329-U1366F-4H-1-A,329,U1366,F,4,4-1,H,1,A,0,30,23.5,23.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,49
329-U1366F-4H-1-A,329,U1366,F,4,4-1,H,1,A,40,60,23.9,24.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,50
329-U1366F-4H-1-A,329,U1366,F,4,4-1,H,1,A,70,80,24.2,24.3,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,51
329-U1366F-4H-1-A,329,U1366,F,4,4-1,H,1,A,90,130,24.4,24.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,52
329-U1366F-4H-1-A,329,U1366,F,4,4-1,H,1,A,140,150,24.9,25,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,53
329-U1366F-4H-2-A,329,U1366,F,4,4-2,H,2,A,0,10,25,25.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,54
329-U1366F-4H-2-A,329,U1366,F,4,4-2,H,2,A,40,50,25.4,25.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,55
329-U1366F-4H-2-A,329,U1366,F,4,4-2,H,2,A,70,80,25.7,25.8,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,56
329-U1366F-4H-2-A,329,U1366,F,4,4-2,H,2,A,110,120,26.1,26.2,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,57
329-U1366F-4H-2-A,329,U1366,F,4,4-2,H,2,A,140,150,26.4,26.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,58
329-U1366F-4H-3-A,329,U1366,F,4,4-3,H,3,A,0,10,26.5,26.6,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,59
329-U1366F-4H-3-A,329,U1366,F,4,4-3,H,3,A,40,50,26.9,27,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,60
329-U1366F-4H-3-A,329,U1366,F,4,4-3,H,3,A,90,100,27.4,27.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,61
329-U1366F-4H-3-A,329,U1366,F,4,4-3,H,3,A,140,150,27.9,28,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,62
329-U1366F-4H-4-A,329,U1366,F,4,4-4,H,4,A,0,10,28,28.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,63
329-U1366F-4H-4-A,329,U1366,F,4,4-4,H,4,A,60,91,28.6,28.91,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,64
329-U1366F-4H-5-A,329,U1366,F,4,4-5,H,5,A,50,60,29.41,29.51,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,65
329-U1366F-4H-5-A,329,U1366,F,4,4-5,H,5,A,70,74,29.61,29.65,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,66
329-U1366F-4H-5-A,329,U1366,F,4,4-5,H,5,A,87,97,29.78,29.88,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,67
329-U1366F-4H-5-A,329,U1366,F,4,4-5,H,5,A,100,116,29.91,30.07,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
