Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
367-U1499A-1H-1-A,0,2,0,0.02,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,10YR 4/2 (dark grayish brown),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [2014],,,,gradational,,thin lamina [B01],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,1,A,0
367-U1499A-1H-1-A,2,19,0.02,0.19,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/2 (olive gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [2014],,,,gradational,,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,1,A,1
367-U1499A-1H-1-A,19,60,0.19,0.6,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/2 (olive gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [2014],,,,,,medium bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,1,A,2
367-U1499A-1H-1-A,65,150,0.65,1.5,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/2 (olive gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [2014],,,,gradational,,very thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,1,A,3
367-U1499A-1H-2-A,0,145,1.5,2.95,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/2 (olive gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [BP01],,,,,,very thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,2,A,4
367-U1499A-1H-3-A,0,65,3,3.65,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/2 (olive gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderately well [BP01],,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,3,A,5
367-U1499A-1H-3-A,65,70.5,3.65,3.705,,ash(tuff) [MMK88m],,ash(tuff),ash(tuff),100,10YR 8/2 (very pale brown),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [2014],,,,irregular,,thin bed [B01],,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,3,A,6
367-U1499A-1H-3-A,70.5,116,3.705,4.16,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,well [2014],,,,gradational,horizontal,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,3,A,7
367-U1499A-1H-3-A,116,150,4.16,4.5,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5GY 4/1 (dark greenish gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [2014],,,,,,medium bed [B01],interlamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,3,A,8
367-U1499A-1H-4-A,0,142,4.5,5.92,,clay [Leg339],with bioclasts,clay,clay with bioclasts,100,5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,moderate [2014],,,,,,very thick bed [B01],interlamination,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,A,1,H,4,A,9
