Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
320-U1333C-1H-1-A,320,U1333,C,1,1-1,H,1,A,0,9,0,0.09,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/3,,,,,,,0
320-U1333C-1H-1-A,320,U1333,C,1,1-1,H,1,A,9,150,0.09,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,100,soft,10YR 3/3,,,,,,,1
320-U1333C-1H-CC-A,320,U1333,C,1,1-CC,H,CC,A,0,9,1.5,1.59,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,100,soft,10YR 3/3,,,,,,,2
320-U1333C-2H-1-A,320,U1333,C,2,2-1,H,1,A,0,127,1.6,2.87,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 5/3,,,,,,,3
320-U1333C-2H-1-A,320,U1333,C,2,2-1,H,1,A,127,150,2.87,3.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with nannofossils and radiolarians,Clay with nannofossils and radiolarians,50,soft,10YR 3/4,,,,,,,4
320-U1333C-2H-1-A,320,U1333,C,2,2-1,H,1,A,127,150,2.87,3.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/4,,,,,,,5
320-U1333C-2H-2-A,320,U1333,C,2,2-2,H,2,A,0,150,3.1,4.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with nannofossils and radiolarians,Clay with nannofossils and radiolarians,50,soft,10YR 3/4,,,,,,,6
320-U1333C-2H-2-A,320,U1333,C,2,2-2,H,2,A,0,150,3.1,4.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/4,,,,,,,7
320-U1333C-2H-3-A,320,U1333,C,2,2-3,H,3,A,0,40,4.6,5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with nannofossils and radiolarians,Clay with nannofossils and radiolarians,50,soft,10YR 3/4,,,,,,,8
320-U1333C-2H-3-A,320,U1333,C,2,2-3,H,3,A,0,40,4.6,5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/4,,,,,,,9
