Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name
329-U1365D-1H-1-A,329,U1365,D,1,1-1,H,1,A,0,15,0.0,0.15,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-1-A,329,U1365,D,1,1-1,H,1,A,135,150,1.35,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-2-A,329,U1365,D,1,1-2,H,2,A,0,10,1.5,1.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-2-A,329,U1365,D,1,1-2,H,2,A,115,150,2.65,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-3-A,329,U1365,D,1,1-3,H,3,A,70,150,3.7,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-4-A,329,U1365,D,1,1-4,H,4,A,60,150,5.1,6.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-5-A,329,U1365,D,1,1-5,H,5,A,40,50,6.4,6.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-5-A,329,U1365,D,1,1-5,H,5,A,55,150,6.55,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-6-A,329,U1365,D,1,1-6,H,6,A,40,130,7.9,8.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-6-A,329,U1365,D,1,1-6,H,6,A,140,150,8.9,9.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-7-A,329,U1365,D,1,1-7,H,7,A,0,46,9.0,9.46,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-1H-CC-A,329,U1365,D,1,1-CC,H,CC,A,0,21,9.46,9.67,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-1-A,329,U1365,D,2,2-1,H,1,A,0,50,9.5,10.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-1-A,329,U1365,D,2,2-1,H,1,A,70,150,10.2,11.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-2-A,329,U1365,D,2,2-2,H,2,A,58,150,11.58,12.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-3-A,329,U1365,D,2,2-3,H,3,A,50,150,13.0,14.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-4-A,329,U1365,D,2,2-4,H,4,A,0,150,14.0,15.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-5-A,329,U1365,D,2,2-5,H,5,A,45,150,15.95,17.0,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-6-A,329,U1365,D,2,2-6,H,6,A,0,141,17.0,18.41,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
329-U1365D-2H-7-A,329,U1365,D,2,2-7,H,7,A,0,31,18.41,18.72,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
