Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,
342-U1403A-2H-4-A,342,U1403,A,2,2-4,H,4,A,121.0,125.0,11.51,11.55,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-5-A,342,U1403,A,2,2-5,H,5,A,0.0,70.0,11.8,12.5,,,,,10YR 6/3 (pale brown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-5-A,342,U1403,A,2,2-5,H,5,A,0.0,150.0,11.8,13.3,silty [Leg339],clay [Leg339],,silty  clay ,,,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-5-A,342,U1403,A,2,2-5,H,5,A,70.0,150.0,12.5,13.3,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 3/1 (very dark gray),,,,,,,"dark color not very consistent throughout, disrupted by burrowed/mottled texture",,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-6-A,342,U1403,A,2,2-6,H,6,A,0.0,30.0,13.3,13.6,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 3/1 (very dark gray),,,,moderate [DB91],4,,"dark color not very consistent throughout, disrupted by burrowed/mottled texture",,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-6-A,342,U1403,A,2,2-6,H,6,A,30.0,142.0,13.6,14.8,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/2 (light brownish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-7-A,342,U1403,A,2,2-7,H,7,A,0.0,72.0,14.8,15.52,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/3 (pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-CC-A,342,U1403,A,2,2-CC,H,CC,A,0.0,11.0,15.52,15.72,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/3 (pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-3H-1-A,342,U1403,A,3,3-1,H,1,A,0.0,150.0,15.3,16.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/2 (light brownish gray),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-1-A,342,U1403,A,3,3-1,H,1,A,92.0,97.0,16.22,16.27,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-2-A,342,U1403,A,3,3-2,H,2,A,0.0,150.0,16.8,18.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/2 (light brownish gray),,,,heavy [DB91],5,,Lower two-thirds of section has ~1 cm thick slightly darker zones alternating with brownish color. Burrowing is present but not as intense as in Core 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-2-A,342,U1403,A,3,3-2,H,2,A,23.0,23.5,17.03,17.035,,,,,,,nodule,manganese,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-2-A,342,U1403,A,3,3-2,H,2,A,29.0,35.0,17.09,17.15,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-3-A,342,U1403,A,3,3-3,H,3,A,0.0,150.0,18.3,19.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/2 (light brownish gray),,,,heavy [DB91],5,,Upper 25 cm has continuation of dark/light alternation seen in section 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-4-A,342,U1403,A,3,3-4,H,4,A,0.0,150.0,19.8,21.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/2 (light brownish gray),,,,heavy [DB91],5,,"Color still dominantly 10YR 6/2 but with some thin (<5 cm) bands of slightly redder colors (e.g., 60-64 cm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,0.0,150.0,21.3,22.8,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/3 (pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,41.0,43.0,21.71,21.73,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,44.5,45.0,21.745,21.75,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,50.0,51.0,21.8,21.81,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,76.0,77.0,22.06,22.07,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,88.5,91.0,22.185,22.21,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,101.0,102.0,22.31,22.32,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-5-A,342,U1403,A,3,3-5,H,5,A,119.0,120.0,22.49,22.5,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-6-A,342,U1403,A,3,3-6,H,6,A,0.0,84.0,22.8,23.64,,,,,10YR 5/4 (yellowish brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-6-A,342,U1403,A,3,3-6,H,6,A,0.0,150.0,22.8,24.3,,clay [Leg339],with silt [Leg339],clay  with silt ,,,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-6-A,342,U1403,A,3,3-6,H,6,A,27.0,43.0,23.07,23.23,,,,,,,nodule,manganese,,,,"Manganese nodules from 27-43 are small (<0.5 cm) and numerous throughout this interval, it is not one large nodule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-6-A,342,U1403,A,3,3-6,H,6,A,27.0,84.0,23.07,23.64,,,,,,,nodule,manganese,,,,Sand-sized dark (likely manganese) nodules dispersed throughout this interval. No nodules of any size seen below the distinct color change at 84 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-6-A,342,U1403,A,3,3-6,H,6,A,84.0,142.0,23.64,24.3,,,,,2.5Y 6/2 (light brownish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-7-A,342,U1403,A,3,3-7,H,7,A,0.0,63.0,24.3,24.93,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 5/3 (brown),,,,moderate [DB91],4,,Lower part of section (48-63 cm) has alternating darker/lighter layers with moderate burrowing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-CC-A,342,U1403,A,3,3-CC,H,CC,A,0.0,13.5,24.93,25.065,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/1 (gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-3H-CC-A,342,U1403,A,3,3-CC,H,CC,A,13.5,14.0,25.065,25.07,,,,,,,nodule,manganese,,,,Thin (0.5 cm) manganese encrusted surface that goes across entire core width.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-3H-CC-A,342,U1403,A,3,3-CC,H,CC,A,14.0,20.0,25.07,25.13,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 7/2 (light gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,24.0,150.0,24.8,26.3,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/3 (pale brown),,nodule,manganese,moderate [DB91],4,,Mottled color alterations throughout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,7.0,9.0,24.87,24.89,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,22.0,23.0,25.02,25.03,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,58.0,58.5,25.38,25.385,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,93.5,94.5,25.735,25.745,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,127.0,127.5,26.07,26.075,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,131.0,131.5,26.11,26.115,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,134.0,134.5,26.14,26.145,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-1-A,342,U1403,A,4,4-1,H,1,A,141.5,142.0,26.215,26.22,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-2-A,342,U1403,A,4,4-2,H,2,A,0.0,5.0,26.3,26.35,,clay [Leg339],with silt [Leg339],clay  with silt ,10YR 6/3 (pale brown),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-2-A,342,U1403,A,4,4-2,H,2,A,5.0,150.0,26.35,27.8,,clay [Leg339],with silt [Leg339],clay  with silt ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-2-A,342,U1403,A,4,4-2,H,2,A,10.0,10.5,26.4,26.405,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-2-A,342,U1403,A,4,4-2,H,2,A,39.0,39.5,26.69,26.695,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-2-A,342,U1403,A,4,4-2,H,2,A,97.0,97.5,27.27,27.275,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-2-A,342,U1403,A,4,4-2,H,2,A,130.0,131.5,27.6,27.615,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-3-A,342,U1403,A,4,4-3,H,3,A,0.0,150.0,27.8,29.3,,clay [Leg339],with silt [Leg339],clay  with silt ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-3-A,342,U1403,A,4,4-3,H,3,A,76.0,76.5,28.56,28.565,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-3-A,342,U1403,A,4,4-3,H,3,A,90.0,90.5,28.7,28.705,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-4-A,342,U1403,A,4,4-4,H,4,A,0.0,150.0,29.3,30.8,,clay [Leg339],with silt [Leg339],clay  with silt ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-4-A,342,U1403,A,4,4-4,H,4,A,8.0,8.5,29.38,29.385,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-4-A,342,U1403,A,4,4-4,H,4,A,90.0,90.5,30.2,30.205,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-4-A,342,U1403,A,4,4-4,H,4,A,146.0,146.5,30.76,30.765,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-5-A,342,U1403,A,4,4-5,H,5,A,0.0,150.0,30.8,32.3,,clay [Leg339],with silt [Leg339],clay  with silt ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-5-A,342,U1403,A,4,4-5,H,5,A,46.0,47.0,31.26,31.27,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-5-A,342,U1403,A,4,4-5,H,5,A,124.0,125.0,32.04,32.05,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-5-A,342,U1403,A,4,4-5,H,5,A,131.0,131.5,32.11,32.115,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-6-A,342,U1403,A,4,4-6,H,6,A,0.0,113.0,32.3,33.5,,clay [Leg339],with silt [Leg339],clay  with silt ,5G 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-6-A,342,U1403,A,4,4-6,H,6,A,28.0,28.5,32.58,32.585,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-4H-7-A,342,U1403,A,4,4-7,H,7,A,0.0,58.0,33.5,34.08,,clay [Leg339],with silt [Leg339],clay  with silt ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-4H-CC-A,342,U1403,A,4,4-CC,H,CC,A,0.0,20.0,34.08,34.34,,clay [Leg339],with silt [Leg339],clay  with silt ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell Color entered in the database is the dominant color, but note that the section has a secondary color of GLEY 1 5/10Y (darker green) and then very thin (<1 cm) zones of purple (GLEY 1 4/10Y). The greener lithology has no silt, whereas the browner lithology has minor silt (per smear slide analysis).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1403A-5H-1-A,342,U1403,A,5,5-1,H,1,A,40.0,55.0,34.3,34.85,,clay [Leg339],,clay ,10GY 5/1 (greenish gray),,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-5H-1-A,342,U1403,A,5,5-1,H,1,A,55.0,103.0,34.85,35.33,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,,,moderate [DB91],4,,"The Munsell color entered in the database is the dominant color, but not that this interval is characterized by irregular weak banding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
