Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1430A-1H-1-A,0,103,0,1.03,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,1,A
346-U1430A-1H-1-A,103,107,1.03,1.07,,clay ,with quartz,clay  with quartz,,,,,5GY 7/1 (light greenish gray),heavy ,3,,,,,,,,,,,,,,,clay ,clay   with quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,1,A
346-U1430A-1H-1-A,107,150,1.07,1.5,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,1,A
346-U1430A-1H-2-A,0,37,1.5,1.87,,clay ,with foraminifers ,clay  with foraminifers ,,,,lamination,,,,,,,,,,,,,,,,,,clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,2,A
346-U1430A-1H-2-A,37,50,1.87,2,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,2,A
346-U1430A-1H-2-A,50,51,2,2.01,,tephra ,,tephra ,,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,2,A
346-U1430A-1H-2-A,51,140,2.01,2.9,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,2,A
346-U1430A-1H-3-A,0,20,2.9,3.1,,clay ,with foraminifers ,clay  with foraminifers ,,,,lamination,,,,,,,,,,,,,,,,,,clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,3,A
346-U1430A-1H-3-A,20,54,3.1,3.44,,clay ,,clay ,,,,color banding,10Y 3/2 (very dark grayish green),heavy ,3,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,3,A
346-U1430A-1H-3-A,54,57,3.44,3.47,,tephra ,,tephra ,,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1430,A,1,H,3,A
