Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
341-U1421A-3H-2-A,0,145,17.8,19.25,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],subangular,,,,,,"sandstone 6 cm at 26 cm, subangular; sandstone 5 cm, subangular, at 98 cm; sdst 2;",,,,,,341,U1421,A,3,H,2,A,,,,29
341-U1421A-3H-2-A,145,150,19.25,19.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,3,H,2,A,,,,30
341-U1421A-3H-3-A,0,62,19.3,19.92,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,3,H,3,A,,,,31
341-U1421A-3H-3-A,62,150,19.92,20.8,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,3,H,3,A,,,,32
341-U1421A-3H-4-A,0,145,20.8,22.25,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],,,,pebble [W22_2],subangular,,,,,,"sandstone 1.5 cm at 68 cm, siltstone 1.5 cm at 124 cm; siltst 1, sandst 1",,,,,,341,U1421,A,3,H,4,A,,,,33
341-U1421A-3H-4-A,145,150,22.25,22.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,3,H,4,A,,,,34
341-U1421A-3H-5-A,0,150,22.3,23.8,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],11,,,,,,,,,,,,,,,,341,U1421,A,3,H,5,A,,,,35
341-U1421A-3H-6-A,0,69,23.8,24.49,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],10,,,,,,,,,,22-27cm: bowed sand lamina,gradational contact,,,,,341,U1421,A,3,H,6,A,,,,36
341-U1421A-3H-6-A,69,116,24.49,24.96,silty,mud [Leg210],,silty mud ,,,,N 3 (very dark gray),,,present [A79],11,,,,,,,,,,,,,,,,341,U1421,A,3,H,6,A,,,,37
341-U1421A-3H-6-A,116,121,24.96,25.01,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,3,H,6,A,,,,38
341-U1421A-3H-7-A,0,64,25.01,25.65,silty,mud [Leg210],,silty mud ,,,,N 3 (very dark gray),,,present [A79],10,,,,,,,,,,,,,,,,341,U1421,A,3,H,7,A,,,,39
341-U1421A-3H-CC-A,0,26,25.65,25.91,silty,mud [Leg210],,silty mud ,,,,N 3 (very dark gray),,,present [A79],8,,,,,,,,,,,,,,,,341,U1421,A,3,H,CC,A,,,,40
341-U1421A-3H-CC-A,26,31,25.91,25.96,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,3,H,CC,A,,,,41
341-U1421A-4H-1-A,0,145,25.8,27.25,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],rounded,pebble [W22_2],subrounded,,,,"3 cm (meta-sandstone) 3 cm elongate gneiss at 7 cm, 2 cm rounded sandstone at 22 cm; gneiss 1, sdast 1;",,,,,,341,U1421,A,4,H,1,A,,,,42
341-U1421A-4H-CC-A,0,5,27.25,27.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,4,H,CC,A,,,,43
341-U1421A-5H-CC-A,0,5,35.3,35.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,5,H,CC,A,,,,44
341-U1421A-5H-CC-A,5,10,35.35,35.4,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,5,H,CC,A,,,,45
341-U1421A-6H-1-A,0,142,44.8,46.22,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,pebble [W22_2],subangular,,,,"clasts: sandstone (~2cm), argillite;
many clast lithologies obscured by wire splitting",,,,,,341,U1421,A,6,H,1,A,,,,46
341-U1421A-6H-1-A,142,150,46.22,46.3,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,341,U1421,A,6,H,1,A,,,,47
341-U1421A-6H-2-A,0,145,46.3,47.75,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: sandstone (@42cm), mudstone;
many clast lithologies obscured by wire splitting",,,,,,341,U1421,A,6,H,2,A,,,,48
341-U1421A-6H-2-A,145,150,47.75,47.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,6,H,2,A,,,,49
341-U1421A-6H-3-A,0,145,47.8,49.25,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: sandstone(4cm), mudstone(3cm);
many clast lithologies obscured by wire splitting",,,,,,341,U1421,A,6,H,3,A,,,,50
341-U1421A-6H-3-A,145,150,49.25,49.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,6,H,3,A,,,,51
341-U1421A-6H-4-A,0,152,49.3,50.82,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,many clast lithologies obscured by wire splitting,,,,,,341,U1421,A,6,H,4,A,,,,52
341-U1421A-6H-CC-A,0,5,50.82,50.87,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,6,H,CC,A,,,,53
341-U1421A-7H-1-A,0,150,50.8,52.3,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],3,,,pebble [W22_2],rounded,granule [W22_2],,shell fragment,,,"sandstone 1.5 cm, rounded, at 8 cm, 2 granules; shell fragment at 125",,,,,,341,U1421,A,7,H,1,A,,,,54
341-U1421A-7H-2-A,0,150,52.3,53.8,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],7,,,pebble [W22_2],,pebble [W22_2],,shell fragment,,,"argillie 1 cm at 103 cm, siltstone 1 cm at 135 cm; shell fragments at 99 and 131 cm",,,,,,341,U1421,A,7,H,2,A,,,,55
341-U1421A-7H-3-A,0,150,53.8,55.3,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),,,present [A79],,,,,,,,shell fragment,,,shell fragment at 46 cm; slate clast 4 cm in WH at 83 cm; ,,,,,,341,U1421,A,7,H,3,A,,,,56
341-U1421A-7H-4-A,0,140,55.3,56.7,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],4,,,granule [W22_2],,granule [W22_2],,shell fragment,,,"shell fragments at 105, 110 and 118 cm",,,,,,341,U1421,A,7,H,4,A,,,,57
341-U1421A-7H-4-A,140,150,56.7,56.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,7,H,4,A,,,,58
341-U1421A-7H-5-A,0,20,56.8,57,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,10Y 4/1 (dark greenish gray),,,present [A79],3,,,,,,,,,,,sharp contact,,,,,341,U1421,A,7,H,5,A,,,,59
341-U1421A-7H-5-A,20,140,57,58.2,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: sandstone, quartzite; others obscured by wire cutting",,,,,,341,U1421,A,7,H,5,A,,,,60
341-U1421A-7H-6-A,0,140,58.2,59.6,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,"clasts: siltstone, basalt, rhyolite; others obscured by wire cutting",,,,,,341,U1421,A,7,H,6,A,,,,61
341-U1421A-7H-7-A,0,61,59.6,60.21,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,clasts: sandstone; others obscured by wire cutting,,,,,,341,U1421,A,7,H,7,A,,,,62
341-U1421A-7H-CC-A,0,25,60.21,60.46,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,,,,,,,341,U1421,A,7,H,CC,A,,,,63
341-U1421A-7H-CC-A,25,30,60.46,60.51,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,7,H,CC,A,,,,64
341-U1421A-8H-1-A,0,150,60.3,61.8,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"sandst. 2, argillite 1; core half ""destroyed"" by splitting with  a wire; mud w. 20% sand
",,,,,,341,U1421,A,8,H,1,A,,,,65
341-U1421A-8H-2-A,0,140,61.8,63.2,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"argillite 2, sdst. 3, mica shist 1; mud w. 20% sand",,,,,,341,U1421,A,8,H,2,A,,,,66
341-U1421A-8H-2-A,140,150,63.2,63.3,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,8,H,2,A,,,,67
341-U1421A-8H-3-A,0,150,63.3,64.8,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"siltst 2, sandst 1, basalt 1; mud w. 20% sand",,,,,,341,U1421,A,8,H,3,A,,,,68
341-U1421A-8H-4-A,0,67,64.8,65.47,silty,mud [Leg210],with abundant clasts,silty mud  with abundant clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,sandst 1; mud w. 20% sand,,,,,,341,U1421,A,8,H,4,A,,,,69
341-U1421A-8H-CC-A,0,7,65.47,65.54,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,8,H,CC,A,,,,70
341-U1421A-9H-1-A,0,150,65.5,67,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,cobble [W22_2],subrounded,,,,,,"sandstone(3), mica schist(1)",,,,,,341,U1421,A,9,H,1,A,,,,71
341-U1421A-9H-2-A,0,140,67,68.4,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: basalt(3), siltstone(4), chert(1), sandstone(5), argillite(2), granite(2), metasandstone(1); up to 2.5cm",,,,,,341,U1421,A,9,H,2,A,,,,72
341-U1421A-9H-2-A,140,150,68.4,68.5,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,9,H,2,A,,,,73
341-U1421A-9H-3-A,0,152,68.5,70.02,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,shell fragment,,,"clasts: basalt(4), sandstone(7), siltstone(6), granitoid(3), argillite(1); up to 2cm;
shell fragment @ 8cm",,,,,,341,U1421,A,9,H,3,A,,,,74
341-U1421A-9H-CC-A,0,23,70.02,70.25,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: siltstone(3), sandstone(4), basalt(1), granite(2)",,,,,,341,U1421,A,9,H,CC,A,,,,75
341-U1421A-9H-CC-A,23,28,70.25,70.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,9,H,CC,A,,,,76
341-U1421A-10H-1-A,0,54,70.2,70.74,silty,clast-rich diamict [M89m],,silty clast-rich diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"vein qtz 3, siltst 10, sdst 3, basalt 6;",,,,,,341,U1421,A,10,H,1,A,,,,77
341-U1421A-10H-CC-A,0,9,70.74,70.83,,clast-rich diamict [M89m],,clast-rich diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,siltst 4,,,,,,341,U1421,A,10,H,CC,A,,,,78
341-U1421A-10H-CC-A,9,13,70.83,70.87,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,10,H,CC,A,,,,79
341-U1421A-11H-1-A,0,150,70.8,72.3,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"siltst 9, granite 3, basalt 7, rhyolite 2, sandst 4, vein qtz 5",,,,,,341,U1421,A,11,H,1,A,,,,80
341-U1421A-11H-2-A,0,140,72.3,73.7,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: basalt(7), granitoid(2), sandstone(6), siltstone(9), argillite(2)",,,,,,341,U1421,A,11,H,2,A,,,,81
341-U1421A-11H-2-A,140,150,73.7,73.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,11,H,2,A,,,,82
341-U1421A-11H-3-A,0,101,73.8,74.81,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: argillite(2), basalt(6), sandstone(5), siltstone(6), granitoid(2)",,,,,,341,U1421,A,11,H,3,A,,,,83
341-U1421A-11H-4-A,0,67,74.81,75.48,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: sandstone(6), basalt(4), siltstone(4), granitoid(1)",,,,,,341,U1421,A,11,H,4,A,,,,84
341-U1421A-11H-CC-A,0,21,75.48,75.69,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: granitoid (3), sandstone(3), basalt(1)",,,,,,341,U1421,A,11,H,CC,A,,,,85
341-U1421A-11H-CC-A,21,26,75.69,75.74,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,11,H,CC,A,,,,86
341-U1421A-12H-1-A,0,150,75.5,77,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"granite 2, basalt 9, vein qtz 9, argillite 1, siltst 12, sandst 3",,,,,,341,U1421,A,12,H,1,A,,,,87
341-U1421A-12H-2-A,0,150,77,78.5,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"sandst 5, siltst 3, argillite 1, granite 2, basalt 5, vein qtz 8",,,,,,341,U1421,A,12,H,2,A,,,,88
341-U1421A-12H-3-A,0,120,78.5,79.7,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"sandst 2, siltst 2, basalt 4, granite 2, red siltst 1, mica shist 1, vein qtz 4",,,,,,341,U1421,A,12,H,3,A,,,,89
341-U1421A-12H-4-A,0,53,79.7,80.23,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,12,H,4,A,,,,90
341-U1421A-12H-CC-A,0,15,80.23,80.38,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,12,H,CC,A,,,,91
341-U1421A-12H-CC-A,15,20,80.38,80.43,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,12,H,CC,A,,,,92
341-U1421A-13H-1-A,0,140,80.2,81.6,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: basalt(3), siltstone(5), sandstone(8), metasandstone(1), laminated siltstone(1), gneiss(1), argillite(1), granitoid(4)",,,,,,341,U1421,A,13,H,1,A,,,,93
341-U1421A-13H-1-A,140,150,81.6,81.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,13,H,1,A,,,,94
341-U1421A-13H-2-A,0,140,81.7,83.1,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,shell fragment,,,"clasts: sandstone(6), gneiss(1), metasandstone(1), siltstone(7), marble(?);
shell fragment @ 44cm
",,,,,,341,U1421,A,13,H,2,A,,,,95
341-U1421A-13H-CC-A,0,21,83.1,83.31,,clast-poor diamict [M89m],,clast-poor diamict ,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,"clasts: sandstone(3), silstone(3), many small granules",,,,,,341,U1421,A,13,H,CC,A,,,,96
341-U1421A-13H-CC-A,21,26,83.31,83.36,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,13,H,CC,A,,,,97
341-U1421A-14H-1-A,0,150,83.3,84.8,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 3 cm) of siltsonte, metasiltstone, granitoids, little greenstone; slighlty more clasts @ 83-85 cm; SS @ 83 cm: sandy silt, rounded volc. ash (green, brown, clean, angular)+ glauconite",,,,,,341,U1421,A,14,H,1,A,,,,98
341-U1421A-14H-2-A,0,120,84.8,86,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 5 cm) of siltsonte, metasiltstone, granitoids",,,,,,341,U1421,A,14,H,2,A,,,,99
341-U1421A-14H-3-A,0,55,86,86.55,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 3 cm) of siltstone, metasandstone, granitoids",,,,,,341,U1421,A,14,H,3,A,,,,100
341-U1421A-14H-CC-A,0,19,86.55,86.74,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"sandy mud matrix, granules and pebbles (up to 1 cm) of siltstone, greenstone",,,,,,341,U1421,A,14,H,CC,A,,,,101
341-U1421A-14H-CC-A,19,23,86.74,86.78,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1421,A,14,H,CC,A,,,,102
341-U1421A-15H-1-A,0,37,86.7,87.07,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,mud matrix with sand; siltstone granules; 5 cm biotite gneiss @ 14-20 cm,,,,,,341,U1421,A,15,H,1,A,,,,103
341-U1421A-15H-CC-A,0,25,87.07,87.32,muddy [Leg339],clast-rich diamict [M89m],with sand [Leg339],muddy  clast-rich diamict  with sand ,,,,N 4 (dark gray),,,,,,,,,,,,,,"mud matrix with sand; granules and pebbles (up to 1 cm): siltstone, granitoids, greenstone",,,,,,341,U1421,A,15,H,CC,A,,,,104
