Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comments,File Data,Zone name,Zone name (short)
339-U1391C-2R-CC-PAL-FORAM,339,U1391,C,2,2-CC,R,CC,PAL,FORAM,0,5,345.0,345.05,,,,,P ,,,,,,,,,,,,,,,R ,,,,P ,,,,,P ,,,,,,,,,,P ,,,,,,F ,R ,R ,,,,A ,R ,,,,,,F ,,,,,,R ,,,,,,,,,,,,,,,,,
339-U1391C-3R-CC-PAL-FORAM,339,U1391,C,3,3-CC,R,CC,PAL,FORAM,0,5,354.48,354.53,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,R ,R ,,,,A ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-4R-CC-PAL-FORAM,339,U1391,C,4,4-CC,R,CC,PAL,FORAM,0,7,357.91,357.98,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,P ,,,,R ,P ,,,,,,R ,,,,,,,P ,,,,,,,P ,,,,,,,,,
339-U1391C-5R-CC-PAL-FORAM,339,U1391,C,5,5-CC,R,CC,PAL,FORAM,0,5,374.48,374.53,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,P ,P ,,,,F ,R ,R ,,,,,A ,,,,,,,P ,,,,,,,R ,,,,,,,,,
339-U1391C-6R-CC-PAL-FORAM,339,U1391,C,6,6-CC,R,CC,PAL,FORAM,0,5,377.32,377.37,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,P ,P ,P ,,,,F ,,,,,,,P ,,,,,,,P ,,,,,,,,,,,,,,,,
339-U1391C-7R-CC-PAL-FORAM,339,U1391,C,7,7-CC,R,CC,PAL,FORAM,0,5,391.44,391.49,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,,P ,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-8R-CC-PAL-FORAM,339,U1391,C,8,8-CC,R,CC,PAL,FORAM,0,5,399.87,399.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,R ,,,P ,,A ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-10R-CC-PAL-FORAM,339,U1391,C,10,10-CC,R,CC,PAL,FORAM,0,5,419.55,419.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,F ,,,,,,,,,,,,,,,,
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,R ,,,,,,,P ,,,,,R ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,
