Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina crociapertura	Pseudohastigerina wilcoxensis	Pseudohastigerina micra	Turborotalia pseudomayeri	Turborotalia praecentralis	Turborotalia possagnoensis	Turborotalia griffinae	Guembelitria spp.	Globorotaloides suteri	Tenuitella clemenciae	Globigerina venezuelana	Turborotalia boweri	Tenuitella gemma	Subbotina utilisindex	Subbotina eocaenica	Subbotina angiporoides minima	Subbotina eocaena	Subbotina hornibrooki	Globorotaloides permicus	Acarinina rugosoaculeata	Acarinina rotundimarginata	Globorotaloides sp. 1	Acarinina intermedia	Subbotina inaequispira	Pseudohastigerina danvillensis	Morozovella broedermanni	Globigerinatheka micra	Acarinina rohri	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina pentacamerata	Acarinina medizzai	Acarinina lozanoi	Acarinina libyaensis	Acarinina interposita	Acarinina densa	Acarinina cuneicamerata	Acarinina bullbrooki	Tenuitella reissi	Globigerinatheka senni	Chiloguembelina cubensis	Catapsydrax unicavus	Catapsydrax taroubaensis	Catapsydrax sp.	Acarinina matthewsae	Globigerinatheka sp.	Planorotalites pseudoscitulus	Planorotalites planoconicus	Globorotaloides carcoselleensis	Acarinina soldadoensis angulosa	Subbotina praeturritilina	Acarinina acceleratoria	Dentoglobigerina galavisi	Subbotina angiporoides angiporoides	Paragloborotalia siakensis	Paragloborotalia semivera	Globoquadrina sellii	Globigerinita juvenilis	Globigerina praebulloides	Paragloborotalia opima	Paragloborotalia nana	Tenuitella munda	Globigerina officinalis	Paragloborotalia pseudocontinuosa	Zeaglobigerina woodi	Globorotaloides variabilis	Globoquadrina tripartita	Zeaglobigerina connecta	Tenuitella angustiumbilicata	Paragloborotalia pseudokugleri	Globorotaloides stainforthi	Globorotalia birnageae	Globigerinita glutinata	Globigerina ciperoensis	Dentoglobigerina larmeui	Dentoglobigerina baroemoenensis	Dentoglobigerina altispira globosa	Tenuitellinata prestainforthi	Globoquadrina rohri	Globoquadrina praedehiscens	Globigerinella obesa	Globigerina anguliofficinalis	Tenuitellinata sp.	Tenuitella neoclemenciae	Paragloborotalia continuosa	Globoquadrina dehiscens	Globigerinoides immaturus	Turborotalita quinqueloba	Globigerinoides trilobus	Globigerinita uvula	Globigerina prasaepis	Dentoglobigerina langhiana	Catapsydrax dissimilis	Globigerinoides subsacculifer	Sphaeroidinellopsis disjuncta	Paragloborotalia kugleri	Globigerinoides parawoodi	Zeaglobigerina labiacrassata	Zeaglobigerina brazieri	Globigerinoides subquadratus	Tenuitella minutissima	Globorotalia incognita	Globigerina falconensis	Cassigerinella chipolensis	Paragloborotalia acrostoma	Globorotalia zealandica	Globorotalia praescitula	Globorotalia peripheroronda	Paragloborotalia mayeri	Globigerinoides quadrilobatus	Praeorbulina transitoria	Globorotalia miozea	Globigerinoides bisphericus	Globorotalia peripheroronda/peripheroacuta	Globigerina pseudociperoensis	Globorotalia cf. Gr. suterae	Guembelitria sp.	Globigerinella siphonifera	Zeaglobigerina decoraperta	Praeorbulina sicana	Zeaglobigerina druryi	Globigerina bulbosa	Neogloboquadrina pachyderma (sinistral)	Globigerinoides diminutus	Praeorbulina glomerosa	Globorotalia scitula	Globigerina sp. A	Globigerinoides ruber	Orbulina universa	Neogloboquadrina acostaensis	Neogloboquadrina praehumerosa	Neogloboquadrina atlantica (dextral)	Sphaeroidinellopsis seminulina	Globorotalia menardii	Globigerina bulloides	Neogloboquadrina humerosa	Globorotalia lenguaensis	Neogloboquadrina sp.	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina dutertrei	Comment

  SR	Pliocene         	                 	N. atlantica (sin.)	              	152	 918	D	 14	R	 2	  95.00	    415.2500	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	cf                     	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	-                      	                         	                      	                     	                	                       	                                 	-                   	                          	                        	                       	                            	                              	                           	                      	-                      	                       	-                       	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	-                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	-                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	-                                      	                         	                      	-                   	                 	                     	-                	-                           	-                            	-                                   	-                             	-                    	T                    	-                        	-                       	-                   	T                                     	-                         	From Leg 152; Ch 12; Table 6; p. 170

  SR	                 	                 	                  	              	152	 918	D	 18	R	 1	  28.00	    448.4800	Spezzaferri	Planktonic Foraminifers                      	B              	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	-                      	                         	                      	                     	                	                       	                                 	-                   	                          	                        	                       	                            	                              	                           	                      	-                      	                       	-                       	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	-                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	-                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	-                                      	                         	                      	-                   	                 	                     	-                	-                           	-                            	-                                   	-                             	-                    	-                    	-                        	-                       	-                   	-                                     	-                         	From Leg 152; Ch 12; Table 6; p. 170

  SR	Pliocene         	                 	N. atlantica (sin.)	              	152	 918	D	 22	R	 1	 134.00	    485.1400	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	T                      	                         	                      	                     	                	                       	                                 	cf                  	                          	                        	                       	                            	                              	                           	                      	T                      	                       	-                       	                               	                                  	                             	                   	                           	cf                  	                             	-                 	-                       	-                          	                       	-                        	T                        	                        	T                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	-                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	-                                      	                         	                      	-                   	                 	                     	-                	T                           	-                            	-                                   	T                             	-                    	-                    	-                        	-                       	T                   	T                                     	T                         	From Leg 152; Ch 12; Table 6; p. 170

  SR	Pliocene         	                 	N. atlantica (sin.)	              	152	 918	D	 22	R	 2	   8.00	    485.3800	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	T                      	                         	                      	                     	                	                       	                                 	T                   	                          	                        	                       	                            	                              	                           	                      	-                      	                       	-                       	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	-                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	-                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	T                                      	                         	                      	-                   	                 	                     	T                	-                           	T                            	-                                   	-                             	-                    	T                    	-                        	-                       	-                   	T                                     	T                         	From Leg 152; Ch 12; Table 6; p. 170

  SR	Pliocene         	                 	N. atlantica (sin.)	              	152	 918	D	 22	R	 3	   8.00	    486.8800	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	T                      	                         	                      	                     	                	                       	                                 	T                   	                          	                        	                       	                            	                              	                           	                      	-                      	                       	T                       	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	T                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	-                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	-                                      	                         	                      	T                   	                 	                     	-                	-                           	-                            	-                                   	-                             	-                    	T                    	-                        	-                       	T                   	T                                     	                          	From Leg 152; Ch 12; Table 6; p. 170

  SR	Pliocene         	                 	N. atlantica (sin.)	              	152	 918	D	 24	R	 1	  97.00	    504.1700	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	-                      	                         	                      	                     	                	                       	                                 	-                   	                          	                        	                       	                            	                              	                           	                      	-                      	                       	                        	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	-                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	T                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	-                                      	                         	                      	-                   	                 	                     	-                	-                           	-                            	-                                   	-                             	-                    	-                    	-                        	-                       	-                   	VR                                    	                          	From Leg 152; Ch 12; Table 6; p. 170

  SR	Pliocene         	                 	N. atlantica (sin.)	              	152	 918	D	 24	R	 2	  68.00	    505.3800	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	T                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	T                      	                         	                      	                     	                	                       	                                 	T                   	                          	                        	                       	                            	                              	                           	                      	T                      	                       	                        	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	T                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	T                      	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	T                                      	                         	                      	T                   	                 	                     	T                	-                           	-                            	-                                   	-                             	-                    	T                    	-                        	-                       	T                   	T                                     	                          	From Leg 152; Ch 12; Table 6; p. 170

  SR	                 	                 	                  	              	152	 918	D	 24	R	 2	 120.00	    505.9000	Spezzaferri	Planktonic Foraminifers                      	               	                  	                       	                             	                       	                         	                          	                          	                      	                 	                      	                     	-                      	                   	                	                     	                   	                             	                 	                     	                        	                        	                          	                     	                    	                      	                              	                        	                      	               	                          	                   	                       	                  	                 	                    	                     	               	                       	                    	                 	                      	                        	                    	                        	               	                    	                    	                             	                           	                               	                               	                         	                       	                         	                                   	                          	                         	                    	-                      	                         	                      	                     	                	                       	                                 	-                   	                          	                        	                       	                            	                              	                           	                      	-                      	                       	                        	                               	                                  	                             	                   	                           	-                   	                             	-                 	-                       	-                          	                       	-                        	-                        	                        	-                  	                     	                          	                      	                             	                             	                        	                         	                            	                       	                            	                      	                      	                       	                          	                          	                       	                        	                           	                       	-                            	                        	                   	                           	                                          	                             	                            	                	                          	                          	                   	                     	-                  	-                                      	                         	                      	-                   	                 	                     	                 	-                           	-                            	-                                   	-                             	-                    	-                    	-                        	-                       	T                   	                                      	                          	From Leg 152; Ch 12; Table 6; p. 170
