Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rugoglobigerina rugosa,Pseudoguembelina excolata,Pseudoguembelina costulata,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanella pschadae,Globotruncanella havanensis,Globotruncana ventricosa,Globotruncana rosetta,Globotruncana orientalis,Globotruncana linneiana,Globotruncana lapparenti,Globotruncana bulloides,Globotruncana arca,Globotruncana aegyptiaca,Contusotruncana plummerae,Contusotruncana fornicata,Rugoglobigerina reicheli,Rugoglobigerina hexacamerata,Pseudotextularia elegans,Heterohelix striata,Heterohelix rajagopalani,Heterohelix punctulata,Heterohelix pulchra,Heterohelix globulosa,Hedbergella holmdelensis,Gublerina acuta,Globotruncanita atlantica,Globigerinelloides subcarinatus,Globigerinelloides prairiehillensis,Globigerinelloides messinae,Globigerinelloides alvarezi,Contusotruncana patelliformis,Archaeoglobigerina cretacea,Archaeoglobigerina blowi,Schackoina multispinata,Rugotruncana subpennyi,Rugotruncana subcircumnodifer,Heterohelix palpebra,Globotruncanita conica,Globotruncanella petaloidea,Globotruncanella minuta,Globotruncana falsostuarti,Ventilabrella eggeri,Schackoina sp.,Planoglobulina carseyae,Gublerina cuvillieri,Globotruncanita pettersi,Globotruncana dupeublei,Heterohelix navarroensis,Hedbergella monmouthensis,Globotruncanita elevata,Abathomphalus intermedius,Planoglobulina multicamerata,Planoglobulina acervulinoides,Gansserina wiedenmayeri,Contusotruncana walfischensis,Contusotruncana contusa,Trinitella scotti,Rugoglobigerina macrocephala,Abathomphalus mayaroensis,Racemiguembelina fructicosa,Zeaglobigerina nepenthes,Zeaglobigerina microstoma,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis kochi,Orbulina universa,Orbulina suturalis,Globorotalia miozea,Globoquadrina dehiscens,Globigerina venezuelana,Tenuitella neoclemenciae,Globigerinita uvula,Globigerina bulloides,Dentoglobigerina larmeui,Orbulina bilobata,Globorotalia scitula,Globigerinita glutinata,Zeaglobigerina woodi,Paragloborotalia laccadivensis,Globorotalia conoidea,Globigerinoides bollii,Globigerinita parkerae,Globigerina quinqueloba,Globorotalia merotumida,Neogloboquadrina pachyderma,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinita juvenilis,Globigerinoides seigliei,Globigerinoides ruber,Zeaglobigerina decoraperta,Sphaeroidinellopsis paenedehiscens/dehiscens,Globorotalia tumida,Globorotalia plesiotumida,Globorotalia menardii,Globigerinoides obliquus,Globigerinoides extremus,Neogloboquadrina pseudopachyderma,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Tenuitella anfracta,Globorotaloides pseudofoliatus,Globorotalia margaritae primitivae,Globigerinoides conglobatus,Dentoglobigerina altispira altispira,Globigerinella obesa,Globigerina falconensis,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia margaritae,Globigerina bulbosa,Zeaglobigerina incisa,Globorotalia margaritae evoluta,Globorotalia conomiozea,Globorotalia exilis,Globorotalia crassaformis,Sphaeroidinella dehiscens,Neogloboquadrina pseudopima,Globorotalia puncticulata,Globigerinella siphonifera,Streptochilus pristinum,Globigerinoides sacculifer,Beella praedigitata,Globorotalia tumida flexuosa,Globigerina conglomerata,Globorotalia crassaformis ronda,Globorotalia sp.,Turborotalita humilis,Globorotalia inflata,Globigerina eamesi,Truncorotalia tosaensis tosaensis,Truncorotalia tosaensis tenuitheca,Protentella spp.,Neogloboquadrina dutertrei,Globorotaloides hexagonus,Globorotalia hirsuta,Globigerinoides elongatus,Globigerinoides cyclostomus,Sphaeroidinella dehiscens excavata,Globorotalia crassaformis oceanica,Pulleniatina praecursor,Globorotalia theyeri,Globorotalia crassula,Globorotalia crassaformis viola,Tenuitellinata iota,Pulleniatina finalis,Globigerinoides tenellus,Candeina nitida,Truncorotalia truncatulinoides,Globigerinoides pyramidalis,Globigerinoides gomitulus,Globigerina calida,Neogloboquadrina eggeri,Turborotalita rubescens,Beella digitata,Truncorotalia truncatulinoides excelsa,Globigerina palpebra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N23               ,              ,132, 810,C,  1,H, 1,  40.00,      0.4000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                      ,                         ,                          ,                             ,                       ,                         ,                           ,                        ,                     ,                        ,                       ,                        ,                       ,                  ,                        ,                         ,                         ,                        ,                            ,                        ,                   ,                        ,                      ,                   ,                     ,                        ,               ,                         ,                               ,                                   ,                           ,                           ,                             ,                           ,                        ,                       ,                      ,                             ,                    ,                      ,                           ,                       ,                          ,                    ,              ,                       ,                    ,                        ,                       ,                        ,                         ,                       ,                         ,                            ,                             ,                       ,                             ,                       ,                 ,                            ,                         ,                           ,                        ,                         ,                              ,                                  ,                         ,P                ,                  ,                   ,                       ,                       ,                        ,                   ,P                    ,                        ,                 ,P                   ,P                      ,                    ,P                             ,                     ,                      ,P                     ,P                      ,                       ,P                          ,P                       ,P                            ,P                      ,P                       ,P                    ,                          ,                                            ,                   ,                         ,P                    ,                        ,                        ,                                 ,P                        ,P                           ,                   ,                              ,                                  ,P                          ,                                    ,P                   ,                       ,                     ,P                           ,                       ,                   ,                     ,                               ,                       ,                   ,P                        ,                         ,P                          ,                         ,P                         ,                       ,P                         ,                   ,                            ,                        ,                               ,P               ,                     ,C                   ,VR                ,                                 ,                                  ,                ,P                         ,                         ,R                   ,P                        ,P                          ,                                  ,P                                 ,                       ,                    ,P                    ,                               ,P                  ,P                   ,                        ,               ,P                             ,P                          ,                         ,P                 ,P                      ,                       ,P              ,                                      ,                    ,from 132SR. Chapter 2. Figure 13. page 27-28.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N23               ,              ,132, 810,C,  1,H, 2,  40.00,      1.9000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                      ,                         ,                          ,                             ,                       ,                         ,                           ,                        ,                     ,                        ,                       ,                        ,                       ,                  ,                        ,                         ,                         ,                        ,                            ,                        ,                   ,                        ,                      ,                   ,                     ,                        ,               ,                         ,                               ,                                   ,                           ,                           ,                             ,                           ,                        ,                       ,                      ,                             ,                    ,                      ,                           ,                       ,                          ,                    ,              ,                       ,                    ,                        ,                       ,                        ,                         ,                       ,                         ,                            ,                             ,                       ,                             ,                       ,                 ,                            ,                         ,                           ,                        ,                         ,                              ,                                  ,                         ,P                ,                  ,                   ,                       ,                       ,                        ,                   ,P                    ,                        ,P                ,P                   ,P                      ,                    ,P                             ,                     ,                      ,P                     ,P                      ,                       ,P                          ,                        ,P                            ,P                      ,                        ,P                    ,                          ,                                            ,P                  ,                         ,P                    ,                        ,                        ,                                 ,                         ,P                           ,                   ,                              ,                                  ,P                          ,                                    ,                    ,P                      ,                     ,                            ,                       ,P                  ,                     ,                               ,                       ,                   ,                         ,                         ,                           ,                         ,P                         ,                       ,P                         ,                   ,                            ,                        ,                               ,                ,                     ,P                   ,                  ,                                 ,                                  ,                ,P                         ,                         ,                    ,P                        ,P                          ,                                  ,                                  ,                       ,                    ,P                    ,                               ,P                  ,P                   ,                        ,               ,P                             ,P                          ,                         ,P                 ,                       ,                       ,               ,P                                     ,P                   ,from 132SR. Chapter 2. Figure 13. page 27-28.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N23               ,              ,132, 810,C,  2,H, 2, 100.00,      4.9000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                      ,                         ,                          ,                             ,                       ,                         ,                           ,                        ,                     ,                        ,                       ,                        ,                       ,                  ,                        ,                         ,                         ,                        ,                            ,                        ,                   ,                        ,                      ,                   ,                     ,                        ,               ,                         ,                               ,                                   ,                           ,                           ,                             ,                           ,                        ,                       ,                      ,                             ,                    ,                      ,                           ,                       ,                          ,                    ,              ,                       ,                    ,                        ,                       ,                        ,                         ,                       ,                         ,                            ,                             ,                       ,                             ,                       ,                 ,                            ,                         ,                           ,                        ,                         ,                              ,                                  ,                         ,P                ,                  ,                   ,                       ,                       ,                        ,                   ,P                    ,                        ,                 ,P                   ,P                      ,                    ,P                             ,                     ,                      ,P                     ,P                      ,                       ,P                          ,P                       ,                             ,P                      ,                        ,P                    ,                          ,                                            ,C                  ,                         ,C                    ,                        ,                        ,                                 ,                         ,P                           ,                   ,                              ,                                  ,                           ,                                    ,                    ,P                      ,P                    ,P                           ,                       ,P                  ,                     ,                               ,                       ,                   ,P                        ,                         ,                           ,                         ,P                         ,                       ,P                         ,P                  ,                            ,                        ,                               ,P               ,                     ,P                   ,                  ,                                 ,                                  ,                ,P                         ,                         ,P                   ,                         ,P                          ,                                  ,                                  ,                       ,                    ,P                    ,                               ,P                  ,                    ,                        ,               ,                              ,                           ,                         ,                  ,                       ,                       ,               ,                                      ,                    ,from 132SR. Chapter 2. Figure 13. page 27-28.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N23               ,              ,132, 810,C,  2,H, 4, 100.00,      7.9000,Premoli Silva,Planktonic Foraminifers                      ,               ,                  ,                      ,                         ,                          ,                             ,                       ,                         ,                           ,                        ,                     ,                        ,                       ,                        ,                       ,                  ,                        ,                         ,                         ,                        ,                            ,                        ,                   ,                        ,                      ,                   ,                     ,                        ,               ,                         ,                               ,                                   ,                           ,                           ,                             ,                           ,                        ,                       ,                      ,                             ,                    ,                      ,                           ,                       ,                          ,                    ,              ,                       ,                    ,                        ,                       ,                        ,                         ,                       ,                         ,                            ,                             ,                       ,                             ,                       ,                 ,                            ,                         ,                           ,                        ,                         ,                              ,                                  ,                         ,P                ,                  ,                   ,                       ,                       ,                        ,                   ,P                    ,                        ,                 ,P                   ,P                      ,                    ,P                             ,                     ,P                     ,P                     ,P                      ,                       ,                           ,P                       ,                             ,P                      ,                        ,P                    ,                          ,                                            ,P                  ,                         ,P                    ,                        ,                        ,                                 ,                         ,                            ,                   ,                              ,                                  ,                           ,                                    ,P                   ,                       ,P                    ,                            ,                       ,                   ,                     ,                               ,                       ,                   ,P                        ,                         ,                           ,                         ,                          ,                       ,                          ,P                  ,                            ,                        ,                               ,P               ,                     ,P                   ,                  ,P                                ,P                                 ,                ,P                         ,P                        ,                    ,                         ,P                          ,                                  ,P                                 ,                       ,                    ,P                    ,                               ,P                  ,                    ,                        ,               ,P                             ,                           ,                         ,P                 ,                       ,                       ,               ,                                      ,                    ,from 132SR. Chapter 2. Figure 13. page 27-28.
