Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Nannofossil abundance,Fasciculithus involutus,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (> 14 μm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (> 10 μm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,calcispheres,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (> 13 μm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus cachaoi,Coccolithus eopelagicus (> 14 μm),Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus latipons,Cyclicargolithus abisectus (11 μm),Cyclicargolithus floridanus (5-11 μm),Cyclicargolithus floridanus small (< 5 μm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (< 10 μm),Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Ericsonia robusta (small),Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternithus minutus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus rosenkrantzii,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus grandiculus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14 μm),Reticulofenestra dictyoda  (3-10 μm),Reticulofenestra lockeri,Reticulofenestra minuta (< 3 μm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,eodp_id
320-U1333C-4H-CC-PAL-NANNO,320,U1333,C,4,4-CC,H,CC,PAL,NANNO,0,0,30.59,30.59,TDJ -,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,2f8ec96cd5d062d3c32e216d5665e23c
320-U1333C-5H-CC-PAL-NANNO,320,U1333,C,5,5-CC,H,CC,PAL,NANNO,0,0,39.86,39.86,TDJ - T.longus>T.carinatus,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,4d670f239ce26b8c000c59a1de7aa160
320-U1333C-6H-CC-PAL-NANNO,320,U1333,C,6,6-CC,H,CC,PAL,NANNO,0,0,49.63,49.63,"TDJ - ciperoensis, predistentus present",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,R,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,513f7f7a1b70c9aa27b50364806d6766
320-U1333C-7H-CC-PAL-NANNO,320,U1333,C,7,7-CC,H,CC,PAL,NANNO,0,0,57.29,57.29,"TDJ - predistentus, distentus present",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,ce5699c80d5caeab122e3548ba5cc432
320-U1333C-8H-CC-PAL-NANNO,320,U1333,C,8,8-CC,H,CC,PAL,NANNO,0,0,68.58,68.58,"TDJ - predistentus, distentus present",M [320_N],D [320_Ng],,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,F,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,94f1456f88dc5f2fabbb1f5e0577ca62
320-U1333C-9H-CC-PAL-NANNO,320,U1333,C,9,9-CC,H,CC,PAL,NANNO,0,0,77.79,77.79,"TDJ - no distentus, no umbilicus",M [320_N],D [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,248fc833833f3f708be09f03b13a3832
320-U1333C-10H-CC-PAL-NANNO,320,U1333,C,10,10-CC,H,CC,PAL,NANNO,0,0,87.67,87.67,"TDJ - no distentus, no umbilicus",M [320_N],D [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,A,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,5295d0d20b89a8d90adc3297abf5b5a7
320-U1333C-11H-CC-PAL-NANNO,320,U1333,C,11,11-CC,H,CC,PAL,NANNO,0,0,96.21,96.21,"TDJ - no distentus, no umbilicus",M [320_N],D [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,A,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,ba677967e4217a19fb6950de75ce311a
320-U1333C-12H-CC-PAL-NANNO,320,U1333,C,12,12-CC,H,CC,PAL,NANNO,0,0,99.72,99.72,"PB - rare umbilicus, no formosus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,7067997ee469b7c43a00a4337f4a0012
320-U1333C-13H-CC-PAL-NANNO,320,U1333,C,13,13-CC,H,CC,PAL,NANNO,0,0,108.01,108.01,"PB - umbilicus, no formosus",M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,A,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,A,,,,,,,,,,,,,,,,,,,,,,315f05e19c05ca88162e9095f654024f
