Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. A. actinochilus early form,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Bacteriostriata spp.,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Brightwellia sp.,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis crassa (closed copula),Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis katayamae,Denticulopsis lauta,Denticulopsos lauta s.l.,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis aff. Seminae = Neodenticula seminae,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Dispinodiscus sp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii/kerguelensis transtitional form,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2
318-U1359A-7H-CC-PAL-DIAT1,318,U1359,A,7,7-CC,H,CC,PAL,DIAT1,0,5,55.32,55.37,F-C,M[318_Si],M-G,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,
318-U1359A-8H-CC-PAL-DIAT1,318,U1359,A,8,8-CC,H,CC,PAL,DIAT1,0,5,66.55,66.6,C[318_Si],M[318_Si],M-G,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,X?,,,,,,,,,,,,,,,,X[318_Si],,,,,,,R[318_Si],,X[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,,,R-F,,,,,,,,,,,,F[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-9H-CC-PAL-DIAT2,318,U1359,A,9,9-CC,H,CC,PAL,DIAT2,0,5,75.75,75.8,F[318_Si],P-M,G[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,R[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-10H-CC-PAL-DIAT1,318,U1359,A,10,10-CC,H,CC,PAL,DIAT1,0,5,86.51,86.56,,M[318_Si],M-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,X?,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],X[318_Si],X[318_Si],,,,,,,,,,,,,,X[318_Si],,,,,,,,R-F,,,,,,,,,,,,R[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,X[318_Si],,,,,?,,,,,,
318-U1359A-11H-CC-PAL-DIAT1,318,U1359,A,11,11-CC,H,CC,PAL,DIAT1,0,5,95.17,95.22,R-F,P[318_Si],M-G,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,R-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-12H-CC-PAL-DIAT1,318,U1359,A,12,12-CC,H,CC,PAL,DIAT1,0,5,104.84,104.89,A[318_Si],G[318_Si],G[318_Si],,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],F[318_Si],,,,,,,,F[318_Si],,,,,,,,,,,
318-U1359A-13H-3-W 90/90-DIAT-DIAT,318,U1359,A,13,13-3,H,3,W,90/90-DIAT-DIAT,0,0,109,109,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,R[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,X[318_Si],X?,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,R[318_Si],R[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-13H-5-W 30/30-DIAT-DIAT,318,U1359,A,13,13-5,H,5,W,30/30-DIAT-DIAT,0,0,111.4,111.4,C-A,M[318_Si],M-G,,,,,,,,,,X[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,X?,,,,,,,,,,,,,,,,R-F,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,
318-U1359A-13H-5-W 90/90-DIAT-DIAT,318,U1359,A,13,13-5,H,5,W,90/90-DIAT-DIAT,0,0,112,112,R[318_Si],P[318_Si],M-G,,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-13H-CC-PAL-DIAT1,318,U1359,A,13,13-CC,H,CC,PAL,DIAT1,0,5,115,115.05,,P[318_Si],M-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-14H-CC-PAL-DIAT1,318,U1359,A,14,14-CC,H,CC,PAL,DIAT1,0,5,124.21,124.26,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-14H-CC-PAL-DIAT2,318,U1359,A,14,14-CC,H,CC,PAL,DIAT2,0,5,124.21,124.26,F[318_Si],P[318_Si],M-G,,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,X[318_Si],,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,,,,,,,,,,R-F,R[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,
318-U1359A-15H-CC-PAL-DIAT4,318,U1359,A,15,15-CC,H,CC,PAL,DIAT4,0,5,133.645,133.695,,P-M,G[318_Si],,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-16H-CC-PAL-DIAT4,318,U1359,A,16,16-CC,H,CC,PAL,DIAT4,0,0,135.745,135.745,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,R[318_Si],X[318_Si],,,,,,,,,,
318-U1359A-17H-CC-PAL-DIAT3,318,U1359,A,17,17-CC,H,CC,PAL,DIAT3,0,2,145.41,145.43,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,
318-U1359A-18X-CC-PAL-DIAT1,318,U1359,A,18,18-CC,X,CC,PAL,DIAT1,0,5,153.915,153.965,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C[318_Si],,X[318_Si],X[318_Si],,,X[318_Si],X[318_Si],,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,
318-U1359A-18X-CC-PAL-DIAT4,318,U1359,A,18,18-CC,X,CC,PAL,DIAT4,0,5,153.915,153.965,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1359A-19X-CC-PAL-DIAT3,318,U1359,A,19,19-CC,X,CC,PAL,DIAT3,0,5,161.835,161.885,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F[318_Si],,,,X[318_Si],,,,,R[318_Si],,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,F[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,
318-U1359A-21X-3-W 31/32-DIAT1,318,U1359,A,21,21-3,X,3,W,31/32-DIAT1,0,1,177.51,177.52,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,X?,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,C[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-21X-3-W 31/32-DIAT2,318,U1359,A,21,21-3,X,3,W,31/32-DIAT2,0,1,177.51,177.52,A[318_Si],M[318_Si],M-G,,,,,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,X[318_Si],,,,,,,,,,,,,,,R[318_Si],,,,,,,R-F,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,R[318_Si],,,,,,,,,,,,,X?,,,,,,,,,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,
318-U1359A-22X-CC-PAL-DIAT1,318,U1359,A,22,22-CC,X,CC,PAL,DIAT1,0,5,190.205,190.255,F-C,M[318_Si],M[318_Si],,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,R[318_Si],R[318_Si],X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,
318-U1359A-22X-CC-PAL-DIAT2,318,U1359,A,22,22-CC,X,CC,PAL,DIAT2,0,5,190.205,190.255,,,,,,,,,,,,,X[318_Si],,,,X[318_Si],,,,,C[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
