Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data,eodp_id
320-U1334B-1H-CC-PAL-RADS,320,U1334,B,1,1-CC,H,CC,PAL,RADS,0,0.00,13.69,13.69,,,,,,,R,,,,,,R,,,,F,,,,,,,,,,R,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,1b2920df2f5f2e1e6c6a96cba808267e
320-U1334B-2H-CC-PAL-RADS,320,U1334,B,2,2-CC,H,CC,PAL,RADS,0,0.00,23.05,23.05,RN5,C,P,2,,,,,R,R,,R,,R,,R,C,R,,,,,,R,,,R,,R,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,f95f8fc279ca08792856add4d50534cf
320-U1334B-3H-CC-PAL-RADS,320,U1334,B,3,3-CC,H,CC,PAL,RADS,0,0.00,32.63,32.63,RN4,C,P,,,,,,,R,R,,,R,R,F,C,R,R,R,R,R,,R,,,,,,,,F,,,,F,,,,,F,R,,,,,,,,,,,,,,,749ef6c5f8620ce5c51a748a4029cbf9
320-U1334B-4H-CC-PAL-RADS,320,U1334,B,4,4-CC,H,CC,PAL,RADS,0,0.00,41.93,41.93,RN3,C,P,,,,,R,,,,,,R,R,,E,R,R,,R,,,R,R,,,,,R,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,a107bce851b288d73f0e126de5ac293e
320-U1334B-5H-CC-PAL-RADS,320,U1334,B,5,5-CC,H,CC,PAL,RADS,0,0.00,50.93,50.93,RN2,C,M,,,,,F,,,,,,F,R,,R,R,R,,R,,,R,F,R,,,,R,vR,,R,R,,F,R,,R,,F,F,,,R,,,,,,,,,,,,0ca81018f69c7674341de74e3bed394c
320-U1334B-6H-CC-PAL-RADS,320,U1334,B,6,6-CC,H,CC,PAL,RADS,0,0.00,59.2,59.2,RN2,C,M,,,,,F,,,,,,F,R,,R,R,,,,,,R,F,R,,,,R,vR,,R,R,R,F,R,,,,F,F,,,R,,,,,,,,,,,,d59cd3ab3bcaad9e70d9e7f79cfac10f
320-U1334B-7H-CC-PAL-RADS,320,U1334,B,7,7-CC,H,CC,PAL,RADS,0,0.00,68.88,68.88,RN2,C,M,,,,,F,,,,,,F,,,R,R,,,,,,R,F,R,,,,R,R,,,R,R,,R,,,,F,F,,,R,,,,,,,,,,,,b40066c694f9606b95e3b912decd7fbc
320-U1334B-8H-CC-PAL-RADS,320,U1334,B,8,8-CC,H,CC,PAL,RADS,0,0.00,78.04,78.04,RN1,C,M,,,,,F,,,,,,F,,,,,,,,,,R,F,R,,,,R,R,,,R,R,,R,R,,R,F,F,,,R,,,,,,,,,,,,507faf5e49c7b0b50ba157ec873c9859
320-U1334B-9H-CC-PAL-RADS,320,U1334,B,9,9-CC,H,CC,PAL,RADS,0,0.00,87.7,87.7,RP22,A,G,,,,,F,,,,,,R,,,,,R,,,,,R,F,R,,,,R,R,,,R,,,R,R,,R,,,F,R,,,,,,,,,,R,,,ea6da6c92bccd11c0dfacae646bee531
320-U1334B-10H-CC-PAL-RADS,320,U1334,B,10,10-CC,H,CC,PAL,RADS,0,0.00,97.22,97.22,RP22,A,G,,,,,F,,,,,,-,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,,,R,,,R,,,,,,-,,,,,,,,5e83305e93cfa34bbd203ded8ec5ae7f
