Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520D-3H-CC-PAL-NANNO,0,10,25.27,25.37,M-P,C,,,,F,,,*,,,*,,*,,C,,,,*,,,,,,,,,,,*,,,,,R,F,,R,,*,,,,,,*,,,,,R,,,,,,,,,,*,*,*,*,,,*,,,,,,,,,*,,R,,,,,R,,,,,375,U1520,D,3,H,CC,PAL,c646e46c3d9ddeafeca7ecd76e272f3e
375-U1520D-6H-CC-PAL-NANNO,0,10,53.21,53.31,M-P,F,,,,,,,*,,,,,,,C,R,,*,*,,,,,,,,,,,,,,*,,F,F,,R,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,375,U1520,D,6,H,CC,PAL,6940d9419a12b78343fe9512e9939201
375-U1520D-9H-CC-PAL-NANNO,0,10,77.7,77.8,M-P,C,,,,F,,*,*,,,*,,*,,C,,,*,*,,,,*,,,,,,,,,,*,,F,F,,,,,,R,,,,,,*,,,R,,,,,,*,,,,,,,*,,,*,*,,,,,*,,*,*,,,,,,,,,,,,375,U1520,D,9,H,CC,PAL,4f4a9474111cf93249b5aebc505db319
375-U1520D-11H-CC-PAL(7-17)-NANNO,0,10,101.87,101.97,M-P,C,,,,F,,,R,,,*,*,,,C,,,,*,,,,*,,,,,,,,,,,,F,C,,F,,,,,,,,,,,,R,,,,,,,,C,,,F,,*,,,,*,,,,,,,,*,*,,R,,,,,,,,,,375,U1520,D,11,H,CC,PAL,6f53a94d333d84c317a3e7f447325405
375-U1520D-13H-CC-PAL-NANNO,0,10,120.89,120.99,M-P,C,,,,F,,,,,,,,,,C,C,,,*,,,,,,,,,,,,,,,,F,A,,C,R,,,,,,,,,,R,R,,,,*,,,*,R,,,,,,*,,,*,,R,,,,,,,*,,,,,,,,R,,,,375,U1520,D,13,H,CC,PAL,6e3ed7132d61e8a4d54eab9b9bb586e6
375-U1520D-17H-CC-PAL-NANNO,0,10,156.18,156.28,M-P,C,,,,F,,*,,,,*,,,*,C,C,,,*,,,,,,,,,*,,,,,,,F,A,,C,,,,,,,,,,,,F,R,,,,,,*,,,,,,*,*,,,*,*,,,,,,,*,*,,R,*,,,,,,,,,375,U1520,D,17,H,CC,PAL,09403cafd69d5468199a9acf2ad585af
375-U1520D-19F-CC-PAL-NANNO,0,10,169.36,169.46,M-P,C,,,,F,*,,,,,,*,,,C,F,,,*,,,,,,,,,,,*,,,*,,F,F,,F,,*,,F,,,,,,,,,R,,,,,,*,C,,,R,,*,*,,,*,,,,,,*,,,*,,,,,,,F,,,,,375,U1520,D,19,F,CC,PAL,b1b7a7379ccb160da6d1d8472afaa8af
375-U1520D-21F-CC-PAL-NANNO,0,10,180.14,180.24,M-P,C,,,,C,,,R,,,,,,,C,C,,,*,,,*,,,,,,,,,,,*,R,C,F,,C,,,,F,,,,,,,R,,F,,,,,,*,F,C,C,,R,*,*,,,,*,R,,,,,,,*,,F,,,,,R,,,,,375,U1520,D,21,F,CC,PAL,8b3d2f9b3ca9282722fa54095dda21b6
375-U1520D-22F-CC-PAL-NANNO,0,10,184.97,185.07,M-P,C,,,,,,,,,,,,,,,C,,,,,,,*,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,*,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,375,U1520,D,22,F,CC,PAL,72dbedd2835256c4f9a2d61e5f103fbd
375-U1520D-25F-CC-PAL-NANNO,0,10,224.98,225.08,M-P,C,,,,F,*,,R,,,,,,,C,C,,,*,,,,,,,,,,,,*,,,,F,C,,,,,,,,,,,,,,F,,,,,,,*,R,,,R,,*,*,,,*,*,,,,,,,*,*,,,,,,,,,,,,375,U1520,D,25,F,CC,PAL,682f568284f5411966e87a711fbf33e7
