Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Nannofossil abundance,Fasciculithus involutus,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (> 14 μm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (> 10 μm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,calcispheres,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (> 13 μm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus cachaoi,Coccolithus eopelagicus (> 14 μm),Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus latipons,Cyclicargolithus abisectus (11 μm),Cyclicargolithus floridanus (5-11 μm),Cyclicargolithus floridanus small (< 5 μm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (< 10 μm),Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Ericsonia robusta (small),Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternithus minutus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus rosenkrantzii,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus grandiculus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14 μm),Reticulofenestra dictyoda  (3-10 μm),Reticulofenestra lockeri,Reticulofenestra minuta (< 3 μm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,eodp_id
320-U1334B-9H-CC-PAL-NANNO,320,U1334,B,9,9-CC,H,CC,PAL,NANNO,0,0,87.7,87.7,"TDJ - no disbelmnos, no abisectus",,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927db03414a2b750149570a2715cf530
320-U1334B-10H-CC-PAL-NANNO,320,U1334,B,10,10-CC,H,CC,PAL,NANNO,0,0,97.22,97.22,TDJ - no abisectus,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10cf09ddf52b393bbbf06ff8b498e481
320-U1334B-11H-CC-PAL-NANNO,320,U1334,B,11,11-CC,H,CC,PAL,NANNO,0,0,106.53,106.53,PB - ciperoensis,M,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,C,,,,,,,,,,,,,,,,,,,,,,6b34b6613d9e78f445a7362e46f2f212
320-U1334B-12H-CC-PAL-NANNO,320,U1334,B,12,12-CC,H,CC,PAL,NANNO,0,0,116.14,116.14,PB -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,C,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,,,,,,,,,,,,,,,,,,,,,,ef9c12d57057ec5481f7793e2a996878
320-U1334B-13H-CC-PAL-NANNO,320,U1334,B,13,13-CC,H,CC,PAL,NANNO,0,0,125.59,125.59,PB - ciperoensis,M,A,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,5f24b119eee9e514f210ebe45f86eab1
320-U1334B-14H-CC-PAL-NANNO,320,U1334,B,14,14-CC,H,CC,PAL,NANNO,0,0,135.3,135.3,PB - ciperoensis,M,A,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,A,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,a54c482f715d4bb6a184803602f1af67
320-U1334B-15H-CC-PAL-NANNO,320,U1334,B,15,15-CC,H,CC,PAL,NANNO,0,0,144.55,144.55,"PB - distentus, ciperoensis",M,A,,,,,,,,,,,,,,,,,,,,,,,R,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,c9e2b7db56e60302cb9c5345205195ff
320-U1334B-16H-CC-PAL-NANNO,320,U1334,B,16,16-CC,H,CC,PAL,NANNO,0,0,154.18,154.18,"PB - predist., distentus, ciperoensis",M,A,,,,,,,,,,,,,,,,,,,,,,,R,R,F,R,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,C,,,,C,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,3c7ad61402899bc746ea8e32cf596a8e
320-U1334B-17H-CC-PAL-NANNO,320,U1334,B,17,17-CC,H,CC,PAL,NANNO,0,0,163.68,163.68,"PB - predist., distentus",M,A,,,,,,,,,,,,,,,,,,,,,,,F,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,A,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,d038c85aa8f059c9b71b62dfd4c296f1
320-U1334B-18H-CC-PAL-NANNO,320,U1334,B,18,18-CC,H,CC,PAL,NANNO,0,0,173.23,173.23,"PB - predist., distentus",M,A,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,C,,,,A,R,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,d339e50b02cd96d90612462d311753ed
