Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Bolivina spp.,Cibicidoides mundulus,Epistominella exigua,Gyroidina zealandica,Hyperammina spp.,Hyperammina laevigata,Laticarinina pauperata,Lenticulina spp.,Martinotiella communis,Martinotiella nodulosa,Melonis pompilioides,Melonis spharoides,Nonionella iridea,Pullenia bulloides,Pullenia coryelli,Pyrgo murrhina,Rhabdammina linearis,eodp_id
318-U1356A-45R-CC-PAL-FORAM,318,U1356,A,45,45-CC,R,CC,PAL,FORAM,0,5,422.27,422.32,,,,A,,,,,,,,,,,,,,310b1ec6ff42291f0fbceab43955d5a4
318-U1356A-46R-CC-PAL-FORAM,318,U1356,A,46,46-CC,R,CC,PAL,FORAM,0,5,434.66,434.71,,,,,,,,,,,,,,,,,,ba01f303c1165ade785c2f64781f1c53
318-U1356A-49R-CC-PAL,318,U1356,A,49,49-CC,R,CC,PAL,,0,5,460.05,460.1,,,,,,,,,,,,,,,,,,c23c4f69b476444f7c491da7ff6121f3
318-U1356A-50R-CC-PAL-FORAM,318,U1356,A,50,50-CC,R,CC,PAL,FORAM,0,5,469.865,469.915,,,,,,,,,,,,,,,,,,823af32679785187b505300ccdb349df
318-U1356A-53R-CC-PAL-FORAM,318,U1356,A,53,53-CC,R,CC,PAL,FORAM,0,5,500.205,500.255,,,,,,,,,,,,,,,,,,92161990a307cd345f102efbe20fa213
318-U1356A-73R-CC-PAL-FORAM,318,U1356,A,73,73-CC,R,CC,PAL,FORAM,0,5,695.76,695.81,,,,,,,,,,,,,,,,,,4b0e88d1f7c506355d836fc1e1a87744
318-U1356A-89R-CC-PAL-FORAM,318,U1356,A,89,89-CC,R,CC,PAL,FORAM,0,3,849.41,849.44,,,,,,,,,,,,,,,,,,96eefd4d59c4ea903721fff794850a42
318-U1356A-90R-CC-PAL-FORAM,318,U1356,A,90,90-CC,R,CC,PAL,FORAM,0,2,852.88,852.9,,,,,,,,,,,,,,,,,,604cb2d63d9fa375cafc7a9d4d9804ec
318-U1356A-101R-CC-PAL-FORAM,318,U1356,A,101,101-CC,R,CC,PAL,FORAM,0,5,951.92,951.97,,,,,,,,,,,,,,,,,,360eb807e168697754df002ce1f33df0
318-U1356A-102R-CC-PAL-FORAM,318,U1356,A,102,102-CC,R,CC,PAL,FORAM,0,5,959.15,959.2,,,,,,,,,,,,,,,,,,07ec82f154bb53aec8c50495ce35255f
318-U1356A-103R-CC-PAL-FORAM,318,U1356,A,103,103-CC,R,CC,PAL,FORAM,0,5,973.8,973.85,,,,,,,,,,,,,,,,,,1c4f4634340b4176785da228b4a42dd2
318-U1356A-106R-CC-PAL-FORAM,318,U1356,A,106,106-CC,R,CC,PAL,FORAM,0,5,1000.03,1000.08,,,,,,,,,,,,,,,,,,a6d41fb96d6ad2f421ff31883885acc9
