Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus
320-U1335A-1H-1-W 40/40-NANNO,320,U1335,A,1,1-1,H,1,W,40/40-NANNO,0,0,0.4,0.4,"PB - no Pseudoemil., ?E. hux",NN21,Pleistocene,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,A,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,
320-U1335A-1H-3-W 100/100-NANNO,320,U1335,A,1,1-3,H,3,W,100/100-NANNO,0,0,4.0,4.0,PB - Pseudoemil.,NN19,Pleistocene,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,D,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,
320-U1335A-1H-5-W 90/90-NANNO,320,U1335,A,1,1-5,H,5,W,90/90-NANNO,0,0,6.9,6.9,PB - lacunosa,NN19,Pleistocene,P,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,F,,,,,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,
320-U1335A-1H-CC-PAL-NANNO,320,U1335,A,1,1-CC,H,CC,PAL,NANNO,0,0,8.81,8.81,TDJ - macintyrei present,NN19,Pleistocene,M,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,F,,,,F,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,
320-U1335A-2H-1-W 30/30,320,U1335,A,2,2-1,H,1,W,30/30,0,0,9.2,9.2,"PB - macintyrei, no in situ discos?",NN19,Pleistocene,P,C,,,,,,,,R,,,R,,,,,,,,,,,,,R,,,,,,,,F,,,,R,,,,,,,C,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,R,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,F,
320-U1335A-2H-3-W 123/123,320,U1335,A,2,2-3,H,3,W,123/123,0,0,13.13,13.13,"PB - brouweri, minutula",NN18,Pliocene,M,A,,,,,,,,R,,,,,,,,,,,,,,,,R,,,R,R,R,C,,F,,,,R,,,,,,,C,,,,,,,,F,,C,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,D,R,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,
320-U1335A-2H-5-W 107/107,320,U1335,A,2,2-5,H,5,W,107/107,0,0,15.97,15.97,PB - tamalis,NN16,Pliocene,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,C,,F,,,,,,,,,,,C,,,,,,,,F,,F,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,
320-U1335A-2H-CC-PAL-NANNO,320,U1335,A,2,2-CC,H,CC,PAL,NANNO,0,0,18.85,18.85,TDJ - pentaradiatus present; surculus? present; no tamalis,NN16,Pliocene,M,C,,,,,,,,,R,,,,,,,,,,,,,,F,R,,,R,F,,F,,R,,,,,,,,R,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-3H-2-W 80/80,320,U1335,A,3,3-2,H,2,W,80/80,0,0,20.7,20.7,"TDJ - pseudoumbilicus, rugosus present",NN13-15,Pliocene,M,C,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,F,,F,,R,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,
320-U1335A-3H-3-W 66/66,320,U1335,A,3,3-3,H,3,W,66/66,0,0,22.06,22.06,TDJ - ,NN13-15,Pliocene,M,C,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
