Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Nannofossil abundance,Fasciculithus involutus,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (> 14 μm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (> 10 μm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,calcispheres,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (> 13 μm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus cachaoi,Coccolithus eopelagicus (> 14 μm),Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus latipons,Cyclicargolithus abisectus (11 μm),Cyclicargolithus floridanus (5-11 μm),Cyclicargolithus floridanus small (< 5 μm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (< 10 μm),Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Ericsonia robusta (small),Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternithus minutus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus rosenkrantzii,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus grandiculus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14 μm),Reticulofenestra dictyoda  (3-10 μm),Reticulofenestra lockeri,Reticulofenestra minuta (< 3 μm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus,eodp_id
320-U1335A-38X-2-W 90/90-NANNO,320,U1335,A,38,38-2,X,2,W,90/90-NANNO,0,0,353.5,353.5,PB -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a09aa5ed9325b62b4ac5e547321f49eb
320-U1335A-38X-4-W 90/90-NANNO,320,U1335,A,38,38-4,X,4,W,90/90-NANNO,0,0,356.5,356.5,PB -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90ebdfb0ed79054e101c8dc356a04dca
320-U1335A-38X-6-W 20/20-NANNO,320,U1335,A,38,38-6,X,6,W,20/20-NANNO,0,0,358.8,358.8,PB -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d4a79e567dba314b2014777a176b657
320-U1335A-38X-CC-PAL-NANNO,320,U1335,A,38,38-CC,X,CC,PAL,NANNO,0,0,359.11,359.11,TDJ - no delphix,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,R,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ec0aeffc41fc16c870c2bb24ec18930
320-U1335A-39X-CC-PAL-NANNO,320,U1335,A,39,39-CC,X,CC,PAL,NANNO,0,0,369.36,369.36,TDJ -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a9bdc8d5638202ec4499ab7e731ddaf
320-U1335A-40X-CC-PAL-NANNO,320,U1335,A,40,40-CC,X,CC,PAL,NANNO,0,0,376.6,376.6,TDJ -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a4349f9489177d8bb70f9a6acb88e82
320-U1335A-41X-2-W 57/57,320,U1335,A,41,41-2,X,2,W,57/57,0,0,381.77,381.77,TDJ -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9f820c750ea3c7effd1a24de62b9990
320-U1335A-41X-4-W 50/50,320,U1335,A,41,41-4,X,4,W,50/50,0,0,384.7,384.7,TDJ -,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ce6595194d282be9eb98a1bb72b8821
320-U1335A-41X-6-W 29/29,320,U1335,A,41,41-6,X,6,W,29/29,0,0,387.09,387.09,TDJ -,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25b11fc4d469be50e5f738de8d8d263c
320-U1335A-41X-CC-PAL-NANNO,320,U1335,A,41,41-CC,X,CC,PAL,NANNO,0,0,387.61,387.61,TDJ -,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755db0322606f585381a8a4d70f31b9
