Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1520C-18R-1-A 69/69-NANNO,0,0,795.69,795.69,M/P,C,,,,,,,,,,,,,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,375,U1520,C,18,R,1,A,f60d761c6c2482dacd50af354b92e1ca
375-U1520C-18R-6-A 15/15-NANNO,0,0,802.37,802.37,M/P,C,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1520,C,18,R,6,A,b0790621eab2528f95e706dd0cc2eed6
375-U1520C-19R-1-A 77/77-NANNO,0,0,805.37,805.37,M/P,F,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1520,C,19,R,1,A,f305842dd33fe57e36cf494e8b28513a
375-U1520C-19R-2-A 96/96-NANNO,0,0,807.06,807.06,M/P,F,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,375,U1520,C,19,R,2,A,e1e764c8012f6cf1312706255928cbe2
375-U1520C-19R-CC-PAL-NANNO,0,5,809.23,809.28,P,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,375,U1520,C,19,R,CC,PAL,0258640dd10505725d9c81fed64da87e
375-U1520C-20R-1-A 38/38-NANNO,0,0,814.68,814.68,M/P,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1520,C,20,R,1,A,4ef2b99ce8c428f49df3ef5517510120
375-U1520C-20R-2-A 65/65-NANNO,0,0,816.44,816.44,M/P,C,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1520,C,20,R,2,A,0c95af26fc74b49f5f3ccd4cd0d8ef27
375-U1520C-20R-3-A 93/93-NANNO,0,0,818.23,818.23,M/P,C,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1520,C,20,R,3,A,3c2e149826945d952d9d4770e4cbef9d
375-U1520C-20R-CC-PAL-NANNO,0,5,819.17,819.22,M/P,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,20,R,CC,PAL,5dfa37f81e356f2ff09c083a2540b942
375-U1520C-21R-1-A 97/97-NANNO,0,0,824.87,824.87,M/P,C,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1520,C,21,R,1,A,80137536ea75f02ff70f359044ac2136
375-U1520C-21R-2-A 107/107-NANNO,0,0,826.48,826.48,M/P,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,2,A,6509de8044269a5cfe5596cdf9a527c5
375-U1520C-21R-CC-PAL-NANNO,0,5,827.04,827.09,M/P,A,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,21,R,CC,PAL,05f8012667382333b3187b6c12f41939
375-U1520C-22R-2-A 99/99-NANNO,0,0,835.9,835.9,M/P,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,2,A,5054fba4aac250f36334857aa4eaafee
375-U1520C-22R-3-A 53/53-NANNO,0,0,836.9,836.9,M/P,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,3,A,fa33054d615ae0996b9484c4ef3309db
375-U1520C-22R-4-A 23/23-NANNO,0,0,838.08,838.08,M/P,A,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,4,A,6cfdb2e24b10b5e806cc5aa3b0f541fc
375-U1520C-22R-5-A 17/17-NANNO,0,0,839.21,839.21,M/P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,5,A,63fc37caff208e240be81e1d44371df5
375-U1520C-22R-CC-PAL-NANNO,0,6,841,841.06,M/P,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,22,R,CC,PAL,0524df8c5898f0328f511f1578bb2229
375-U1520C-23R-4-PAL-NANNO,0,5,848.01,848.06,M/P,A,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,23,R,4,PAL,988218543f5b5aab933098ee92aacbee
375-U1520C-23R-CC-PAL-NANNO,0,5,849.96,850.01,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,23,R,CC,PAL,087395300d7dc099ce10f6b2d741e8ce
375-U1520C-24R-CC-PAL-NANNO,0,5,859.71,859.76,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,24,R,CC,PAL,987bcd4203a20522a955714d659b3097
375-U1520C-34R-2-PAL-NANNO,0,5,950.22,950.27,M/P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,2,PAL,4fa0ebf1a070385fa8b8cd0620fb3333
375-U1520C-34R-2-A 74/74-NANNO,0,0,950.21,950.21,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,2,A,eb153a6cac2eede649ee4949b21776a0
375-U1520C-34R-4-A 33/33-NANNO,0,0,951.28,951.28,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,4,A,12fc1e141d3dcc908e99199ca2462e17
375-U1520C-34R-5-A 38/38-NANNO,0,0,952.26,952.26,M/P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,5,A,d21fbcaa870416a86bb4651a8f9231b6
375-U1520C-34R-CC-PAL-NANNO,0,5,953.45,953.5,M/P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,34,R,CC,PAL,52980b45692176f417f759202403bd02
375-U1520C-41R-1-A 58/58-NANNO,0,0,1016.28,1016.28,M/P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,1,A,4d4d4d73d9ee616f9a04035b270c3901
375-U1520C-41R-2-A 64/64-NANNO,0,0,1017.83,1017.83,M/P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,2,A,eeeedd03b9e10fb20d6ec56bfb1a27ac
375-U1520C-41R-CC-PAL-NANNO,0,5,1019.85,1019.9,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,41,R,CC,PAL,ece8960e98f19385895003fdddbf6154
375-U1520C-42R-2-A 91/91-NANNO,0,0,1027.69,1027.69,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,42,R,2,A,49448fbc006db8c8a8703c23a25ff775
375-U1520C-42R-3-A 117/117-NANNO,0,0,1029.13,1029.13,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,42,R,3,A,51c2a4c8ee6f05d587a7eb3d5a098e29
375-U1520C-42R-4-A 36/36-NANNO,0,0,1029.73,1029.73,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,42,R,4,A,c5fb831460d437a26f0bbfb055a6ea7a
375-U1520C-42R-5-A 15/15-NANNO,0,0,1030.81,1030.81,M/P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,42,R,5,A,3ffdf79317df3b4c32f91c18b02a69c2
375-U1520C-43R-2-A 121/121-NANNO,0,0,1037.58,1037.58,M/P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,43,R,2,A,92452ed48731b403d5681c3af3682e03
375-U1520C-43R-2-A 94/94-NANNO,0,0,1037.31,1037.31,M/P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1520,C,43,R,2,A,afec19ab3a3c4efdd660028af4244610
