Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera wallichii,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp.3 medium,Florisphaera profunda,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus leptoporus,Helicosphaera inversa,Gephyrocapsa omega,Ceratolithus telesmus,Syracosphaera spp.,Discoaster pentaradiatus,Helicosphaera sellii,Emiliania huxleyi,Scyphosphaera spp.,Pontosphaera spp.,Gephyrocapsa sp. medium,Comment, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,              ,172,1059,A,1,H,CC,12,3.82,Raffi    ,Nannofossils                                 ,C              ,G                 ,                        ,                       ,                     ,                        ,                         ,                         ,                        ,                     ,R                    ,                      ,R                     ,                     ,R                 ,                     ,                  ,                        ,                    ,D                ,                  ,F                ,C                      ,Few reworked Cretaceous nannofossils - common clay minerals,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1059,A,2,H,CC,16,13.6,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,C                      ,F                    ,                        ,R                        ,                         ,                        ,                     ,C                    ,                      ,F                     ,                     ,A                 ,R                    ,                  ,                        ,                    ,D                ,                  ,F                ,C                      ,Common Diatoms and clay minerals,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1059,A,3,H,CC,32,23.29,Raffi    ,Nannofossils                                 ,C              ,G                 ,                        ,F                      ,F                    ,                        ,C                        ,                         ,                        ,                     ,R                    ,                      ,F                     ,                     ,F                 ,                     ,                  ,                        ,                    ,A                ,                  ,                 ,F                      ,Few fragments of Diatoms - common clay minerals,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1059,A,4,H,CC,32,33.03,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,F                      ,F                    ,                        ,A                        ,                         ,                        ,A                    ,F                    ,R                     ,C                     ,                     ,C                 ,                     ,                  ,                        ,                    ,A                ,                  ,                 ,C                      ,Few Diatoms - age: >0.085 - <0.26,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1059,A,5,H,CC,41,42.64,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,+                      ,+                    ,A                       ,A                        ,                         ,                        ,A                    ,+                    ,+                     ,+                     ,                     ,F                 ,                     ,C                 ,                        ,r                   ,-                ,R                 ,+                ,                       ,reworked Cretaceous forms - age: >0.26  <0.46,,,
