Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tricolocapsa papillosa	Tholospyris sp. ex gr.	Theocorythium trachelium trachelium	Theocalyptra sp.	Tetrapyle octacantha	Stylosphaera sp. ex. gr.	Spongaster tetras	Spirocyrtis sp. cf. S. subscalaris	Siphonosphaera polysiphonia	Siphocampe lineata	Siphocampe arachnea	Pterocorys sabae	Pterocanium trilobum	Pterocanium praetextum praetextum	Phormostichoartus corbula	Peromelissa phalacra	Lophospyris pentagona pentagona	Lithopera bacca	Liriospyris reticulata	Lamprocyclas maritalis polypora	Lamprocyclas maritalis maritalis	Hexacontium axotrias	Heliodiscus asteriscus	Eucyrtidium acuminatum	Eucecryphalus sestrodiscus	Disolenia zanqyebarica	Didymocyrtis tetrathalamus tetrathalamus	Dictyophimus infabricatus	Dictyocoryne truncatum	Dictyocoryne profunda	Cornutella profunda	Collosphaera tuberosa	Carpocanistrum cephalum	Botryocyrtis scutum	Anthocyrtidium ophirense	Acrosphaera spinosa	Acrosphaera murrayana	Acanthodesmia viniculata	Collosphaera huxleyi	Theocorys veneris	Porodiscus spp.	Peripyramis circumtexta	Otosphaera polymorpha	Lophospyris pentagona hyperborea	Lamprocyrtis nigriniae	Eucyrtidium hexagonatum	Euchitonia elegans	Amphirhopalum ypsilon	Stichocorys delmontensis	Siphostichartus corona	Lychnodictyum audax	Didymocyrtis laticonus	Diartus petterssoni	Centrobotrys thermophila	Buccinosphaera invaginata	Anthocyrtidium ehrenbergi	Saturnalis circularis	Lamprocyrtis hannai	Anthocyrtidium zanguebaricum	Collosphaera macropora	Comment

  SR	                 	                 	                  	              	116	 717	B	  1	H	CC	   0.00	      3.8900	Takahashi	Radiolarians                                 	               	                  	A                     	                      	A                                  	                	A                   	A                       	A                	A                                 	A                          	                  	                   	A               	A                   	                                 	A                        	                    	                               	A              	A                     	A                              	                                	A                   	A                     	A                     	A                         	                      	                                        	                         	A                     	                     	A                  	A                    	A                      	A                  	A                       	                   	R                    	A                       	                    	                 	A              	R                      	A                    	A                               	A                     	A                      	                  	R                    	rC                      	rR                    	rR                 	rR                    	rR                 	R                       	R                        	rR                       	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 717	B	  1	H	CC	   2.00	      3.9100	Takahashi	Radiolarians                                 	               	                  	A                     	A                     	A                                  	C               	A                   	A                       	A                	A                                 	A                          	A                 	C                  	A               	A                   	A                                	A                        	A                   	                               	               	A                     	A                              	                                	A                   	A                     	A                     	                          	C                     	A                                       	                         	A                     	                     	A                  	A                    	A                      	A                  	A                       	A                  	                     	A                       	                    	C                	A              	C                      	A                    	A                               	C                     	A                      	A                 	R                    	                        	                      	                   	                      	                   	                        	                         	                         	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 717	B	  2	H	 1	  20.00	      4.2000	Takahashi	Radiolarians                                 	               	                  	                      	R                     	                                   	                	                    	R                       	                 	                                  	R                          	                  	                   	                	                    	                                 	                         	                    	                               	               	                      	                               	                                	                    	                      	                      	                          	                      	                                        	                         	                      	                     	                   	                     	                       	                   	                        	                   	                     	                        	                    	                 	               	                       	                     	                                	                      	                       	                  	                     	                        	                      	                   	                      	                   	                        	                         	                         	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 717	B	  2	H	 1	 140.00	      5.4000	Takahashi	Radiolarians                                 	               	                  	                      	R                     	                                   	                	                    	                        	                 	                                  	                           	                  	                   	                	                    	                                 	                         	R                   	                               	               	                      	                               	                                	                    	                      	                      	                          	                      	                                        	                         	                      	                     	                   	                     	R                      	                   	                        	                   	                     	                        	                    	                 	               	                       	                     	                                	                      	                       	                  	                     	                        	                      	                   	                      	                   	                        	                         	                         	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 717	B	  2	H	 2	 102.00	      6.5200	Takahashi	Radiolarians                                 	               	                  	                      	R                     	                                   	                	                    	R                       	                 	                                  	                           	                  	                   	                	                    	                                 	                         	                    	                               	               	                      	                               	                                	                    	                      	                      	                          	                      	                                        	                         	                      	                     	                   	                     	                       	                   	                        	                   	                     	R                       	                    	                 	               	                       	                     	                                	                      	                       	                  	                     	                        	                      	                   	                      	                   	                        	                         	                         	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 717	B	  2	H	 3	  19.00	      7.1900	Takahashi	Radiolarians                                 	               	                  	                      	A                     	                                   	                	A                   	A                       	C                	                                  	                           	                  	A                  	                	C                   	                                 	                         	                    	                               	               	A                     	C                              	                                	                    	                      	                      	                          	C                     	A                                       	                         	                      	                     	                   	                     	                       	                   	                        	                   	                     	A                       	C                   	                 	               	                       	                     	                                	                      	                       	                  	                     	                        	                      	                   	                      	                   	                        	                         	                         	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

  SR	                 	                 	                  	              	116	 717	B	  2	H	 3	  66.00	      7.6600	Takahashi	Radiolarians                                 	               	                  	C                     	A                     	C                                  	C               	A                   	A                       	A                	A                                 	A                          	C                 	C                  	A               	A                   	A                                	C                        	A                   	C                              	A              	A                     	C                              	C                               	A                   	A                     	A                     	A                         	A                     	A                                       	R                        	A                     	A                    	A                  	A                    	A                      	A                  	C                       	A                  	A                    	A                       	                    	                 	               	                       	                     	                                	                      	                       	                  	                     	                        	                      	                   	                      	                   	                        	                         	                         	                     	                   	                            	                      	from ODP Leg 116 SR Chapter 17 Table 2 p 211-212

