leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id,sample
47,398,D,2,1,13.0,145.0,271.00,271.13,272.45,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5GY6/1-GR EENISH GRAY, 5Y5/2-LIGHT OLIVE GRAY, 5Y3/2-DARK OLIV E GRAY"," 5GY8/1 NANNO (CALCAREOUS) OOZE (PELAGIC) AT 81-86 CM 100-117 CM 120-122 CM, 5GY6/1 NANNO OOZE ( HEMIPELAGIC) AT 13-60 CM 67-78 CM 116-120 CM 122-132 CM 135-145 CM, 5Y5/2 NANNO (TERRIGENOUS) OOZE (TURB IDITIC MUD ?) AT 13-31 CM 60-67 CM 78-81 CM 94-100 C M 132-135 CM, 5Y3/2 LAMINAE AT 32 CM 34 CM 70 CM 92- 93 CM 118 CM, INTENSIVE BIOTURBATION, THICK HOLLOW ( PYRITIZED ?) BURROWS IN 5GY8/1 OOZE S MOTTLED AT 13-31 CM, THIN IRREGULAR LAMINAE AT 50- 60 CM 93-94 CM, BURROWS AT 65 CM 67 CM 70 CM, THICK IRREGULAR LAMINAE AT 118 CM", NO DEFORMATION OR VERY S LIGHT,,, MYCELLIA AT 61 CM 72-7 3 CM 107 CM 109 CM 133 CM, MAJOR EVENT AT 100 CM, FIRM*,,29e897c5d17e2feb67a63c6ad0f9163b,47-398D-2-1
47,398,D,2,2,0.0,40.0,271.00,272.50,272.90,, NANNO OOZE," 5GY8/1-LIGHT GREENISH GRAY, 5GY6/1-GR EENISH GRAY, 5Y5/2-LIGHT OLIVE GRAY, 5Y3/2-DARK OLIV E GRAY"," 5GY8/1 NANNO (CALCAREOUS) OOZE (PELAGIC) AT 3-5 CM 13-17 CM 18-20 CM, 5GY6/1 NANNO OOZE (HEMIPE LAGIC) AT 5-12 CM 17-18 CM 20-21 CM 25-30 CM, 5Y5/2 NANNO (TERRIGENOUS) OOZE (TURBIDITIC MUD ?) AT 0-3 C M 12-13 CM 22-25 CM 30-40 CM, 5Y3/2 LAMINAE AT 12 CM 30 CM, BURROWS AT 20-23 CM 26-28 CM", SLIGHT TO NON DEFORMATION,,, MYCELLIA AT 23 CM 28 CM, SAME AS SEC TION 1 ABOVE, FIRM*,,370101d2c63f3dd7632545e0b243d433,47-398D-2-2
47,398,D,2,2,40.0,150.0,271.00,272.90,274.00,, NANNO (CALCAREOUS ?) OOZE," N8-VERY LIGHT GRAY, 5B 9/1-BLUISH WHITE"," MOSTLY N8 (PELAGIC) WITH SOME 5B9 /1 SMOOTH NANNO OOZE (HEMIPELAGIC) AT 40-47 CM 53-57 CM 120-125 CM 128-132 CM 136-138 CM 140-145 CM, THI N IRREGULAR LAMINAE AT 47 CM 70 CM 90 CM, THICK IRRE GULAR LAMINAE AT 48 CM 101 CM, BURROWS AT 53 CM 87 C M 100 CM 116 CM 136-138 CM", SLIGHT TO NON DEFORMATI ON,,,, REQUESTED FOR X-RADIOGRAPHY, FIRM*,,b4d7e0d002c504838314fa14d382de42,47-398D-2-2
47,398,D,2,3,0.0,20.0,271.00,274.00,274.20,, NANNO (CALCAREOUS ?) OOZE," N8-VERY LIGHT GRAY, 5B 9/1-BLUISH WHITE"," THIN IRREGULAR LAMINAE AT 5 CM 11 CM, BURROW AT 5 CM", SLIGHT TO NON DEFORMATION,,,," SA ME AS ABOVE, N8 AT 0-17 CM, 5B9/1 AT 17-20 CM", FIRM,,e87d7d57efba6e21ba37919208f1860e,47-398D-2-3
47,398,D,2,3,20.0,34.0,271.00,274.20,274.34,, NANNO (TERRIGENOUS) OOZE," 5Y8/1-LIGHT OLIVE GRAY, 5B9/1-BLUISH WHITE", 5Y8/1 WITH 5B9/1 SMOOTH NANNO OOZE (HEMIPELAGIC) AT 30-34 CM, SLIGHT TO NON DEFOR MATION,,,,, FIRM*,,b9a428cecb9e6a2ed5b7ca58ea631b0e,47-398D-2-3
47,398,D,2,CC,0.0,13.0,271.00,274.45,274.48,, NANNO (TERRIGENOUS) OOZE," 5Y8/1-LIGHT OLIVE GRAY, 5B9/1-BLUISH WHITE", THIN IRRE GULAR LAMINAE, SEVERELY DISTURBED,,,, MIXED 5Y8/1 AND 5B9/1, FIRM*,,7167448cbc0eb02204491e4925abd7bf,47-398D-2-CC
47,398,D,3,1,4.0,150.0,318.50,318.54,320.00,, NANNO CHALK (PELAGIC), 5B9/1-BLUISH WHITE," INTEN SE BIOTURBATION TO MOTTLED, DARK HOLLOW BURROWS AND LAMINAE (PYRITE ?, ORGANIC MATTER ?) AT 50 CM 55 CM 70-71 CM, DWELLING BURROW AT 18-23 CM, CHONDRITES AT 50 CM AND 133 CM, ZOOPHYCUS AT 31 CM, BURROWS AT 25 CM 40 CM 44 CM 113 CM 143 CM, THIN IRREGULAR LAMINA E AT 53 CM 70-72 CM, SLIGHT INCREASE IN TERRIGENOUS (CLAY) TRANSITION TO HEMIPELAGIC DOWNWARD FROM 126 C M"," BRECCIATED AT 4-14 CM, NO DEFORMATION AT 14-150 CM",,,," DECREASE IN HOLLOW BURROWS DOWNWARD FROM 75 CM O VERY UNIFORM LITHOLOGY, RESTING TRACES AT 26 CM", FIRM*,,f62ff5eed1dd352adce6acc4cf14bfbb,47-398D-3-1
47,398,D,3,2,0.0,150.0,318.50,320.00,321.50,, NANNO CHALK," 5B9/1-BLUISH WHITE, 5B8/1-LIGHT BLUI SH GRAY, N8-VERY LIGHT GRAY"," TRANSITION DOWNWARD FR OM 5B9/1 TO 5B8/1 PELAGIC (SLIGHTLY HEMIPELAGIC) NAN NO CHALK AT 0-31 CM, DISCONTINUITY BRAKE IN SEDIMENT ATION AT 31 CM, INTENSE BIOTURBATION TO MOTTLED AT 3 1-150 CM, BURROWS AT 29 CM 31-35 CM 40-42 CM 50 CM", SEVERELY DISTURBED AT 70-105 CM,,,," INFILLINGS IN BUR ROWS, RESTING TRACES ABUNDANT, 5B9/1 TO N8 AT 32-150 CM", FIRM*,,bda90d1c5c79e22970ba29cec2fca66f,47-398D-3-2
47,398,D,3,3,0.0,150.0,318.50,321.50,323.00,, NANNO CHALK," 5B9/1-BLUISH WHITE, 5B,/1-LIGHT BLUI SH GRAY, N8-VERY LIGHT GRAY"," SLIGHT DISCONTINUITY A ND INITIAL DEVELOPMENT OF NODULAR CHALK (DIAGENIC) A T 50 CM, CHONDRITES AT 20 CM 57 CM, DARK HOLLOW BURR OWS AT 1-3 CM AND 115 CM",, NODULAR CHALK AT 53 CM 54 CM 58-60 CM 62 CM,,," 5B9/1 TO 5B8/1 (HEMIPELAGIC ?) AT 0-50 CM, 5B9/1 TO N8 (PELAGIC) AT 50-150 CM, WELL PRESERVED CORE, SLIGHTLY MORE CLAY DOWNWARD TO 50 C M, ORGANIC MATTER SAMPLE TAKEN FROM 122-150 CM", FIR M*,,8c8727ccfb9ac34b0a473d559a1eebc2,47-398D-3-3
47,398,D,3,4,0.0,15.0,318.50,323.00,323.15,, NANNO (CLAY) CHALK, 5GY8/1-LIGHT GREENISH GRAY,,,,,," SLIGHTLY MORE CLAY, SLIGHT DISCONTINUITY AT LOWER BO UNDARY", FIRM*,,6490bbafab1daf497875f1ba6d8df72c,47-398D-3-4
