leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0246,Globorotalia inflata,PRESENT,  ,1,eb2c5f5283edf937a0f56ca706385e19,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0368,Globorotalia pachyderma,PRESENT,  ,1,202d26729f68e9bd6bbc59ac0923db22,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0486,Globorotalia scitula,PRESENT,  ,1,d80d7d8b3c7a1b6fa26610e8a8059289,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0544,Globorotalia truncatulinoides,PRESENT,  ,1,4430f0338282c1b19b6688849b17ee08,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0088,Globigerina bradyi,PRESENT,  ,1,405fd744b09e7793b533136a797987b8,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0105,Globigerina bulloides,PRESENT,  ,1,084c2be5661fe1b67ffca6ee95c96c35,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0670,Globigerina quinqueloba,PRESENT,  ,1,7111f621389f60edae9ce9fcb6c99c07,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOT0100,Globigerinita glutinata,PRESENT,  ,1,b4961356b03663b01763590e82ebdb5c,29-277-1-1
29,277,,1,1,1.0,3.0,0.00,0.02, 9,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FORBU0040,Orbulina universa,PRESENT,  ,1,45a75b1988d9dde47ad2010135c0ce30,29-277-1-1
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0341,Globorotalia munda (q),PRESENT,  ,1,520b07947313114651d6b5da6b1a3780,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0344,Globorotalia nana nana,PRESENT,  ,1,e1ef632adb279e6905984d1d495dc86d,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0346,Globorotalia nana pseudocontinuosa,PRESENT,  ,1,3620814b2a2dbefdb03dd4839aa5d1d4,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0359,Globorotalia opima (q),PRESENT,  ,1,77611475837b9c2950e2110b15298814,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0088,Globigerina bradyi,PRESENT,  ,1,76ab1ff1ba826ceb9bed6977d6acdb00,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0105,Globigerina bulloides,PRESENT,  ,1,56d85c351d98164bea0a9d55a0d7a515,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0175,Globigerina ciperoensis angustiumbilicata,PRESENT,  ,1,c15e04efaf9278004bcfebddb0cc0503,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0275,Globigerina euapertura,PRESENT,  ,1,a66e4fe3d1ae9e805cd0cb246a793b93,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0400,Globigerina juvenilis,PRESENT,  ,1,474fd33b7408c3e76aef19e7923b0a30,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOQ0131,Globoquadrina dehiscens (q),PRESENT,  ,1,212a2eecdb7dc96b4faa7b2ee65f4941,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOQ0371,Globoquadrina tripartita (q),PRESENT,  ,2,64d19591de997a16d33cb4ed958845fc,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOS0080,Globorotaloides testarugosus,PRESENT,  ,2,b3ae42e4df6751a8e14d5d712ebc6fae,29-277-1-CC
29,277,,1,CC,0.0,0.0,0.00,7.60,13,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOT0051,Globigerinita dissimilis (q),PRESENT,  ,2,5b5b7926b394da07eb5abce1a08c3ac7,29-277-1-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FCASS0010,Cassigerinella chipolensis,PRESENT,  ,1,0f5886a856d349fcd54ee33844d8e6f4,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FCHIL0020,Chiloguembelina cubensis,PRESENT,  ,1,e2456f60ab7a192d6fd981b1b93bec56,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0340,Globorotalia munda,PRESENT,  ,1,2489023ff908f1d912a1f9ba4dc3bb24,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0344,Globorotalia nana nana,PRESENT,  ,1,18e4ea897a6bd73ce795e0b6fd553150,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0346,Globorotalia nana pseudocontinuosa,PRESENT,  ,1,d5def03e60bdb8044e12df98c11db88e,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0275,Globigerina euapertura,PRESENT,  ,1,7198dc894630fcd120cebca21d1a1076,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0400,Globigerina juvenilis,PRESENT,  ,1,9e98618213f41ff53db1acb693c3806e,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0555,Globigerina ouachitaensis,PRESENT,  ,1,760b7a6cd98db2e3d03247bd46870afa,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOS0080,Globorotaloides testarugosus,PRESENT,  ,1,191efb74ca17b82767be2ef11164e80d,29-277-2-CC
29,277,,2,CC,0.0,0.0,7.00,16.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOT0050,Globigerinita dissimilis,PRESENT,  ,1,faa3090b72cf1eec792ca8ade5854a03,29-277-2-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FCHIL0020,Chiloguembelina cubensis,PRESENT,  ,1,78776acdfe205c1cdf839367ca75bed4,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0207,Globorotalia gemma (q),PRESENT,  ,1,98c01fc021815631e1e18c5d6197c165,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0340,Globorotalia munda,PRESENT,  ,1,86a6659de4eacc4449b2bcac42100e00,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0344,Globorotalia nana nana,PRESENT,  ,1,5cbe1c96c3a0b48475ba3a6770a289a3,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0346,Globorotalia nana pseudocontinuosa,PRESENT,  ,1,df776b8ba2c4662d9cf660d561286399,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0359,Globorotalia opima (q),PRESENT,  ,1,1d01ad05fd876657ef8102e6de3fc761,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0088,Globigerina bradyi,PRESENT,  ,1,e0d8ee0e0c7d8f6cdba69d710b9d8024,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0105,Globigerina bulloides,PRESENT,  ,1,721c74a1612cbb217e58a1c738b05d02,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0175,Globigerina ciperoensis angustiumbilicata,PRESENT,  ,1,db14dd7a7c64ed820d8db9ba5fe87e00,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0275,Globigerina euapertura,PRESENT,  ,1,4d6abf50b8713e2893bf91954ee1980b,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0401,Globigerina juvenilis (q),PRESENT,  ,2,bad4d81f8b0e7f4b87114f4b53b36fa3,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0405,Globigerina labiacrassata,PRESENT,  ,2,e4c4bbc859cee03d618cf0b486e2ca0c,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOQ0370,Globoquadrina tripartita,PRESENT,  ,2,c166d173aa86be32e211fc0d814c8de8,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOS0110,Globorotaloides unicavus,PRESENT,  ,2,5894de5d037cf16431970fc67e86db88,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOT0050,Globigerinita dissimilis,PRESENT,  ,2,8e417e7cb5c9e90b8c25915ad2198978,29-277-3-CC
29,277,,3,CC,0.0,0.0,16.50,25.60,16,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGUEB0030,Guembelitria stavensis,PRESENT,  ,2,bc6e8bd497dc67d9a7a5526881611159,29-277-3-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FCHIL0020,Chiloguembelina cubensis,PRESENT,  ,1,bb309f5b9bdaeea9d5058412a564d932,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0340,Globorotalia munda,PRESENT,  ,1,f8debbc6a621d52dc515f78feea93f1e,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0344,Globorotalia nana nana,PRESENT,  ,1,98e7c76ddaec021f64f68ac424766985,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0346,Globorotalia nana pseudocontinuosa,PRESENT,  ,1,38f33c9ee239a55f09b7bdaf7a36fc13,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0359,Globorotalia opima (q),PRESENT,  ,1,0370507c2199ee1708b2d03c9ec68a0a,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0275,Globigerina euapertura,PRESENT,  ,1,2f481f032d7ce7d12d340a955151b339,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0400,Globigerina juvenilis,PRESENT,  ,1,220e3791d16a8b9d9aaa1f8e7ff92c9d,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0405,Globigerina labiacrassata,PRESENT,  ,1,c5965578a580dd61370d4ce41e56174f,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOS0080,Globorotaloides testarugosus,PRESENT,  ,1,c69c141ece3fa92bb7dc75a5662c0382,29-277-4-CC
29,277,,4,CC,0.0,0.0,26.00,35.10,10,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGUEB0030,Guembelitria stavensis,PRESENT,  ,1,1ab6dd5d68ee2f96f05fefc3017da805,29-277-4-CC
29,277,,5,CC,0.0,0.0,35.50,44.60, 7,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FCHIL0020,Chiloguembelina cubensis,PRESENT,  ,1,b300659534a19a082a29e37437cddcc3,29-277-5-CC
29,277,,5,CC,0.0,0.0,35.50,44.60, 7,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0340,Globorotalia munda,PRESENT,  ,1,31470d6d6155f825e28c152191c404d7,29-277-5-CC
29,277,,5,CC,0.0,0.0,35.50,44.60, 7,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOA0344,Globorotalia nana nana,PRESENT,  ,1,29172d08fcfc59e404d738c143e10fff,29-277-5-CC
29,277,,5,CC,0.0,0.0,35.50,44.60, 7,"JENKINS,D.G.",,29,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,450,FGLOG0275,Globigerina euapertura,PRESENT,  ,1,874899cd11cbd755b3e0a75b69d4a3c4,29-277-5-CC
