Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Velicucullus altus	Tripilidium clavipes	Stylatractus santaeannae	Stylatractus neptunus	Stylacontarium bispiculum	Siphocampe arachnea	Prunopyle sp. D	Prunopyle sp. A	Prunopyle hayesi	Peripyramis circumtexta	Lithomelissa cf. ehrenbergi	Lampromitra coronata	Hexacontium cf. enthacanthum	Gondwanaria japonica	Eucyrtidium cienkowskii	Druppatractus hastatus	Dendrospyris stabilis	Cyrtocapsella tetrapera	Cyrtocapsella longithorax	Cycladophora golli	Cycladophora conica	Cycladophora antiqua	Corythospyris fiscella	Circodiscus ellipticus	Ceratocyrtis mashae	Amphistylus angelinus	Actinomma magnifenestra	Acrosphaera spp.	Antarctissa robusta	Spongotrochus glacialis	Spongodiscus craticulatus	Prunopyle sp. B	Cycladophora sp.	Ceratocyrtis stigi	Cenosphaera sp. A	Carpocanarium papillosum	Calocyclas cf. semipolita	Velicucullus cf. oddgurneri	Stauroxiphos communis	Gondwanaria sp. A	Dictyophimus gracilipes	Cycladophora golli regipileus	Cycladophora golli golli	Actinomma sp. B	Gondwanaria deflandrei	Dendrospyris rhodospyroides	Cyrtocapsella japonica	Velicucullus sp.	Hexalonche philosophica?	Dictyophimus crisiae	Desmospyris rhodospyroides	Ceratocyrtis sp.	Saccospyris antarctica	Prunopyle tetrapila	Heliodiscus sp. A	Actinomma sp. A	Disolenia spp.	Corythomelissa horrida	Stichophormis sp.	Saturnalis circularis	Lithartractus timmsi?	Eucyrtidium punctatum	Eucyrtidium calvertense	Dendrospyris megalocephalis	Stichopilium bicorne?	Trissocyclid sp. A	Hexacontium spp.	Prunopyle titan	Thyrsocyrtis clausa	Pterocanium sp.	Lamprocyrtis (?) cf. hannai	Anthocyrtidium sp.	Eucyrtidium sp. A	Triceraspyris coronata	Lychnocanoma conica	Lithomelissa stigi	Calocyclas humerus	Lychnocanoma sp. B	Stylosphaera sp. A	Spongomelissa dilli	Pterocanium charybdeum trilobum	Antarctissa deflandrei	Actinomma golownini	Spongoplegma sp.	Siphonosphaera magnisphaera	Lithocarpium polyacantha	Didymocyrtis/Diartus spp.	Pterocanium korotnevi	Didymocyrtis sp.	Cornutella clathrata	Stylatractus universus	Acrosphaera murrayana	Cycladophora spongothorax	Lychnocanium grande	Collosphaerid sp. B	Eucyrtidium pseudoinflatum	Acrosphaera mercurius	Rhopalastrum spp.	Cycladophora bicornis	Acrosphaera australis	Siphonosphaera vesuvius	Stylatractus universus var. transparum	Cycladophora pliocenica	Antarctissa strelkovi	Stichocorys peregrina	Antarctissa denticulata	Antarctissa cylindrica	Acrosphaera labrata	Amphymenium challengerae	Helotholus vema	Desmospyris spongiosa	Triceraspyris antarctica	Cycladophora davisiana	Comment

  SR	                 	                 	Psi               	              	120	 751	A	  2	H	 1	  98.00	      5.6800	Lazarus  	Radiolarians                                 	A              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	                    	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	                       	                           	                     	                  	                	               	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	+                      	C                    	                     	C                      	C                     	                   	                        	               	                     	                        	C                     	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	up. Upsilon       	              	120	 751	A	  2	H	 2	  98.00	      7.1800	Lazarus  	Radiolarians                                 	A              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	                    	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	F                      	                           	                     	                  	                	               	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	F                    	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	C                      	F                    	                     	F                      	A                     	                   	                        	C              	                     	                        	R                     	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	mid. Upsilon      	              	120	 751	A	  2	H	 3	  98.00	      8.6800	Lazarus  	Radiolarians                                 	C/A            	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	                    	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	R                      	                           	                     	                  	                	               	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	R                    	                	                    	+                     	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	C                      	A                    	                     	C                      	C                     	                   	                        	F              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	mid. Upsilon      	              	120	 751	A	  2	H	CC	   7.00	     10.0600	Lazarus  	Radiolarians                                 	C/A            	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	                    	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	F                      	                           	                     	                  	                	+              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	F                      	F                    	                     	A                      	C                     	                   	                        	F              	F                    	                        	+                     	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	mid. Upsilon      	              	120	 751	A	  3	H	 1	  98.00	     15.1800	Lazarus  	Radiolarians                                 	C/A            	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	R                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	+                      	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	F                      	                           	                     	                  	                	               	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	C                      	F                    	                     	A                      	F                     	                   	                        	F              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	mid. Upsilon      	              	120	 751	A	  3	H	 2	  98.00	     16.6800	Lazarus  	Radiolarians                                 	A              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	R                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	+                    	                     	                     	F                      	                           	                     	                  	                	+              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	+                     	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	F                      	A                    	                     	A                      	A                     	                   	                        	F              	C                    	R                       	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	mid. Upsilon      	              	120	 751	A	  3	H	 3	  98.00	     18.1800	Lazarus  	Radiolarians                                 	C              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	R                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	+                    	                     	                     	R                      	                           	                     	                  	                	               	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	C                    	                     	                       	                                      	R                      	F                    	                     	F                      	A                     	                   	                        	C              	A                    	R                       	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	low. Upsilon      	              	120	 751	A	  3	H	 4	  98.00	     19.6800	Lazarus  	Radiolarians                                 	A              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	R                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	R                      	                           	                     	                  	                	+              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	C                    	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	C                      	R                    	                     	A                      	F                     	                   	                        	C              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	low. Upsilon      	              	120	 751	A	  3	H	 5	  98.00	     21.1800	Lazarus  	Radiolarians                                 	C              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	R                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	R                      	                           	                     	                  	                	R              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	+                        	                   	                   	                          	                     	                 	F                    	                     	                       	                                      	F                      	R                    	                     	A                      	A                     	                   	                        	F              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	low. Upsilon      	              	120	 751	A	  3	H	CC	   9.00	     22.0100	Lazarus  	Radiolarians                                 	A              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	F                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	F                      	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	F                      	                           	                     	                  	                	R              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	                          	                     	                 	                     	                     	                       	                                      	F                      	F                    	                     	A                      	C                     	                   	                        	F              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	low. Upsilon      	              	120	 751	A	  4	H	 2	  98.00	     26.1800	Lazarus  	Radiolarians                                 	C              	G                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	                    	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	R                      	                           	                     	                  	                	F              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	R                         	                     	                 	                     	                     	                       	                                      	R                      	A                    	                     	                       	A                     	                   	                        	C              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792

  SR	                 	                 	low. Upsilon      	              	120	 751	A	  4	H	 3	  98.00	     27.6800	Lazarus  	Radiolarians                                 	A              	M                 	                  	                    	                        	                     	                         	                   	               	               	                	                       	                           	+                   	                            	                    	                       	                      	                     	                       	                         	                  	                   	                    	                      	                      	                   	                     	                       	                	                   	                       	                         	               	                	                  	                 	                        	                         	                           	                     	                 	                       	                             	                        	               	                      	                           	                      	                	                        	                    	                          	                	                      	                   	                 	               	              	                      	                 	                     	                     	                     	R                      	                           	                     	                  	                	F              	                   	               	                           	                  	                 	                      	                   	                  	                  	                  	                  	                   	                               	                      	                   	                	                           	                        	                         	                     	                	                    	                      	                     	                         	                   	                   	+                         	                     	                 	                     	                     	                       	                                      	C                      	A                    	                     	                       	C                     	                   	                        	F              	C                    	                        	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 6 microfiche backpocket & Fig 7 p 792
