Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cyclicargolithus floridanus floridanus	Coccolithus formosus	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus intercalaris	Discoaster barbadiensis	Coccolithus pelagicus	Chiasmolithus californicus	Zygrhablithus bijugatus	Sphenolithus furcatolithoides	Reticulofenestra samodurovii	Markalius inversus	Helicosphaera dinesenii	Discoaster saipanensis	Discoaster bifax	Chiasmolithus solitus	Chiasmolithus grandis	Reticulofenestra umbilica	Reticulofenestra ornata	Helicosphaera heezenii	Coccolithus staurion	Chiasmolithus expansus	Campylosphaera dela	Blackites spinosus	Reticulofenestra hillae	Discoaster binodosus	Thoracosphaera spp.	Reticulofenestra bisecta	Discoaster delicatus	Coronocyclus nitescens	Coccolithus miopelagicus	Reticulofenestra reticulata	Discoaster tanii nodifer	Sphenolithus predistentus	Lanternithus minutus	Helicosphaera euphratis	Neococcolithes spp.	Helicosphaera compacta	Discoaster tanii	Dictyococcites daviesii	Chiasmolithus oamaruensis	Isthmolithus recurvus	Cyclicargolithus floridanus abisectus	Helicosphaera carteri	Discoaster deflandrei	Clausicoccus fenestratus	Sphenolithus primus	Sphenolithus celsus	Sphenolithus distentus	Triquetrorhabdulus carinatus	Chiasmolithus altus	Sphenolithus ciperoensis	Triquetrorhabdulus milowii	Dictyococcites scrippsae	Helicosphaera kamptneri	Sphenolithus obtusus	Sphenolithus conicus	Discoaster subdeflandrei	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilica	Discoaster druggii	Discoaster variabilis	Discoaster aulakos	Calcidiscus macintyrei	Discoaster exilis	Discoaster divaricatus	Reticulofenestra minutula	Calcidiscus leptoporus	Scyphosphaera aranta	Umbilicosphaera sibogae	Pontosphaera multipora	Helicosphaera scissura	Triquetrorhabdulus rugosus	Helicosphaera burkei	Discoaster brouweri	Discoaster calcaris	Helicosphaera granulata	Discoaster triradiatus	Discoaster kugleri	Discoaster challengeri	Discoaster sanmiguelensis	Discoaster pentaradiatus	Helicosphaera sellii	Sphenolithus abies	Catinaster coalitus	Catinaster calyculus	Discoaster hamatus	Catinaster mexicanus	Discoaster intercalaris	Discoaster quinqueramus	Discoaster neorectus	Discoaster archipelagoensis	Discoaster berggrenii	Discoaster pansus	Scyphosphaera procera	Helicosphaera wallichii	Rhabdosphaera clavigera	Discoaster blackstockae	Discoaster surculus	Reticulofenestra minuta	Sphenolithus abies/neoabies	Geminilithella rotula	Dictyococcites aff. D. antarcticus	Amaurolithus primus	Amaurolithus delicatus	Discoaster stellulus	Pontosphaera japonica	Amaurolithus tricorniculatus	Scyphosphaera pulcherrima	Rhabdosphaera procera	Helicosphaera sp. 1	Amaurolithus amplificus	Discoaster icarus	Ceratolithus acutus	Ceratolithus armatus	Ceratolithus rugosus	Scyphosphaera globulata	Discoaster asymmetricus	Ceratolithus cristatus	Amaurolithus bizarrus	Discoaster quadramus	Pseudoemiliania lacunosa	Discoaster tamalis	Syracosphaera pulchra	Cricolithus jonesi	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania huxleyi	Umbilicosphaera mirabilis	Helicosphaera inversa	Pontosphaera sp. 1	Helicosphaera hyalina	Ceratolithus separatus	Oolithotus fragilis	Coccolithus pliopelagicus	Rhabdosphaera stylifera	Helicosphaera neogranulata	Syracosphaera histrica	Scapholithus fossilis	Hayaster perplexus	Gephyrocapsa sp. (small)	Ceratolithus simplex	Umbellosphaera irregularis	Comment

  SR	Pleistocene      	                 	CN15              	              	125	 782	A	  1	H	 5	  11.00	      6.1100	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	R                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	C                    	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	C                     	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	                  	C                    	                         	F                	                         	                     	R                 	R                    	                      	                   	                         	                       	R                         	                      	                     	                  	                        	R                   	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN15              	              	125	 782	A	  1	H	 6	  12.00	      7.6200	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	F                    	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	C                     	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	R                      	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	                  	F                    	C                        	F                	                         	                     	R                 	R                    	                      	                   	                         	                       	R                         	                      	                     	                  	                        	R                   	R                         	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN15              	              	125	 782	A	  1	H	CC	  17.00	      9.7700	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	F                    	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	C                     	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	R                      	R                      	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	R                    	                  	C                    	F                        	F                	R                        	                     	R                 	                     	                      	                   	                         	                       	R                         	                      	                     	                  	                        	R                   	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN14b             	              	125	 782	A	  2	H	 1	  53.00	     10.3300	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	R                    	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	C                     	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	                     	                  	C                    	C                        	                 	                         	                     	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN14b             	              	125	 782	A	  2	H	 2	  83.00	     12.1300	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	F                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	F                    	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	C                     	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	R                      	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	                        	                  	                     	                  	F                    	C                        	                 	                         	R                    	R                 	                     	                      	                   	                         	                       	R                         	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN14a             	              	125	 782	A	  2	H	 3	  41.00	     13.2100	Ciampo   	Nannofossils                                 	               	G                 	                                      	                    	                          	                       	                         	                       	R                    	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	R                    	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	F                     	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	R                     	                     	                    	R                       	                  	                     	                  	F                    	C                        	                 	                         	R                    	                  	R                    	                      	                   	                         	                       	F                         	                      	                     	                  	                        	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN14a             	              	125	 782	A	  2	H	 4	  52.00	     14.8200	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	                     	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	                      	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	                      	                     	                    	                        	                  	                     	                  	                     	                         	                 	                         	                     	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	+                       	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.

  SR	Pleistocene      	                 	CN14a             	              	125	 782	A	  2	H	 5	  31.00	     16.1100	Ciampo   	Nannofossils                                 	               	M                 	                                      	                    	                          	                       	                         	                       	                     	                          	                       	                             	                            	                  	                       	                      	                	                     	                     	                         	                       	                      	                    	                      	                   	                  	                       	                    	                   	                        	                    	                      	                        	                           	                        	                         	                    	                       	                   	                      	                	                       	                         	                     	                                     	                     	                     	                        	                   	                   	                      	                            	                   	                        	                          	                        	                       	                    	                    	                        	                          	                               	                  	                     	                  	                      	                 	                      	                         	                      	                    	                       	                      	                      	                          	                    	                   	                   	                       	                      	                  	                      	                         	                        	                    	                  	                   	                    	                  	                    	                       	                       	                    	                           	                     	                 	                     	                       	                       	                       	                   	                       	                           	                     	                                  	                   	                      	                    	                     	                            	                         	                     	                   	                       	                 	                   	                    	                    	                       	                       	                      	                     	                    	                        	                  	R                    	                  	                     	                         	                 	R                        	                     	                  	                     	                      	                   	                         	                       	                          	                      	                     	                  	+                       	                    	                          	from 125SR.Chapter 2.Table 3.pages 29 - 30.
