Any taxon above genus,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name,superfamily_taxon_id,superfamily_taxon_name
"""Astronion charlottensis""",,,,,,,,,,,,,,,,,
Miliolidae indet.,81704,Miliolidae,family,81704,Miliolidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria,,,,
Foraminifera indet.,288974,Foraminifera,phylum,,,,,,,288974,Foraminifera,212476,Rhizaria,,,,
Chrysophyta indet.,69586,Chrysophyta,unranked clade,,,,,,,,,,,28595,Life,,
"""Dimerogramma elegans""",,,,,,,,,,,,,,,,,
"""Diogramma sp.""",,,,,,,,,,,,,,,,,
Stephanodiscaceae indet.,351514,Stephanodiscaceae,family,351514,Stephanodiscaceae,351515,Stephanodiscales,351518,Mediophyceae,432613,Ochrophyta,,,28595,Life,,
Bacillariophyceae indet.,69587,Bacillariophyceae,class,,,,,69587,Bacillariophyceae,432613,Ochrophyta,,,28595,Life,,
Gonyaulacaceae indet.,321603,Gonyaulacaceae,family,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
Dinophyceae indet.,321578,Dinophyceae,class,,,,,321578,Dinophyceae,,,,,,,,
Calyptrosphaeraceae indet.,87660,Calyptrosphaeraceae,family,87660,Calyptrosphaeraceae,,,418920,Coccolithophyceae,87644,Haptophyta,,,28595,Life,,
Cytherelloidea indet.,187297,Cytherelloidea,superfamily,,,24710,Platycopida,22826,Ostracoda,18891,Arthropoda,325038,Animalia,,,187297,Cytherelloidea
Ostracoda indent.,22826,Ostracoda,class,,,,,22826,Ostracoda,18891,Arthropoda,325038,Animalia,,,,
Globigerinida indet.,,,,,,,,,,,,,,,,,
Amaranthaceae indet.,55412,Amaranthaceae,family,55412,Amaranthaceae,54896,Caryophyllales,55217,Magnoliopsida,55350,Spermatophyta,54311,Plantae,,,,
