Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Group abundance,Comment (general),Preservation,Globigerinoides ruber (pink),Globorotalia tosaensis,Globigerinoides fistulosus,Globorotalia truncatulinoides,Globigerinoides extremus,Globorotalia miocenica,Globorotalia limbata,Globorotalia multicamerata,Dentoglobigerina altispira,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia margaritae,Globoturborotalita nepenthes,Globorotalia merotumida,Globoquadrina dehiscens,Globorotalia lenguaensis,Neogloboquadrina acostaensis,Paragloborotalia mayeri,Fohsella fohsi,Fohsella robusta,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Praeorbulina sicana,Globigerinatella insueta,Orbulina suturalis,Praeorbulina glomerosa,Catapsydrax dissimilis,Globigerina ciperoensis,Globigerinoides trilobus,Paragloborotalia kugleri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1471A-1H-CC-PAL-FORAM >150,0,5,4.57,4.62,,,,VG,P,,,P,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,C,,,,,359,U1471,A,1,H,CC,PAL,FORAM >150
359-U1471A-2H-CC-PAL-FORAM >150,0,5,11.7,11.75,,,,G,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,C,,,,,359,U1471,A,2,H,CC,PAL,FORAM >150
359-U1471A-3H-CC-PAL-FORAM >150,0,5,23.37,23.42,,,,VG,,P,,P,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,C,,,,,359,U1471,A,3,H,CC,PAL,FORAM >150
359-U1471A-4H-CC-PAL-FORAM >150,0,5,33.22,33.27,,,,G,,P,,P,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,C,,,,,359,U1471,A,4,H,CC,PAL,FORAM >150
359-U1471A-5H-CC-PAL-FORAM >150,0,5,42.62,42.67,,,,G,,P,,P,,,,,,,,P,R,,,,,,R,,,,,,,,,R,,,,C,,,,,359,U1471,A,5,H,CC,PAL,FORAM >150
359-U1471A-6H-CC-PAL-FORAM >150,0,5,52.26,52.31,,,,G,,R,,P,,,,,,,,P,R,,,,,,R,,,,,,,,,R,,,,C,,,,,359,U1471,A,6,H,CC,PAL,FORAM >150
359-U1471A-7H-CC-PAL-FORAM >150,0,5,61.63,61.68,,,,M,,P,P,P,,,,,,,,P,R,,,,,,R,,,,,,,,,R,,,,C,,,,,359,U1471,A,7,H,CC,PAL,FORAM >150
359-U1471A-8H-CC-PAL-FORAM >150,0,5,70.47,70.52,,,,G,,,P,P,P,,,,,,,,P,,,,,,R,,,,,,,,,P,,,,R,,,,,359,U1471,A,8,H,CC,PAL,FORAM >150
359-U1471A-9H-CC-PAL-FORAM >150,0,5,80.65,80.7,,,,M,,,R,,P,,,,,,,,P,,,,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,9,H,CC,PAL,FORAM >150
359-U1471A-10H-CC-PAL-FORAM >150,0,5,90.29,90.34,,,,M,,R,P,,P,,P,,,,,,P,,,,,,R,,,,,,,,,R,,,,R,,,,,359,U1471,A,10,H,CC,PAL,FORAM >150
