Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1432C-1H-CC-PAL-FORAMP,0,5,7.9,7.95,,,,,,,,,,,,,,G [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,R [A88],,,,,,F [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,F [A88],,R [A88],,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,"abundant radiolaria, some broken foraminifera specimens, ",,,349,U1432,C,1,H,CC,P
349-U1432C-2H-CC-PAL-FORAMP,0,5,14.1,14.15,"T Globigerinoides ruber (pink) (Thompson et al., 1979)",T,,0.12,PT1b [G12],"PT1b - Globorotalia truncatulinoides Partial-range Zone (Gradstein et al., 2012)",,,0,,,0.61,,M [P32],A [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,,R [A88],,,,,,R [A88],R [A88],,R [A88],,,,,R [A88],F [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,,,,,R [A88],,,,,F [A88],,R [A88],,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,"20-30% broken, rare radiolaria",,,349,U1432,C,2,H,CC,P
349-U1432C-3H-CC-PAL-FORAMP,0,5,24.39,24.44,,,,,,,,,,,,,,M [P32],A [A87],,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,R [A88],R [A88],,R [A88],,,,,R [A88],F [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,F [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,F [A88],,R [A88],,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,~30% broken,,,349,U1432,C,3,H,CC,P
349-U1432C-4H-CC-PAL-FORAMP,0,5,36.41,36.46,,,,,,,,,,,,,,G [P32],C [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,R [A88],R [A88],,,,,,,R [A88],,,,,,,R [A88],R [A88],R [A88],,,,R [A88],,,,,,,,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,R [A88],,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],"mostly small, a few radiolaria, some benthic foraminifera (Uvigerina spp.",,,349,U1432,C,4,H,CC,P
349-U1432C-5H-CC-PAL-FORAMP,0,5,46.01,46.06,,,,,,,,,,,,,,G [P32],A [A87],,,,,,,,,,,,,R [A88],,,,,,,,,,R [A88],R [A88],,,,,,,R [A88],,,,,,,R [A88],R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,R [A88],,R [A88],,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,349,U1432,C,5,H,CC,P
349-U1432C-6H-CC-PAL-FORAMP,0,5,52.96,53.01,"T Globorotalia tosaensis (Gradstein et al., 2012)",T,,0.61,,,,,,,,,,G [P32],A [A87],,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,R [A88],,R [A88],R [A88],,R [A88],,,,,,R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,R [A88],,,,,R [A88],,,,,,,,,,,,R [A88],R [A88],R [A88],,,,R [A88],,,,,,,,,R [A88],,,,R [A88],,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,"well sorted turbidite, redeposition of Pleistocene-Pliocene forams (mica+shallow water benthic forams)",,,349,U1432,C,6,H,CC,P
349-U1432C-7H-CC-PAL-FORAMP,0,5,62.11,62.16,,,,,,,,,,,,,,P [P32],R [A87],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,R [A88],,,,R [A88],,,,R [A88],,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,"many broken specimens, dissolution disturbed assemblage typical of deepsea clay under the LCD, with benthic forams (Uvigerina spp.)",,,349,U1432,C,7,H,CC,P
349-U1432C-8H-6-PAL-FORAMP,0,5,70.59,70.64,,,,,,,,,,,,,,G [P32],A [A87],,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,R [A88],,,,R [A88],,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,many broken pieces,,,349,U1432,C,8,H,6,P
349-U1432C-9H-CC-PAL-FORAMP,0,16,72.0,72.16,,,,,,,,,,,,,,G [P32],A [A87],,,,,,R [A88],,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],R [A88],,R [A88],,,,,,R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,R [A88],R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],R [A88],R [A88],,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,clay aggregates,,,349,U1432,C,9,H,CC,P
349-U1432C-10H-CC-PAL-FORAMP,0,6,86.15,86.21,,,,,,,,,,,,,,M [P32],A [A87],,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],R [A88],,R [A88],,,,,,R [A88],R [A88],,,,R [A88],,,,,,R [A88],,,,,,,,R [A88],,,,,F [A88],,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,R [A88],,,,,,,,,R [A88],,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,"some quartz grains, >50% broken",,,349,U1432,C,10,H,CC,P
