Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina gortanii ,Globigerina falconensis,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (white),Globigerina rubescens (pink),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia miotumida,Globorotalia miozea ,Globorotalia merotumida,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia plesiotumida ,Globorotalia pertenuis,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotaloides suteri,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globorotalia ungulata,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Globorotaloides hexagona,Globorotaloides variabilis,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Praeorbulina circularis,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1434A-2R-CC-PAL-FORAMP,0,8,197.47,197.55,,,,,M13b [G12],"M13b - Globorotalia plesiotumida/Globorotalia lenguaensis Concurrent-range Subzone (Gradstein et al., 2012)",,,6.14,,,8.58,,M [P32],R [A87],,,,,,,,,R [A88],R [A88],,,R [A88],,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,F [A88],F [A88],,,,,,,,,,,,,,,,"Clay, quartz, clastics",,,349,U1434,A,2,R,CC,P
349-U1434A-3R-CC-PAL-FORAMP,0,8,209.19,209.27,,,,,M13b [G12],"M13b - Globorotalia plesiotumida/Globorotalia lenguaensis Concurrent-range Subzone (Gradstein et al., 2012)",,,6.14,,,8.58,,P [P32],R [A87],,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,"Clay, Mica, clastics, few benthics",,,349,U1434,A,3,R,CC,P
349-U1434A-4R-CC-PAL-FORAMP,0,5,216.23,216.28,,,,,M13b [G12],"M13b - Globorotalia plesiotumida/Globorotalia lenguaensis Concurrent-range Subzone (Gradstein et al., 2012)",,,6.14,,,8.58,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,volcanic fragments,,,349,U1434,A,4,R,CC,P
349-U1434A-5R-1-PAL-FORAMP,0,3,225.71,225.74,,,,,M13a [G12],"M13a - Neogloboquadrina acostaensis Lowest-occurrence Subzone (Gradstein et al., 2012)",,,8.58,,,9.83,,G [P32],R [A87],,,,,,,,,R [A88],R [A88],,,R [A88],,,,,R [A88],,,,,,,,,,,,,R [A88],,,R [A88],,R [A88],,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,R [A88],,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,,R [A88],,,R [A88],,,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],F [A88],,,,,,,,,,,,,,,,some benthic forms,,,349,U1434,A,5,R,1,P
349-U1434A-5R-1-PAL-FORAMP,0,4,225.56,225.6,,,,,M13a [G12],"M13a - Neogloboquadrina acostaensis Lowest-occurrence Subzone (Gradstein et al., 2012)",,,8.58,,,9.83,,G [P32],R [A87],,,,,,,,,R [A88],R [A88],,,R [A88],,,,,R [A88],,,,,,,,,,,,,R [A88],,,R [A88],,R [A88],,,,R [A88],,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,R [A88],,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],,,,,R [A88],,,R [A88],,,,,,R [A88],,,,,,,,,,,,,,,,,R [A88],F [A88],,,,,,,,,,,,,,,,some benthic forms,,,349,U1434,A,5,R,1,P
349-U1434A-6R-CC-PAL-FORAMP,0,10,239.62,239.72,,,,,M13a [G12],"M13a - Neogloboquadrina acostaensis Lowest-occurrence Subzone (Gradstein et al., 2012)",,,8.58,,,9.83,,P [P32],R [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,very poorly preserved.,,,349,U1434,A,6,R,CC,P
349-U1434A-7R-CC-PAL-FORAMP,0,15,247.08,247.23,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1434,A,7,R,CC,P
349-U1434A-8R-CC-PAL-FORAMP,0,10,258.56,258.66,,,,,,,,,,,,,,,B [A87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1434,A,8,R,CC,P
349-U1434A-9R-CC-PAL-FORAMP,0,10,266.61,266.71,,,,,M12 [G12],"M12 - Globigerinoides trilobus Partial-range Zone (Gradstein et al., 2012)",,,9.83,,,10.46,,M [P32],C [A87],,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,R [A88],R [A88],,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,"~50% fragments, typical dissolution-disturbed assemblage, some benthic forms. Pyrite grains.",,,349,U1434,A,9,R,CC,P
349-U1434A-10R-CC-PAL-FORAMP,0,10,278.14,278.24,,,,,M11 [G12],"M11 - Globoturborotalita nepenthes/Paragloborotalia mayeri Concurrent-range Zone (Gradstein et al., 2012)",,,10.46,,,11.63,,M [P32],C [A87],,,,,,,,,F [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],R [A88],,,R [A88],,,,,,,,,,,,,,R [A88],A [A88],,,,,,,,,,,,,,,,"30-50 fragments. Dissolution affected assemblage, many pyrite grains",,,349,U1434,A,10,R,CC,P
