Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Zone name (short),Zone name,Preservation,Group abundance,Oligocene to Holocene,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Chiloguembelina cubensis,Clavatorella bermudezi,Clavatorella bermudezi (regular),Clemebciae,Dentoglobigerina altispira,Dentoglobigerina globularis,"Fohsella ""praefohsi""",Fohsella birnageae,Fohsella fohsi,Fohsella peripheroacuta,Fohsella robusta,Globigeriantella insueta,Globigeriantella insueta sensu srticto,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina euapertura,Globigerinoides altiapertura,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus (regular),Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides seiglei,Globigerinoides subquadratus,Globigerinoides trilobus sensu lato,Globogerinatella sp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina dehiscens forma spinosa,Globorotalia archeomenardii,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis sensu lato,Globorotalia excelsa,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia incognita,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia miozea,Globorotalia multicamerata,Globorotalia panda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia semivera,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia zealandica,Globoturborotalita angulisuturalis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita woodi,Minutissima,Neogloboquadrina acostaensis (dextral),Neogloboquadrina acostaensis (sinistral),Neogloboquadrina humerosa,Neogloboquadrina nympha,Neogloboquadrina pachyderma,Orbulina suturalis,Paragloborotalia kugleri,Paragloborotalia mayeri/siakensis,Paragloborotalia opima,Paragloborotalia pseudokugleri,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa sensu stricto,Praeorbulina sicana,Pseudoedita,Pseudohastigerina naguewichiensis,Pulleniatina coiling (dextral),Pulleniatina coiling (sinistral),Pulleniatina finalis,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dahiscens sensu lato,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Subbotina angiporoides,Tenuitella gemma,Tenuitella munda,Tenuitella selleyi,Tenuitellinata juvenilis,Turborotalia ampliapertura,Turborotalita humilis,Paleocene and Eocene,Acarinina acarinata,Acarinina bullbrooki,Acarinina coalingensis,Acarinina collactea,Acarinina cuneicamerata,Acarinina mcgowrani,Acarinina mckannai,Acarinina pentacamerata,Acarinina primitiva,Acarinina sibaiyaensis,Acarinina soldadoensis,Acarinina strabocella,Acarinina subsphaerica,Cribrohantkenina inflata,Globanomalina australiformis,Globanomalina compressa,Globanomalina pseudomenardii,Globigerinatheka kugleri,Globigerinatheka semiinvoluta,Guembelitrioides nuttalli,Hantkenina alabamensis,Hantkenina singanoae,Igorina albeari,Igorina broedermanni,Igorina pusilla,Morozovella acuta,Morozovella aequa,Morozovella angulata,Morozovella aragonensis,Morozovella conicotruncata,Morozovella formosa,Morozovella gracilis,Morozovella lensiformis,Morozovella marginodentata,Morozovella praeangulata,Morozovella subbotinae,Morozovella velascoensis,Morozovelloides crassatus,Morozovelloides lehneri,Orbulinoides beckmanni,Parasubbotina pseudobulloides,Parasubbotina varianta,Parasubbotina variospira,Parvularugoglobigerina eugubina,Parvularugoglobigerina extensa,Planorotalites palmerae,Praemurica inconstans,Praemurica uncinata,Pseudohastigerina micra,Pseudohastigerina wilcoxensis,Subbotina linaperta,Subbotina triloculinoides,Subbotina velascoensis,Turborotalia cerroazulensis,Turborotalia cunialensis,Turborotalia frontosa,Turborotalia pomeroli,Turborotalia possagnoensis,Upper Cretaceous,Abathomphalus intermedia,Abathomphalus mayaroensis,Contusotruncana fornicata,Contusotruncana patelliformis,Gansserina gansseri,Globotruncana bulloides,Globotruncana linneiana,Planoglobulina acervulinoides,Pseudoguembelina hariaensis,Pseudotextularia elegans,Rugoglobigerina pennyi,Sample comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
362-U1480C-1H-CC-PAL-FORAM_CHEN,0,5,9.63,9.68,"B Globorotalia hessi (Gradstein et al., 2012)",PT1a-PT1b,,P [P43],C [A101],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A102],R [A102],,,,,,,,,,,,,,,,,A [A102],,,,,,,,,,R [A102],,,,,,,,,,,,,,,,,,,F [A102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,U1480,C,1,H,CC,P
