Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data
350-U1437E-4R-CC-PAL-NANNO,350,U1437,E,4,4-CC,R,CC,PAL,NANNO,0,5,1106.82,1106.87,,,,,,,,,,,,,,P,F,,,B,,,,,,,,VF,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,VF,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,VF,,,R,,,,,,,,,,,,,,,,,,,F,,,,,F,,,R,,,,,,,,,,,VF,,,,,,,,
350-U1437E-5R-CC-PAL-NANNO,350,U1437,E,5,5-CC,R,CC,PAL,NANNO,0,5,1114.38,1114.43,,,,,,,,,,,,,,P,F,,,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,VF,,,C,VF,,,F,,,,,,,,,,,,,,,,,,,VF,,,,,F,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-CC-PAL-NANNO,350,U1437,E,6,6-CC,R,CC,PAL,NANNO,0,5,1122.29,1122.34,,,,,,,,,,,,,,P,F,,,B,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,C,R,,,,,,,,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-7R-CC-PAL-NANNO,350,U1437,E,7,7-CC,R,CC,PAL,NANNO,0,3,1131.06,1131.09,,,,,,,,,,,,,,P,F,,,B,R,,,,,,,VF,R,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,VF,,VF,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,VF,,,VF,R,,,R,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,VF,,,,,,,,
350-U1437E-8R-CC-PAL-NANNO,350,U1437,E,8,8-CC,R,CC,PAL,NANNO,0,5,1141.38,1141.43,,,,,,,,,,,,,,P,F,,,B,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,R,,,R,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,R,,,,,,,,
350-U1437E-9R-CC-PAL-NANNO,350,U1437,E,9,9-CC,R,CC,PAL,NANNO,0,3,1152.49,1152.52,,,,,,,,,,,,,,P,F,,,B,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,VF,,R,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,VF,R,,,,,,,,,VF,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-10R-CC-PAL-NANNO,350,U1437,E,10,10-CC,R,CC,PAL,NANNO,0,3,1159.02,1159.05,,,,,,,,,,,,,,P,F,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-11R-CC-PAL-NANNO,350,U1437,E,11,11-CC,R,CC,PAL,NANNO,0,5,1172.32,1172.37,,,,,,,,,,,,,,P,F,,,B,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,VF,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,VF,,,F,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-13R-1-PAL-NANNO,350,U1437,E,13,13-1,R,CC,PAL,NANNO,0,5,1182.65,1182.7,,,,,,,,,,,,,,P,F,,,B,,,,,,,,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,VF,,,R,,,,,,,,,,,R,,,,,,,,
350-U1437E-14R-CC-PAL-NANNO,350,U1437,E,14,14-CC,R,CC,PAL,NANNO,0,5,1193.73,1193.78,,,,,,,,,,,,,,P,F,,,B,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,VF,,,,,,,,,,,,,,R?,,,,,,,,
