Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Algirosphaera robusta,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus spp.,Amaurolithus tricorniculatus,Blackites sp.,Braarudosphaera bigelowii,Calcidiscus carlae,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia murrayi,Catinaster calyculus,Catinaster coalitus,Catinaster mexicanus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus spp.,Clausicoccus obrutus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pliopelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites productus,Dictyococcites spp.,Discoaster adamanteus,Discoaster asymmetricus,Discoaster aulakos,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster decorus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis (small),Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster pseudovariabilis,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa lumina,Gephyrocapsa margerelii,Gephyrocapsa margerelii/muellerae,Gephyrocapsa muellerae,Gephyrocapsa oceanica ss,Gephyrocapsa omega,Gephyrocapsa parallela,Gephyrocapsa spp. (>4 microns),Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa spp. small (<4 microns),Hayaster perplexus,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera elongata,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera scissura,Helicosphaera sellii,Helicosphaera spp.,Helicosphaera wallichii,Minylitha convallis,Nicklithus amplificus,Oolithotus fragilis,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilica,Reticulofenestra rotaria,"Reticulofenestra ""small""",Reticulofenestra spp.,Rhabdosphaera clavigera,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus compactus,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus neoabies,Sphenolithus quadrispinatus,Sphenolithus spp.,Sphenolithus verensis,Syracosphaera pulchra,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus extensus,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1428A-1H-CC-PAL,0,5,6.32,6.37,G ,D ,,,,,,,,,R ,,F ,,,R ,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,F ,,,,,A ,,,C ,C ,A ,,,C ,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,F ,,,R ,Reworked D. barbadiensis,,,,346,U1428,A,1,H,CC,PAL,
346-U1428A-2H-CC-PAL,0,5,16.2,16.25,G ,D ,,,,,,,,,R ,,C ,,,,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,F ,,,,,A ,,,F ,F ,C ,,,C ,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,F ,,,R ,>15 micron C. pelagicus,,,,346,U1428,A,2,H,CC,PAL,
346-U1428A-3H-CC-PAL,0,5,25.38,25.43,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,C ,,,A ,C ,A ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,>15 micron C. pelagicus,,,,346,U1428,A,3,H,CC,PAL,
346-U1428A-4H-CC-PAL,0,5,35.35,35.4,G ,D ,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,F ,,,,,A ,,,A ,R ,,,,C ,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,R ,,,F ,,,,,346,U1428,A,4,H,CC,PAL,
346-U1428A-5H-CC-PAL,0,5,44.83,44.88,G ,D ,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,F ,,,,,C ,,,F ,,A ,,,C ,,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,C ,>15 micron C. pelagicus,,,,346,U1428,A,5,H,CC,PAL,
346-U1428A-6H-CC-PAL,0,5,54.17,54.22,G ,D ,,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,C ,,,,,C ,,,C ,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,,,346,U1428,A,6,H,CC,PAL,
346-U1428A-7H-CC-PAL,0,5,63.84,63.89,G ,D ,,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,C ,,,C ,F ,A ,,,F ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,346,U1428,A,7,H,CC,PAL,
346-U1428A-8H-CC-PAL,0,5,73.41,73.46,G ,D ,,,,,,,,,,,F ,,,,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,,,,,,A ,,,A ,,D ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,346,U1428,A,8,H,CC,PAL,
346-U1428A-9H-CC-PAL,0,5,82.72,82.77,G ,D ,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D ,,F ,,,,,C ,,,F ,,A ,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,,,,,346,U1428,A,9,H,CC,PAL,
346-U1428A-10H-CC-PAL,0,7,91.82,91.89,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand,,,,346,U1428,A,10,H,CC,PAL,
