Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium polymorphus,Triceratium pileus,Triceratium groningensis,Thalassiothrix longissima,Thalassiosira spumellaroides,Thalassiosira spinosa,Thalassiosira primalabiata,Thalassiosira fraga,Thalassiosira bukryi,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Synedra jouseana f. linearis,Synedra jouseana and miocenica,Stephanopyxis turris ex. group,Simonseniella praebarboi,Simonseniella barboi,Rossiella symmetrica,Rossiella paleacea,Rocella vigilans (large),Rocella sp.,Rocella semigelida,Rocella gelida  var. schraderi,Rocella gelida,Rhizosolenia styliformis,Rhizosolenia sp.cf. R.oligocaenica,Rhizosolenia hebetata f. hiemalis,Raphidodiscus marylandicus,Pyxilla fragments,Pleurosigma planktonica,Paralia sulcata,Nitzschia pusilla,Nitzschia maleinterpretaria,Nitzschia grossepunctata,Neobrunia mirabilis,Macrora stella,Lithodesmium sp. 2,Lisitzinia ornata,Hemiaulus taurus,Hemiaulus sp.,Hemiaulus polymorphus,Hemiaulus polycystinorum,Diatoms gen.et sp.indet. (opaque),Diatom gen. et sp. indet. (blade),Denticulopsis punctata var. hustedtii,Denticulopsis punctata,Denticulopsis maccollumii,Denticulopsis lauta and hustedtii (copulae),Denticulopsis lauta,Denticulopsis hyalina,Denticulopsis hustedtii,Crucidenticula nicobarica,Crucidenticula kanayae,Coscinodiscus rhombicus,Coscinodiscus marginatus,Coscinodiscus lewisianus var. robustus,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus,Coscinodiscus endoi,Cestodiscus robustus,Cestodiscus peplum,Azpeitia salisburyana,Azpeitia praenodulifera,Asteromphalus oligocenicus,Asteromphalus inaegabilis,Asterolampra tela,Actinocyclus spp.,Actinocyclus radionovae,Actinocyclus ingens  var. nodus,Actinocyclus ingens,Actinocyclus ellipticus,Thalassiothrix miocenica,Thalassiosira sp. cf. T.multipora,Thalassiosira praeoestrupii,Thalassiosira praeconvexa,Thalassiosira plicata,Thalassiosira oestrupii,Thalassiosira nativa,Thalassiosira lentiginosa,Thalassiosira insigna,Thalassiosira hyalinopsis,Thalassiosira convexa var. aspinosa,Stephanopyxis turris,Rouxia spp. (other),Rouxia sp. 1,Rouxia naviculoides,Rouxia isopolica,Rouxia ciesielski,Rouxia californica,Nitzschia spp. (other),Nitzschia sp. cf. N.denticuloides,Nitzschia sp. 14,Nitzschia sicula var. rostrata,Nitzschia reinholdii,Nitzschia praereinholdii,Nitzschia porteri,Nitzschia marina,Nitzschia januaria,Nitzschia heteropolica,Nitzschia fossilis,Nitzschia denticuloides,Nitzschia cylindrica,Nitzschia clementia,Nitzschia claviceps,Lithodesmium sp. cf. L.minusculum,Lithodesmium cornigerum,Hemidiscus triangularus,Hemidiscus karstenii f.1,Hemidiscus karstenii,Hemidiscus cuneiformis,Eucampia antarctica,Denticulopsis sp. (copulae),Denticulopsis sp.,Denticulopsis miocenica,Denticulopsis hustedtii var. ovata,Denticulopsis dimorpha,Cosmiodiscus intersectus,Asteromphalus kennettii,Actinocyclus ehrenbergii var. tenella,Actinocyclus cubitus,Actinocyclus ingens var. planus,Thalassiosira vulnifica,Thalassiosira kolbei,Thalassiosira elliptipora,Coscinodiscus insignis,Thalassiosira sp. cf. T.vulnifica,Thalassiosira praevulnifica,Thalassiosira lineata,Thalassiosira lentiginosa var. ovalis,Thalassiosira elliptipora (very elongate aerolae),Thalassiosira convexa,Rouxia spp.,Rhizosolenia sp. A,Rhizosolenia hebetata f. semispina,Nitzschia weaveri,Nitzschia sp. cf. N.interfrigidaria,Nitzschia sp. aff. N.praeinterfrigidaria,Nitzschia praeinterfrigidaria,Nitzschia kerguelenis,Nitzschia jouseae,Nitzschia interfrigidaria,Nitzschia angulata,Ethmodiscus sp. (fragments),Coscinodiscus tabularis,Coscinodiscus lineatus,Charcotia actinochilus,Chaetoceros sp. (spines),Asteromphalus parvulus,Asteromphalus hookeri,Actinocyclus ingens (ovate form),Actinocyclus divisus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  1,H, 3,  50.00,      3.5000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,1.8%                ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  1,H, 3,  90.00,      3.9000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,1.0%                ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,.1%                            ,                       ,.1%                 ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  1,H, 3, 130.00,      4.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,1.9%                ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  1,H, 4,  10.00,      4.6000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,15.9%               ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,.1%                            ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  1,H, 4,  50.00,      5.0000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,.3%                            ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  1,H, 4, 130.00,      5.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,.7%                 ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,                               ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
