Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Vekshinella sp. cf. V. parma	Tranolithus phacelosus	Stradneria crenulata	Repagalum parvidentatum	Reinhardtites levis	Reinhardtites anthophorus	Prediscosphaera spinosa	Prediscosphaera intercisa	Prediscosphaera cretacea	Placozygus sigmoides	Placozygus fibuliformis	Neocrepidolithus watkinsii	Micula decussata	Lucianorhabdus cayeuxii	Lithraphidites carniolensis	Kamptnerius magnificus	Glaukolithus compactus	Gartnerago obliquum	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Cretarhabdus sp. cf. C. conicus	Coccolith species B	Chiastozygus litterarius	Chiastozygus garrisonii	Biscutum coronum	Biscutum constans	Aspidolithus parcus parcus	Aspidolithus parcus expansus	Arkhangelskiella specillata	Ahmuellerella octoradiata	Vekshinella stradnerii	Vekshinella dibrachiata	Broinsonia dentata	Lucianorhabdus arcuatus	Octolithus multiplus	Prediscosphaera arkhangelskyi	Manivitella pemmatoidea	Acuturris scotus	Sollasites lowei	Rucinolithus sp. A	Cyclagelosphaera margerelii	Calculites obscurus	Monomarginatus spp.	Monomarginatus pectinatus	Micula concava	Bidiscus rotatorius	Quadrum trifidum	Prediscosphaera stoveri	Monomarginatus quaternarius	Misceomarginatus pleniporus	Cretarhabdus conicus	Biscutum magnum	Biscutum dissimilis	Nephrolithus corystus	Lapideacassis tricornus	Biscutum notaculum	Markalius inversus	Arkhangelskiella cymbiformis	Cribrosphaerella daniae	Rhagodiscus angustus	Rhombolithion rhombicum	Zeugrhabdotus elegans	Vekshinella angusta	Seribiscutum primitivum	Quadrum gartneri	Eprolithus floralis	Eiffellithus eximius	Cretarhabdus loriei	Vekshinella parma	Biantholithus sparsus	Cruciplacolithus tenuis	Thoracosphaera spp.	Scampanella sp.	Chiasmolithus danicus	Hornibrookina teuriensis	Ericsonia subpertusa	Sphenolithus primus	Helicosphaera spp.	Fasciculithus tympaniformis	Chiasmolithus bidens	Cruciplacolithus edwardsii	Toweius eminens	Neochiastozygus cearae	Discoaster multiradiatus	Chiasmolithus consuetus	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius pertusus	Toweius callosus	Sphenolithus radians	Pontosphaera fimbriata	Neococcolithes dubius	Neochiastozygus junctus	Ellipsolithus macellus	Discoaster kuepperi	Chiphragmalithus sp.	Chiasmolithus solitus	Chiasmolithus eograndis	Toweius lovae	Neochiastozygus distentus	Lophodolithus nascens	Hornibrookina australis	Discoaster elegans	Coccolithus pelagicus	Chiasmolithus grandis	Prinsius martinii	Neochiastozygus saepes	Prinsius bisulcus	Ericsonia formosa	Ellipsolithus distichus	Discoaster falcatus	Discoaster diastypus	Discoaster mohleri	Cruciplacolithus primus	Discoaster barbadiensis	Chiasmolithus expansus	Toweius magnicrassus	Reticulofenestra dictyoda	Discoaster lodoensis	Cyclococcolithus luminis	Coccolithus crassus	Ellipsolithus cf. lajollaensis	Discoaster cruciformis	Discoaster binodosus	Discoaster robustus	Discoaster distinctus	Discoaster saipanensis	Reticulofenestra hampdenensis	Reticulofenestra floridana	Reticulofenestra bisecta	Chiasmolithus altus	Sphenolithus moriformis	Helicosphaera sp. cf. H. euphratis	Reticulofenestra daviesii	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Reticulofenestra hillae	Reticulofenestra samodurovii	Reticulofenestra hesslandii	Reticulofenestra umbilica	Triquetrorhabdulus carinatus	Discoaster sp.	Bicolumnus ovatus	Helicosphaera sp.	Sphenolithus conicus	Pontosphaera sp.	Coccolithus pelagicus floralis	Reticulofenestra pseudoumbilica	Reticulofenestra gelida	Calcidiscus leptoporus	Calcidiscus macintyrei	Reticulofenestra perplexa	Reticulofenestra cf. producta	Gephyrocapsa sp. (small)	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Emiliania huxleyi	Helicosphaera carteri	Comment

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  1	H	 5	  84.00	      6.8400	Wei      	Nannofossils                                 	F              	G                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	                     	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	                   	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	R                     	                      	                         	                             	F                       	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  1	H	 6	  58.00	      8.0800	Wei      	Nannofossils                                 	R              	M                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	                     	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	                   	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	                      	                      	                         	                             	R                       	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  2	H	 1	 115.00	     10.1500	Wei      	Nannofossils                                 	R              	M                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	R                    	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	                   	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	                      	                      	                         	                             	R                       	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  2	H	 3	  67.00	     12.6700	Wei      	Nannofossils                                 	C              	M                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	C                    	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	r                  	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	                      	                      	                         	                             	R                       	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  2	H	 4	  58.00	     14.0800	Wei      	Nannofossils                                 	R              	G                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	R                    	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	                   	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	                      	                      	                         	                             	                        	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  2	H	 5	  58.00	     15.5800	Wei      	Nannofossils                                 	A              	M                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	A                    	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	                   	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	                      	                      	                         	                             	R                       	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513

  SR	Pliocene         	Pleistocene      	CN12              	CN14          	120	 747	A	  2	H	 6	  58.00	     17.0800	Wei      	Nannofossils                                 	R              	G                 	                    	                            	                      	                    	                       	                   	                         	                       	                         	                        	                    	                       	                          	                	                       	                           	                      	                      	                   	                           	                            	                               	                   	                        	                       	                	                 	                          	                            	                           	                         	                      	                       	                  	                       	                    	                             	                       	                	                	                  	                           	                   	                   	                         	              	                   	                	                       	                           	                           	                    	               	                   	                     	                       	                  	                  	                            	                       	                    	                       	                     	                   	                       	                	                   	                    	                   	                 	                     	                       	                   	               	                     	                        	                    	                   	                  	                           	                    	                          	               	                      	                        	                       	                       	                         	                	                	                    	                      	                     	                       	                      	                   	                    	                     	                       	             	                         	                     	                       	                  	                     	                     	                 	                      	                 	                 	                       	                   	                    	                  	                       	                       	                      	                    	                         	                    	                        	                   	                              	                      	                    	                   	                     	                      	                             	                          	                        	                   	                       	                                  	                         	                           	                          	                       	                            	                           	                         	                            	              	                 	                 	                    	                	                              	                               	                       	                      	                      	                         	                             	R                       	                        	                     	                 	                     	from ODP Leg 120 SR Vol 2 Chapter 28 Table 1 p 512-513
