Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Triquetrorhabdulus carinatus,Thoracosphaera saxea,Sphenolithus moriformis,Sphenolithus conicus,Sphenolithus ciperoensis,Rhabdosphaera clavigera,Reticulofenestra hesslandii,Reticulofenestra hampdenensis,Reticulofenestra daviesii,Reticulofenestra bisecta filewiczii,Pyrocyclus orangensis,Pontosphaera spp.,Pontosphaera multipora,Helicosphaera truempyi,Helicosphaera recta,Helicosphaera perch-nielseniae,Helicosphaera intermedia,Helicosphaera euphratis,Discoaster deflandrei,Cyclicargolithus floridanus (< 9 microns),Cyclicargolithus abisectus (> 10 microns),Coccolithus pelagicus,Clausicoccus fenestratus,Blackites tenuis,Sphenolithus capricornutus,Reticulofenestra stavensis,Ilselithina fusa,Ericsonia detecta,Discoaster spp. (6 rays),Clausicoccus obrutus,Bicolumnus ovatus,Sphenolithus distentus,Reticulofenestra bisecta bisecta,Helicosphaera carteri,Ericsonia sp. 1,Coronocyclus nitescens,Chiasmolithus altus,Sphenolithus umbrellus,Orthozygus aureus,Helicosphaera obliqua,Ericsonia formosa,Reticulofenestra circus,Geminilithella bramlettei,Coccolithus miopelagicus,Reticulofenestra umbilica,Braarudosphaera bigelowii,Helicosphaera elongata,Chiasmolithus oamaruensis,Discoaster adamanteus,Sphenolithus dissimilis,Reticulofenestra spp. small,Umbilicosphaera serratus,Syracosphaera lamina,Reticulofenestra moguntina,Reticulofenestra lockerii,Reticulofenestra haqii,Pontosphaera longiforaminis,Pontosphaera enormis,Hughesius tasmaniae,Helicosphaera euphratis (< 8 microns),Cyclicargolithus floridanus (9-10 microns),Coronocyclus nitescens (elliptical),Camuralithus pelliculatus,Calcidiscus radiatus,Calcidiscus fuscus,Sphenolithus grandis,Sphenolithus delphix,Coronocyclus nitescens (thick),Bramletteius serraculoides,Triquetrorhabdulus challengeri,Reticulofenestra minutula,Rhabdosphaera procera,Pyrocyclus inversus,Discoaster calculosus,Discoaster aulakos,Coccolithus sp. 1,Triquetrorhabdulus milowii,Tetralithoides symeonidesii,Pyrocyclus hermosus,Micrantholithus aequalis,Discoaster deflandrei (5 ray),Pontosphaera callosa,Helicosphaera burkei,Reticulofenestra minuta,Pontosphaera anisotrema,Helicosphaera mediterranea,Reticulofenestra producta,Coccolithus streckerii,Calcidiscus pataecus,Sphenolithus aubryae,Helicosphaera granulata,Discoaster obtusus,Discoaster lautus,Discoaster druggii (< 15 microns),Discoaster druggii,Umbilicosphaera sibogae var. foliosa,Helicosphaera rhomba,Calcidiscus tropicus (< 6 microns),Sphenolithus cometa,Helicosphaera vedderi,Discoaster extensus,Sphenolithus abies,Scyphosphaera spp.,Geminilithella rotula,Coronocyclus aff. C. prionion,Reticulofenestra perplexa,Calcidiscus tropicus (> 6 microns),Calcidiscus leptoporus,Triquetrorhabdulus serratus,Reticulofenestra pseudoumbilica,Reticulofenestra ampliumbilicus,Discoaster nephados,Sphenolithus belemnos,Helicosphaera ampliaperta,Discoaster formosus,Reticulofenestra gelida,Helicosphaera scissura,Hayella aperta,Sphenolithus heteromorphus,Hayella aperta (elliptical),Discoaster trinidadensis,Discoaster variabilis,Calcidiscus premacintyrei (< 9 microns),Cryptococcolithus mediaperforatus,Calcidiscus premacintyrei (> 9 microns),Reticulofenestra pseudoumbilica var. ampla,Discoaster petaliformis,Discoaster exilis,Helicosphaera paleocarteri,Discoaster moorei,Discoaster musicus,Triquetrorhabdulus rioi,Discoaster braarudii,Triquetrorhabdulus rugosus,Discoaster cf. D. bollii,Discoaster variabilis (3 rays),Discoaster kugleri,Discoaster cf. D. bellus,Discoaster brouweri,Calcidiscus macintyrei,Reticulofenestra doronicoides,Pseudoemiliania lacunosa,Dictyococcites productus,Dictyococcites perplexus,Helicosphaera sellii,Syracosphaera pulchra,Scapholithus fossilis,Pontosphaera discopora,Helicosphaera acuta,Discoaster tamalis,Pontosphaera japonica,Thoracosphaera sp.,Gephyrocapsa spp. (<3 microns),Discoaster triradiatus,Discoaster pentaradiatus,Gephyrocapsa sp.,Gephyrocapsa caribbeanica,Thoracosphaera spp.,Reticulofenestra minutula (3-5 microns)  ,Reticulofenestra minuta (<3 microns),Pseudoemiliania lacunosa (round),Pseudoemiliania lacunosa (elliptical),Gephyrocapsa oceanica (4-5.5 microns)  ,Gephyrocapsa oceanica (3-4 microns)  ,Gephyrocapsa caribbeanica (3-4 microns),Coccolithus crassipons,Gephyrocapsa caribbeanica (4-5.5 microns),Umbilicosphaera sibogae,Reticulofenestra sp. A (5-6 microns),Reticulofenestra asanoi (>6 microns),Discoaster sp.,Gephyrocapsa oceanica (>5.5 microns)  ,Gephyrocapsa caribbeanica (>5.5 microns),Ceratolithus cristatus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 2,  77.00,     20.9700,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,R                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,F                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,                     ,F                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,F                               ,C                                    ,                                       ,A                                    ,C                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,r             ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 2, 103.00,     21.2300,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,F                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,F                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,                     ,F                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,F                               ,A                                    ,                                       ,A                                    ,C                                      ,R                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 2, 148.00,     21.6800,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,C                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,F                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,r                   ,F                    ,R                    ,F                     ,                   ,                  ,R                    ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,C                               ,A                                    ,                                       ,A                                    ,C                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,r             ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 3,   1.00,     21.7300,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,C                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,F                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,                     ,F                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,C                               ,A                                    ,                                       ,A                                    ,C                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 3,  50.00,     22.2200,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,F                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,F                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,R                    ,R                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,C                               ,A                                    ,                                       ,A                                    ,C                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 3, 132.00,     23.0400,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,F                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,R                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,R                    ,R                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,C                               ,A                                    ,                                       ,A                                    ,C                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 4,   4.00,     23.2600,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,C                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,R                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,F                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,R                    ,R                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,C                                        ,A                                   ,C                               ,A                                    ,                                       ,A                                    ,C                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,R                     ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 4,  95.00,     24.1700,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,C                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,R                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,C                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,R                    ,C                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,C                                        ,A                                   ,C                               ,A                                    ,                                       ,A                                    ,A                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 5,  48.00,     25.2000,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,F                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,F                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,C                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,R                    ,F                     ,                   ,                  ,R                    ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,F                               ,A                                    ,                                       ,A                                    ,A                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,              ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 898,A,  3,H, 5,  81.00,     25.5300,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,                            ,                    ,                       ,                    ,                        ,F                      ,                           ,                             ,                         ,                                   ,                     ,                 ,                      ,                      ,                   ,                              ,                        ,                       ,                     ,                                         ,                                         ,R                    ,                        ,                ,                          ,                          ,                ,                 ,                        ,                    ,                 ,                      ,                                ,C                    ,               ,                      ,                   ,                      ,                 ,                     ,                 ,                       ,                         ,                        ,                         ,                         ,                      ,                         ,                     ,                       ,                           ,                        ,                    ,                          ,                         ,                      ,                           ,                    ,                   ,                                     ,                                          ,                                   ,                         ,                    ,                  ,                    ,                    ,                              ,                          ,                              ,                         ,                     ,                   ,                     ,                  ,                 ,                          ,                           ,                   ,                        ,                             ,                    ,                    ,                       ,                       ,                          ,                         ,                      ,                    ,                    ,                       ,                  ,                 ,                                 ,                  ,                                    ,                    ,                                  ,                   ,                     ,                   ,                  ,                  ,                     ,                             ,                         ,                                  ,A                     ,                           ,                               ,                               ,                   ,                     ,                         ,                   ,                       ,                      ,              ,                          ,                           ,                        ,                     ,                                       ,                                 ,                                       ,                                          ,                       ,                 ,                          ,                 ,                  ,                       ,                    ,                          ,                        ,                              ,                  ,                        ,                   ,                      ,                             ,                        ,V                       ,R                       ,                    ,F                    ,R                    ,F                     ,                   ,                  ,                     ,                  ,A                             ,                      ,                        ,                ,                         ,R                  ,A                                        ,A                                   ,F                               ,A                                    ,                                       ,A                                    ,A                                      ,F                     ,                                         ,F                      ,                                    ,                                    ,r             ,                                      ,                                        ,                      ,                 ,from 149 SR. Chapter 5. Table 5. pages 153-154.
