Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,0,26,427.2,427.46,I,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,curviplanar,bioturbated,horizontal,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,26,45,427.46,427.65,I,,,,tuffaceous,mudstone [2014],with lapilli [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli,mudstone with lapilli,,,consolidated [2014],silt [W22_1],2,granule [W22_2],8,"common small, angular mafic lapilli",irregular,bioturbated,horizontal,,,normally graded,,moderate [DB86],2,,,,vitric [2014],,,,,,,,,scoria [2014],angular,,,,,,,,,,,,,,,,,,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,45,54,427.65,427.74,I,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,horizontal,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,54,66,427.74,427.86,I,,,,evolved,ash [2014],with mud [2014],evolved ash,evolved ash with mud,ash with mud,,dark gray,unconsolidated [2014],silt [W22_1],2,silt [W22_1],2,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trace amphibole,vitric matrix [2014],crystal matrix [2014],,,trace amphibole,,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,66,107,427.86,428.27,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,irregular,bioturbated,horizontal,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,107,112,428.27,428.32,I,,,,evolved,ash [2014],with fecal pellets,evolved ash,evolved ash with fecal pellets,ash with fecal pellets,,,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,horizontal,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,"~80% evolved, ~20 mafic ash",vitric matrix [2014],,,,"~80% evolved, ~20 mafic ash",,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,112,116,428.32,428.36,I,,,,tuffaceous,mud [2014],with ash [2014],tuffaceous mud,tuffaceous mud with ash,mud with ash,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-2R-1-A,350,U1437,D,2,2-1,R,1,A,116,141,428.36,428.61,I,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-2R-2-A,350,U1437,D,2,2-2,R,2,A,0,61,428.7,429.31,I,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,consolidated [2014],,,,,,irregular,bioturbated,horizontal,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437D-2R-2-A,350,U1437,D,2,2-2,R,2,A,61,64,429.31,429.34,I,,,,evolved,tuff [2014],with mud [2014],evolved tuff,evolved tuff with mud,tuff with mud,,light gray,consolidated [2014],silt [W22_1],2,silt [W22_1],2,single scoria lapillus,,not recovered,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],angular,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1437D-2R-2-A,350,U1437,D,2,2-2,R,2,A,64,67,429.34,429.37,I,,,,mafic,tuff [2014],with mud [2014],mafic tuff,mafic tuff with mud,tuff with mud,,dark gray,consolidated [2014],silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,horizontal,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1437D-2R-2-A,350,U1437,D,2,2-2,R,2,A,67,70,429.37,429.4,I,,,,mafic,tuff [2014],with crystals,mafic tuff,mafic tuff with crystals,tuff with crystals,,black,consolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,not recovered,,,,,,moderate [DB86],2,,foraminifer,trace [A85],,,,,,,,,,,,,,,,,,,,,,brown glass and feldspar crystals,vitric matrix [2014],crystal matrix [2014],,,brown glass and feldspar crystals,,
