Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
355-U1457C-2R-1-A,0,8,191.6,191.68,,silty,clay,,silty clay,,normal grading,dark gray,10YR 4/1 (dark gray),90,clay,1,silt,2,,clayey,silt,,clayey silt,clayey silt,silt,,,10,silt,2,silt,2,,100,erosive,scoured,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,2,R,1,A,
355-U1457C-2R-1-A,8,30,191.68,191.9,,silty,clay,,silty clay,,normal grading,dark gray,10YR 4/1 (dark gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,2,R,1,A,
355-U1457C-3R-1-A,0,31,201.3,201.61,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),80,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 3/1 (very dark gray),20,silt,2,very fine sand,3,,100,gradational,gradational,horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,3,R,1,A,
355-U1457C-3R-1-A,31,68,201.61,201.98,,sandy,silt,,sandy silt,,,dark bluish gray,10YR 3/1 (very dark gray),70,silt,2,very fine sand,3,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),30,silt,2,very fine sand,3,,100,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1457,C,3,R,1,A,
355-U1457C-5R-CC-A,0,15,220.7,220.85,,silty,clay,with sand,silty clay with sand,,,dark gray,10YR 4/1 (dark gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1457,C,5,R,CC,A,
355-U1457C-6R-1-A,0,66,230.4,231.06,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),40,silt,2,very fine sand,3,,100,gradational,gradational,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,6,R,1,A,
355-U1457C-6R-1-A,66,95,231.06,231.35,,,clay,,clay,,,dark gray,10YR 4/1 (dark gray),90,clay,1,clay,1,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),10,clay,1,silt,2,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,6,R,1,A,
355-U1457C-7R-1-A,0,29,240.1,240.39,,sandy,silt,,sandy silt,,,dark gray,10YR 4/1 (dark gray),60,silt,2,very fine sand,3,,silty,clay,,silty clay,silty clay,clay,dark gray,10YR 4/1 (dark gray),40,clay,1,silt,2,,100,gradational,gradational,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,7,R,1,A,
355-U1457C-7R-1-A,29,55,240.39,240.65,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),60,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),40,silt,2,very fine sand,3,,100,gradational,gradational,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,7,R,1,A,
355-U1457C-7R-1-A,55,77,240.65,240.87,,silty,clay,,silty clay,,,dark gray,10YR 4/1 (dark gray),70,clay,1,silt,2,,sandy,silt,,sandy silt,sandy silt,silt,dark gray,10YR 4/1 (dark gray),30,silt,2,very fine sand,3,,100,,,,medium bedded,normally graded,,,,,,,,,,,,355,U1457,C,7,R,1,A,
