Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
361,U1474,A,,,,,,0.0,25407.0,0.0,254.07,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,361-U1474A,,,
361,U1474,A,1,1-1,H,1,A,0.0,49.0,0.0,0.49,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,brown,10YR 6/4 (light yellowish brown),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,slight,1,,mineral,pyrite,,,,,,,361-U1474A-1H-1-A,,,
361,U1474,A,1,1-1,H,1,A,49.0,150.0,0.49,1.5,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,greenish gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,planar,gradational,horizontal,,,reversely graded,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474A-1H-1-A,,,
361,U1474,A,1,1-2,H,2,A,0.0,150.0,1.5,3.0,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,greenish gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474A-1H-2-A,,,
361,U1474,A,1,1-3,H,3,A,0.0,18.0,3.0,3.18,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark greenish gray,GLEY 1 5/10GY (greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,Turbidite,planar,sharp,sub-horizontal,thick lamina [B01],,normally graded,,,0,,mineral,pyrite,,,,,,,361-U1474A-1H-3-A,,,
361,U1474,A,1,1-3,H,3,A,18.0,96.0,3.18,3.96,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,color changing at 27 cm,curviplanar,sharp,sub-horizontal,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474A-1H-3-A,,,
361,U1474,A,1,1-4,H,4,A,0.0,17.0,4.01,4.18,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474A-1H-4-A,,,
361,U1474,A,1,1-4,H,4,A,17.0,19.0,4.18,4.2,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark greenish gray,GLEY 1 3/5G (very dark greenish green),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,planar,sharp,horizontal,,,,,,0,,mineral,pyrite,,,,,,,361-U1474A-1H-4-A,,,
361,U1474,A,1,1-4,H,4,A,19.0,123.0,4.2,5.24,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,color changing at 66 cm becomes grey 1 6/10Y,curviplanar,sharp,sub-horizontal,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474A-1H-4-A,,,
361,U1474,A,1,1-CC,H,CC,A,0.0,12.5,5.24,5.365,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,greenish gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,0,,mineral,pyrite,,,,,,,361-U1474A-1H-CC-A,,,
361,U1474,A,2,2-1,H,1,A,0.0,150.0,5.4,6.9,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,greenish gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification (pyrite),,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474A-2H-1-A,,,
361,U1474,A,2,2-2,H,2,A,0.0,115.0,6.9,8.05,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,greenish gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification (pyrite),,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474A-2H-2-A,,,
361,U1474,A,2,2-2,H,2,A,115.0,150.0,8.05,8.4,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,light gray,5Y 6/1 (gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,slight,1,,,,,,,,,,361-U1474A-2H-2-A,,,
361,U1474,A,2,2-3,H,3,A,0.0,123.0,8.4,9.63,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,light gray,5Y 5/1 (gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification (pyrite),curviplanar,sharp,sub-horizontal,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474A-2H-3-A,,,
361,U1474,A,2,2-3,H,3,A,123.0,132.0,9.63,9.72,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,5Y 4/1 (dark gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,curviplanar,sharp,sub-horizontal,very thin bed [B01],,normally graded,,,0,,,,,,,,,,361-U1474A-2H-3-A,,,
