Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology 1 prefix,Lithology 1 principal name,Lithology 1 suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Lithology 2 prefix,Lithology 2 principal name,Lithology 2 suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data
368-U1501B-1H-1-A,0,155,0,1.55,clay rich,calcareous ooze,with silt,clay rich calcareous ooze,clay rich calcareous ooze with silt,100,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-2-A,0,155,1.55,3.1,clay rich,calcareous ooze,,clay rich calcareous ooze,clay rich calcareous ooze,100,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-3-A,0,155,3.1,4.65,clay rich,calcareous ooze,,clay rich calcareous ooze,clay rich calcareous ooze,100,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-4-A,0,25,4.65,4.9,clay rich,calcareous ooze,,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,well,,,,gradational,horizontal,,fining upward,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-4-A,25,105,4.9,5.7,,calcareous ooze,with clay,calcareous ooze,calcareous ooze with clay,,GLEY 1 5/10Y (greenish gray),,clay,1,coarse sand,6,well,,,,gradational,horizontal,,fining upward,heavy,3,,,,,,,,,,,,,,,,,,,,,,foraminifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-4-A,105,155,5.7,6.2,clay rich,calcareous ooze,,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay,1,medium sand,5,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-5-A,0,155,6.2,7.75,,calcareous ooze,,calcareous ooze,calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay,1,medium sand,5,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-6-A,0,101,7.75,8.76,clay rich,calcareous ooze,with silt,clay rich calcareous ooze,clay rich calcareous ooze with silt,,GLEY 1 4/10Y (dark greenish gray),,clay,1,medium sand,5,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368-U1501B-1H-7-A,0,87,8.76,9.63,clay rich,calcareous ooze,,clay rich calcareous ooze,clay rich calcareous ooze,,GLEY 1 4/10Y (dark greenish gray),,clay,1,medium sand,5,well,,,,,,,,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
