Sample,Exp,Site,Hole,Core,Type,Core-Sect,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data
339-U1391C-1W,339,U1391,C,1,W,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wash core, no sediment recovered. ",,,
339-U1391C-2R-1-A,339,U1391,C,2,R,2-1,1,A,0,47,340,340.47,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams and small black specks (sulfides) present. ",100,100,
339-U1391C-2R-1-A,339,U1391,C,2,R,2-1,1,A,47,81,340.47,340.81,,silty mud ,with biogenic carbonate ,silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,10Y 4/1 (dark greenish gray),silt ,2,medium sand ,5,,,,,,,,,,,,,100,gradational contact,bigradational bedding,,,,,slight_339 ,3,,,Forams and small black specks (sulfides) present. ,100,100,
339-U1391C-2R-1-A,339,U1391,C,2,R,2-1,1,A,81,150,340.81,341.5,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Forams and small black specks (sulfides) present. ,100,100,
339-U1391C-2R-2-A,339,U1391,C,2,R,2-2,2,A,0,150,341.5,343,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams and small black specks (sulfides) present. ",100,100,
339-U1391C-2R-3-A,339,U1391,C,2,R,2-3,3,A,0,121,343,344.21,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams and small black specks (sulfides) present. ",100,100,
339-U1391C-2R-4-A,339,U1391,C,2,R,2-4,4,A,0,64,344.21,344.85,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams, pyrite filled burrows and small black specks (sulfides) present. ",100,100,
339-U1391C-2R-CC-A,339,U1391,C,2,R,2-CC,CC,A,0,20,344.85,345.05,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams, pyrite filled burrows and small black specks (sulfides) present. ",100,100,
339-U1391C-3R-1-A,339,U1391,C,3,R,3-1,1,A,0,150,345.5,347,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams, pyrite filled burrows and small black specks (sulfides) present. ",100,100,
339-U1391C-3R-2-A,339,U1391,C,3,R,3-2,2,A,0,150,347,348.5,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,10Y 4/1 (dark greenish gray),clay ,1,fine sand ,4,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,rare ,,"Shell fragments, forams, pyrite filled burrows and small black specks (sulfides) present. ",100,100,
