Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Principal name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Principal name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data
340-U1396C-1H-1-A,340,U1396,C,1,1-1,H,1,A,0,32,0,0.32,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,0,0,0,0,0,90,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-1-A,340,U1396,C,1,1-1,H,1,A,32,42,0.32,0.42,high [drilling disturbance],6,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,3,0,0,0,0,0,2,95,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-1-A,340,U1396,C,1,1-1,H,1,A,42,150,0.42,1.5,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,3,0,0,0,0,0,2,95,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,0,10,1.5,1.6,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,0,0,0,0,0,95,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,10,44,1.6,1.94,moderate to high [drilling disturbance],5,volcaniclastic-sand [BGS-S81],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,15,0,60,0,0,0,0,25,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,44,53,1.94,2.03,slight [drilling disturbance],2,ash [F&S84],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,35,0,0,15,0,50,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,53,115,2.03,2.65,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,0,0,0,0,0,95,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,115,119,2.65,2.69,slight [drilling disturbance],2,ash [F&S84],100,very coarse sand [T07],8,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,10,0,40,0,0,0,0,50,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,119,129,2.69,2.79,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,5,0,0,85,0,10,,poor [BP01],absent [alteration],0,85% Forams,,,,,,,,
340-U1396C-1H-2-A,340,U1396,C,1,1-2,H,2,A,129,150,2.79,3,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,1,0,0,0,0,0,0,99,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-3-A,340,U1396,C,1,1-2,H,2,A,0,55,3,3.55,slight to moderate [drilling disturbance],3,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,mottled silty hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,30,0,70,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-3-A,340,U1396,C,1,1-3,H,3,A,55,70,3.55,3.7,slight to moderate [drilling disturbance],3,calcareous sand [Leg210],80,fine sand [T07],4,carbonate ooze [Leg178],20,silt-fine mud [T07],2,100,sandy hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,30,0,70,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396C-1H-3-A,340,U1396,C,1,1-3,H,3,A,70,73,3.7,3.73,slight to moderate [drilling disturbance],3,calcareous sand [Leg210],90,fine sand [T07],4,volcaniclastic-sand [BGS-S81],10,fine sand [T07],4,100,mixture of bioclastic hemipelagic sediments,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,5,0,5,0,0,30,0,60,,moderately well [BP01],absent [alteration],0,,,,,,,,,
