Label ID,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color(name),Prefix,Principal lithology,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File Data
330-U1374A-3R-1-A,330,U1374,A,3,R,1,A,91,143,15.31,15.83,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,angular[330],lithified,,
330-U1374A-3R-2-A,330,U1374,A,3,R,2,A,0,87,15.83,16.7,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,angular[330],lithified,,
330-U1374A-5R-4,330,U1374,A,5,R,4,,99,122,29.69,29.92,multicolor,basalt,breccia,with bioclast,basalt breccia with bioclast,,cobble [U14W22],,angular[330],lithified,,
330-U1374A-6R-1,330,U1374,A,6,R,1,,0,91,29.4,30.31,multicolor,basalt,breccia,with bioclast,basalt breccia with bioclast,,cobble [U14W22],,angular[330],lithified,,
330-U1374A-7R-3-A,330,U1374,A,7,R,3,A,72,136,37.6,38.24,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,very angular[330],lithified,,
330-U1374A-7R-4-A,330,U1374,A,7,R,4,A,0,55,38.24,38.79,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,very angular[330],lithified,,
330-U1374A-7R-4-A,330,U1374,A,7,R,4,A,55,132,38.79,39.56,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,angular[330],lithified,,
330-U1374A-7R-5-A,330,U1374,A,7,R,5,A,0,90,39.56,40.46,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,angular[330],lithified,,
330-U1374A-8R-1-A,330,U1374,A,8,R,1,A,0,95,39,39.95,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,angular[330],lithified,,
330-U1374A-8R-2-A,330,U1374,A,8,R,2,A,0,136.5,39.95,41.315,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,angular[330],lithified,,
330-U1374A-8R-3-A,330,U1374,A,8,R,3,A,0,16,41.315,41.475,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,angular[330],lithified,,
330-U1374A-8R-3-A,330,U1374,A,8,R,3,A,16,52,41.475,41.835,multicolor,basalt,breccia,with bioclasts,basalt breccia with bioclasts,,pebble [U14W22],5,very angular[330],lithified,,
330-U1374A-12R-4-A,330,U1374,A,12,R,4,A,100,150,63.67,64.17,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-13R-1-A,330,U1374,A,13,R,1,A,0,149,68,69.49,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-13R-2-A,330,U1374,A,13,R,2,A,0,142,69.49,70.91,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-13R-3-A,330,U1374,A,13,R,3,A,0,136,70.91,72.27,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-13R-4-A,330,U1374,A,13,R,4,A,0,35,72.27,72.62,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-14R-1-A,330,U1374,A,14,R,1,A,0,86,72.8,73.66,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-14R-2-A,330,U1374,A,14,R,2,A,0,112,73.66,74.78,multicolor,volcanic,breccia,,volcanic breccia,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-14R-2-A,330,U1374,A,14,R,2,A,112,142,74.78,75.08,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-14R-3-A,330,U1374,A,14,R,3,A,0,144,75.08,76.52,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-14R-4-A,330,U1374,A,14,R,4,A,0,41,76.52,76.93,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-15R-1-A,330,U1374,A,15,R,1,A,0,59.5,77.6,78.195,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,cobble [U14W22],5,very angular[330],lithified,,
330-U1374A-15R-1-A,330,U1374,A,15,R,1,A,59.5,131,78.195,78.91,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],,very angular[330],lithified,,
330-U1374A-15R-1-A,330,U1374,A,15,R,1,A,59.5,131,78.195,78.91,,,,,,,,5,,,,
330-U1374A-15R-2-A,330,U1374,A,15,R,2,A,0,146,78.91,80.37,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,very angular[330],lithified,,
330-U1374A-15R-3-A,330,U1374,A,15,R,3,A,0,150,80.37,81.87,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,very angular[330],lithified,,
330-U1374A-16R-1-A,330,U1374,A,16,R,1,A,0,10,84.6,84.7,multicolor,volcanic,breccia,,volcanic breccia,,pebble [U14W22],5,very angular[330],lithified,,
330-U1374A-21R-3-A,330,U1374,A,21,R,3,A,59.5,101,109.865,110.28,multicolor,volcanic,Sandstone [MMK88],with bioclasts,volcanic Sandstone with bioclasts,,pebble [U14W22],5,,lithified,,
330-U1374A-21R-3-A,330,U1374,A,21,R,3,A,59.5,101,109.865,110.28,,,,,,,,,very angular[330],,,
330-U1374A-21R-3-A,330,U1374,A,21,R,3,A,101,131,110.28,110.58,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,angular[330],lithified,,
330-U1374A-21R-4-A,330,U1374,A,21,R,4,A,0,94,110.58,111.52,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,angular[330],lithified,,
330-U1374A-22R-1-A,330,U1374,A,22,R,1,A,0,150,111.2,112.7,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,angular[330],lithified,,
330-U1374A-22R-2-A,330,U1374,A,22,R,2,A,0,100,112.46,113.46,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,,lithified,,
330-U1374A-22R-2-A,330,U1374,A,22,R,2,A,0,143,112.46,113.89,,,,,,,,,angular[330],,,
330-U1374A-22R-3-A,330,U1374,A,22,R,3,A,0,100,113.89,114.89,,,,,,,,5,angular[330],,,
330-U1374A-22R-3-A,330,U1374,A,22,R,3,A,0,112,113.89,115.01,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],,,lithified,,
330-U1374A-22R-4-A,330,U1374,A,22,R,4,A,0,100,115.01,116.01,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,,lithified,,
330-U1374A-22R-4-A,330,U1374,A,22,R,4,A,0,120,115.01,116.21,,,,,,,,,angular[330],,,
330-U1374A-22R-5-A,330,U1374,A,22,R,5,A,0,24,116.21,116.45,multicolor,basalt,Conglomerate [USGS-F54],,basalt Conglomerate,,cobble [U14W22],5,angular[330],lithified,,
