Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
353-U1444A-1H-1-A,0.0,42.0,0.0,0.42,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,brown,10YR 5/4 (yellowish brown),gradational,gradational,horizontal,,non-graded,,,,mottling,,,,"Some color variations are observed in the interval, varying from brown, yellow brown, to gray and dark gray. Interval present lots of mottling. The upper 12 cm look richer in organic mater. The bottom contact may correspond to redox front (oxygen disparition?).",,,,353,U1444,A,1,H,1,A,,,,
353-U1444A-1H-1-A,42.0,103.0,0.42,1.03,,sandy,silt,with foraminifers,sandy silt,sandy silt with foraminifers,silt with foraminifers,,dark green,GLEY 1 4/10Y (dark greenish gray),planar,sharp,horizontal,thin bed,normally graded,,,,,,,,Succession of 8 thin beds normally graded from sand to clay. The sandy layers are foraminifera rich.,,,,353,U1444,A,1,H,1,A,,,,
353-U1444A-1H-1-A,103.0,114.0,1.03,1.14,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,1,A,,,,
353-U1444A-1H-1-A,114.0,129.0,1.14,1.29,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,1,A,,,,
353-U1444A-1H-1-A,129.0,150.0,1.29,1.5,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,1,A,,,,
353-U1444A-1H-2-A,0.0,150.0,1.5,3.0,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,2,A,,,,
353-U1444A-1H-3-A,0.0,35.0,3.0,3.35,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,3,A,,,,
353-U1444A-1H-3-A,35.0,42.0,3.35,3.42,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,3,A,,,,
353-U1444A-1H-3-A,42.0,150.0,3.42,4.5,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,3,A,,,,
353-U1444A-1H-4-A,0.0,39.0,4.5,4.89,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,4,A,,,,
353-U1444A-1H-4-A,39.0,54.0,4.89,5.04,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,4,A,,,,
353-U1444A-1H-4-A,54.0,69.0,5.04,5.19,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),planar,sharp,horizontal,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,4,A,,,,
353-U1444A-1H-4-A,69.0,134.0,5.19,5.84,,silty,clay,,silty clay,silty clay,clay,,dark green,GLEY 1 4/10Y (dark greenish gray),irregular,,,thin bed,normally graded,,,,,,,,Succession of 12 thin beds normally graded from silt to clay. The silty layers are darker (iron sulphides? or rather charcols and wood remains?).,,,,353,U1444,A,1,H,4,A,,,,
353-U1444A-1H-4-A,134.0,150.0,5.84,6.0,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,4,A,,,,
353-U1444A-1H-5-A,0.0,19.0,6.0,6.19,,silty,clay,,silty clay,silty clay,clay,,dark green,GLEY 1 4/10Y (dark greenish gray),planar,sharp,horizontal,thin bed,normally graded,,,,,,,,Succession of 2 thin beds normally graded from silt to clay. The silty layers are darker (iron sulphides? or rather charcols and wood remains?).,,,,353,U1444,A,1,H,5,A,,,,
353-U1444A-1H-5-A,19.0,72.0,6.19,6.72,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,5,A,,,,
353-U1444A-1H-5-A,72.0,92.0,6.72,6.92,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,5,A,,,,
353-U1444A-1H-CC-A,0.0,18.0,6.92,7.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,,353,U1444,A,1,H,CC,A,,,,
353-U1444A-2H-1-A,0.0,30.0,7.1,7.4,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,,353,U1444,A,2,H,1,A,,,,
