Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top[cm] [cm],Bottom[cm] [cm],Top Depth[m] [m],Bottom Depth[m] [m],Lithology PREFIX,PRINCIPAL Lithology,Lithology SUFFIX,LITHOLOGY NAME,GRAIN SIZE MAX. (mm),Lithification,Lithification rank,Lithology [%],lithology_classification,COMMENT,File Data
317-U1351A-1H-1-A,317,U1351,A,1,1-1,H,1,A,0,55,0,0.55,,Sandy Mud [S54-Leg183],,Sandy Mud,,very slightly consolidated,,,"Shepard, 1954 - Leg 183 revision",,
317-U1351A-1H-1-A,317,U1351,A,1,1-1,H,1,A,55,60,0.55,0.6,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,
317-U1351A-1H-2-A,317,U1351,A,1,1-2,H,2,A,0,90,1.5,2.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",0 to 90 cm homogeneous mud,
317-U1351A-1H-CC-A,317,U1351,A,1,1-CC,H,CC,A,0,16,2.4,2.56,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous mud,
317-U1351A-2H-1-A,317,U1351,A,2,2-1,H,1,A,0,20,2.7,2.9,,Sandy Mud [S54-Leg183],,Sandy Mud,,unconsolidated,,,"Shepard, 1954 - Leg 183 revision",gradual color change,
317-U1351A-2H-1-A,317,U1351,A,2,2-1,H,1,A,20,40,2.9,3.1,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",gradual color change,
317-U1351A-2H-1-A,317,U1351,A,2,2-1,H,1,A,40,60,3.1,3.3,,Sandy Mud [S54-Leg183],,Sandy Mud,,unconsolidated,,,"Shepard, 1954 - Leg 183 revision",,
317-U1351A-2H-2-A,317,U1351,A,2,2-2,H,2,A,0,150,4.2,5.7,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-2H-3-A,317,U1351,A,2,2-3,H,3,A,0,120,5.7,6.9,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-2H-4-A,317,U1351,A,2,2-4,H,4,A,0,140,7.2,8.6,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-2H-5-A,317,U1351,A,2,2-5,H,5,A,0,120,8.7,9.9,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-2H-6-A,317,U1351,A,2,2-6,H,6,A,0,98,10.2,11.18,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-2H-CC-A,317,U1351,A,2,2-CC,H,CC,A,0,32,11.17,11.49,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-3H-1-A,317,U1351,A,3,3-1,H,1,A,0,60,12.2,12.8,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-3H-2-A,317,U1351,A,3,3-2,H,2,A,0,150,13.7,15.2,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-3H-3-A,317,U1351,A,3,3-3,H,3,A,0,26,15.2,15.46,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",pockets of shell fragments small than 1 cm,
317-U1351A-3H-3-A,317,U1351,A,3,3-3,H,3,A,26,77,15.46,15.97,,Shell bed,,Shell bed,,,,,,"matrix is mud, shell fragments up to 1.5 cm",
317-U1351A-3H-3-A,317,U1351,A,3,3-3,H,3,A,77,120,15.97,16.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision","burrows present from 77 to 113 cm, burrows filled with shell fragments from above",
317-U1351A-3H-4-A,317,U1351,A,3,3-4,H,4,A,0,103,16.7,17.73,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogenous mud,
317-U1351A-3H-CC-A,317,U1351,A,3,3-CC,H,CC,A,0,30,17.83,18.13,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-4H-1-A,317,U1351,A,4,4-1,H,1,A,0,45,18.2,18.65,,Shell bed,,Shell bed,,,,,Expedition 317,,
317-U1351A-4H-1-A,317,U1351,A,4,4-1,H,1,A,45,60,18.65,18.8,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-4H-2-A,317,U1351,A,4,4-2,H,2,A,0,26,19.7,19.96,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",homogeneous,
317-U1351A-4H-2-A,317,U1351,A,4,4-2,H,2,A,26,31,19.96,20.01,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",clay,
317-U1351A-4H-2-A,317,U1351,A,4,4-2,H,2,A,31,53,20.01,20.23,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",interbedded clay and silt,
317-U1351A-4H-2-A,317,U1351,A,4,4-2,H,2,A,53,103,20.23,20.73,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",contorted and folded beds,
317-U1351A-4H-2-A,317,U1351,A,4,4-2,H,2,A,103,109,20.73,20.79,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-4H-2-A,317,U1351,A,4,4-2,H,2,A,109,150,20.79,21.2,,Mud [S54-Leg210],,Mud,,unconsolidated,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-4H-3-A,317,U1351,A,4,4-3,H,3,A,0,40,21.2,21.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-4H-3-A,317,U1351,A,4,4-3,H,3,A,40,46,21.6,21.66,,Shell hash,,Shell hash,,,,,Leg 150,Shell fragments <1 cm in size,
317-U1351A-4H-3-A,317,U1351,A,4,4-3,H,3,A,46,51,21.66,21.71,,mud [S54-Leg210],,mud,,,,,"Shepard, 1954 - Leg 210 revision",Mud with common shell fragments,
317-U1351A-4H-3-A,317,U1351,A,4,4-3,H,3,A,51,58,21.71,21.78,,Shell hash,,Shell hash,,,,,Leg 150,Shell fragments <1 cm in size,
317-U1351A-4H-3-A,317,U1351,A,4,4-3,H,3,A,58,90,21.78,22.1,,Interbedded sand and mud  [Exp.317],,Interbedded sand and mud ,,,,,Expedition 317,Thinly interbedded mud (clay and silt) layers are 3 mm to 1 cm thick.  Coarser layers are silty. Some silty layers are discontinuous and form lenses.  Silty layes contain shell fagments while clayeyer layers do not.,
317-U1351A-4H-3-A,317,U1351,A,4,4-3,H,3,A,90,120,22.1,22.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,
317-U1351A-4H-4-A,317,U1351,A,4,4-4,H,4,A,0,33,22.7,23.03,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",silty very fine sand,
317-U1351A-4H-4-A,317,U1351,A,4,4-4,H,4,A,33,50,23.03,23.2,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",silty very fine sand,
317-U1351A-4H-4-A,317,U1351,A,4,4-4,H,4,A,40,40,23.1,23.1,,,,,,,,,,SS,
317-U1351A-4H-4-A,317,U1351,A,4,4-4,H,4,A,50,60,23.2,23.3,,Shell bed,,Shell bed,,,,,Expedition 317,mixed with clayey slt,
317-U1351A-4H-4-A,317,U1351,A,4,4-4,H,4,A,60,112,23.3,23.82,,Silt [S54],,Silt,,,,,"Shepard, 1954",very fine sandy silt,
317-U1351A-4H-4-A,317,U1351,A,4,4-4,H,4,A,112,140,23.82,24.1,,Silt [S54],,Silt,,stiff,,,"Shepard, 1954",very fine sandy clayey,
317-U1351A-4H-5-A,317,U1351,A,4,4-5,H,5,A,0,35,24.2,24.55,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",mottled (rare) clay-rich,
317-U1351A-4H-5-A,317,U1351,A,4,4-5,H,5,A,0,35,24.2,24.55,,,,,,,,,,shells,
317-U1351A-4H-5-A,317,U1351,A,4,4-5,H,5,A,16,16,24.36,24.36,,,,,,,,,,SS,
317-U1351A-4H-CC-A,317,U1351,A,4,4-CC,H,CC,A,0,23,24.84,25.07,,Silt [S54],,Silt,,,,,"Shepard, 1954",very fine sandy silt,
317-U1351A-4H-CC-A,317,U1351,A,4,4-CC,H,CC,A,23,29,25.07,25.13,,,,,,,,,,PAL,
317-U1351A-5H-1-A,317,U1351,A,5,5-1,H,1,A,0,60,25.1,25.7,,Medium-coarse sand [S54-W22],shelly,Medium-coarse sand shelly,,loose,,,"Shepard, 1954; Wentworth, 1922",Lithic fragments angular to sub angular apparently schistose. Grain size up to very coarse sand,
317-U1351A-5H-2-A,317,U1351,A,5,5-2,H,2,A,0,7,26.6,26.67,,Shell bed,,Shell bed,,loose,,,Expedition 317,common gastropods - Turretelids common,
317-U1351A-5H-2-A,317,U1351,A,5,5-2,H,2,A,7,37,26.67,26.97,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",common shell fragments,
317-U1351A-5H-2-A,317,U1351,A,5,5-2,H,2,A,37,58.8,26.97,27.188,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,loose,,,"Shepard, 1954; Wentworth, 1922",Common shell fragments. Austrofusus at 5 cm above base ,
