Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Unnamed: 25,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
317-U1353A-1H-1-A,317,U1353,A,1,1-1,H,1,A,,0,80,0.0,0.8,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f.-f. sandy marl, with scattered shell fragments and shells.   ",,,,,
317-U1353A-1H-2-A,317,U1353,A,1,1-2,H,2,A,,0,130,1.5,2.8,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f.-f. sandy marl, with scattered shell fragments and shells.   ",,,,,
317-U1353A-1H-3-A,317,U1353,A,1,1-3,H,3,A,,0,130,3.0,4.3,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f.-f. sandy marl, with scattered shell fragments and shells.   ",,,,,
317-U1353A-1H-4-A,317,U1353,A,1,1-4,H,4,A,,0,72,4.5,5.22,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f.-f. sandy marl, with scattered shell fragments and shells.   ",,,,,
317-U1353A-1H-CC-A,317,U1353,A,1,1-CC,H,CC,A,,0,21,5.22,5.43,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f.-f. sandy marl, with scattered shell fragments and shells.   ",,,,,
317-U1353A-2H-1-A,317,U1353,A,2,2-1,H,1,A,,0,80,5.5,6.3,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f. sandy marl, with shell fragments and shell scattered, with abundant burrows.",,,,,
317-U1353A-2H-2-A,317,U1353,A,2,2-2,H,2,A,,0,120,7.0,8.2,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f. sandy marl, with shell fragments and shell scattered, with abundant burrows.",,,,,
317-U1353A-2H-3-A,317,U1353,A,2,2-3,H,3,A,,0,10,8.5,8.6,,Marl [Leg210],,Marl,,,,,Leg 210,"dark greenish gray (10Y 4/1) micaceous homogeneous v.f. sandy marl, with shell fragments and shell scattered, with abundant burrows.",,,,,
317-U1353A-2H-3-A,317,U1353,A,2,2-3,H,3,A,,10,68,8.6,9.18,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","dark greenish gray (5GY 4/1) calcareous muddy v.f.-m. sand, with sbundant shell fragments and shells.  ",,,,,
317-U1353A-2H-CC-A,317,U1353,A,2,2-CC,H,CC,A,,0,15,9.18,9.33,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","dark greenish gray (5GY 4/1) calcareous muddy v.f.-m. sand, with sbundant shell fragments and shells.  ",,,,,
317-U1353A-3H-1-A,317,U1353,A,3,3-1,H,1,A,,0,80,9.3,10.1,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",v f sandy calcareous mud ,,,,,
317-U1353A-3H-2-A,317,U1353,A,3,3-2,H,2,A,,0,140,10.8,12.2,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",v f sandy calcareous mud ,,,,,
317-U1353A-3H-3-A,317,U1353,A,3,3-3,H,3,A,,0,15,12.3,12.45,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",v f sandy calcareous mud ,,,,,
317-U1353A-3H-3-A,317,U1353,A,3,3-3,H,3,A,,15,120,12.45,13.5,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly v f) highly micaceous sand,,,,,
317-U1353A-3H-4-A,317,U1353,A,3,3-4,H,4,A,,0,130,13.8,15.1,,Very fine-fine sandstone [S54-W22],,Very fine-fine sandstone,,loose,,,"Shepard, 1954; Wentworth, 1922",well sorted v f to f (mostly v f) highly micaceous sand,,,,,
