Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,0,45,0,0.45,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,45,50,0.45,0.5,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,50,64,0.5,0.64,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,64,65,0.64,0.65,I,,,,"clast-supported, monomictic, mafic [2014]",lapilli-ash [2014],,"clast-supported, monomictic, mafic lapilli-ash","clast-supported, monomictic, mafic lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,65,83,0.65,0.83,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,83,90,0.83,0.9,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,90,123,0.9,1.23,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,123,130,1.23,1.3,I,,,,"clast-supported, polymictic, mafic [2014]",lapilli [2014],,"clast-supported, polymictic, mafic lapilli","clast-supported, polymictic, mafic lapilli",lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],lithic [2014],,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,
350-U1436A-1H-1-A,350,U1436,A,1,1-1,H,1,A,130,144,1.3,1.44,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,0,23,1.5,1.73,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,23,26,1.73,1.76,I,,,,"clast-supported, polymictic, evolved [2014]",lapilli-ash [2014],,"clast-supported, polymictic, evolved lapilli-ash","clast-supported, polymictic, evolved lapilli-ash",lapilli-ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],lithic [2014],,,,,,,,pumice [2014],,,,,,,,,,,,,,,,,,,
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,26,33,1.76,1.83,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,33,46,1.83,1.96,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,vitric [2014],crystal [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,46,89,1.96,2.39,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436A-1H-2-A,350,U1436,A,1,1-2,H,2,A,89,92,2.39,2.42,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,,,,,,,,,,,,,crystal [2014],vitric [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,
